ANSERIFORMES: Anatidae

Bar-headed Goose	Anser indicus	
Greylag Goose	Anser anser	
Greater White-fronted Goose	Anser albifrons	
Mute Swan	Cygnus olor	
Whooper Swan	Cygnus cygnus	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Cotton Pygmy Goose	Nettapus coromandelianus	
Baikal Teal	Sibirionetta formosa	Rare/Accidental
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Falcated Duck	Mareca falcata	Rare/Accidental
Eurasian Wigeon	Mareca penelope	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Marbled Duck	Marmaronetta angustirostris	
Red-crested Pochard	Netta rufina	
Common Pochard	Aythya ferina	
Ferruginous Duck	Aythya nyroca	
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	Rare/Accidental
Velvet Scoter	Melanitta fusca	Rare/Accidental
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Common Merganser	Mergus merganser	
Red-breasted Merganser	Mergus serrator	Rare/Accidental
White-headed Duck	Oxyura leucocephala	
 
GALLIFORMES: Phasianidae

Himalayan Snowcock	Tetraogallus himalayensis	
Tibetan Snowcock	Tetraogallus tibetanus	
Chukar Partridge	Alectoris chukar	
See-see Partridge	Ammoperdix griseogularis	
Black Francolin	Francolinus francolinus	
Common Quail	Coturnix coturnix	
Koklass Pheasant	Pucrasia macrolopha	
Himalayan Monal	Lophophorus impejanus	
Common Pheasant	Phasianus colchicus	
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	
Egyptian Nightjar	Caprimulgus aegyptius	
Sykes's Nightjar	Caprimulgus mahrattensis	
Indian Nightjar	Caprimulgus asiaticus	
 
APODIFORMES: Apodidae

White-throated Needletail	Hirundapus caudacutus	Rare/Accidental
Alpine Swift	Tachymarptis melba	
Common Swift	Apus apus	
Little Swift	Apus affinis	
 
OTIDIFORMES: Otididae

Great Bustard	Otis tarda	
Macqueen's Bustard	Chlamydotis macqueenii	
Little Bustard	Tetrax tetrax	
 
CUCULIFORMES: Cuculidae

Jacobin Cuckoo	Clamator jacobinus	Rare/Accidental
Asian Koel	Eudynamys scolopaceus	
Lesser Cuckoo	Cuculus poliocephalus	
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Tibetan Sandgrouse	Syrrhaptes tibetanus	
Pin-tailed Sandgrouse	Pterocles alchata	
Spotted Sandgrouse	Pterocles senegallus	Rare/Accidental
Black-bellied Sandgrouse	Pterocles orientalis	
Crowned Sandgrouse	Pterocles coronatus	
Lichtenstein's Sandgrouse	Pterocles lichtensteinii	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Hill Pigeon	Columba rupestris	
Snow Pigeon	Columba leuconota	
Speckled Pigeon	Columba guinea	Introduced species
Stock Dove	Columba oenas	Rare/Accidental
Yellow-eyed Pigeon	Columba eversmanni	
Common Wood Pigeon	Columba palumbus	
Speckled Wood Pigeon	Columba hodgsonii	Introduced species
European Turtle Dove	Streptopelia turtur	
Oriental Turtle Dove	Streptopelia orientalis	
Eurasian Collared Dove	Streptopelia decaocto	
Spotted Dove	Spilopelia chinensis	Rare/Accidental
Laughing Dove	Spilopelia senegalensis	
 
GRUIFORMES: Rallidae

Water Rail	Rallus aquaticus	
Corn Crake	Crex crex	
Spotted Crake	Porzana porzana	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Grey-headed Swamphen	Porphyrio poliocephalus	
Ruddy-breasted Crake	Zapornia fusca	Rare/Accidental
Baillon's Crake	Zapornia pusilla	
Little Crake	Zapornia parva	
 
GRUIFORMES: Gruidae

Siberian Crane	Leucogeranus leucogeranus	Rare/Accidental
Demoiselle Crane	Grus virgo	
Common Crane	Grus grus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Red-necked Grebe	Podiceps grisegena	
Great Crested Grebe	Podiceps cristatus	
Black-necked Grebe	Podiceps nigricollis	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	
Lesser Flamingo	Phoeniconaias minor	Rare/Accidental
 
CHARADRIIFORMES: Burhinidae

Eurasian Stone-curlew	Burhinus oedicnemus	
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	
 
CHARADRIIFORMES: Ibidorhynchidae

Ibisbill	Ibidorhyncha struthersii	Rare/Accidental
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
Pied Avocet	Recurvirostra avosetta	
 
CHARADRIIFORMES: Charadriidae

Northern Lapwing	Vanellus vanellus	
Red-wattled Lapwing	Vanellus indicus	
Sociable Lapwing	Vanellus gregarius	
White-tailed Lapwing	Vanellus leucurus	
Pacific Golden Plover	Pluvialis fulva	Rare/Accidental
Grey Plover	Pluvialis squatarola	
Common Ringed Plover	Charadrius hiaticula	
Little Ringed Plover	Charadrius dubius	
Kentish Plover	Charadrius alexandrinus	
Lesser Sand Plover	Charadrius mongolus	
Greater Sand Plover	Charadrius leschenaultii	
 
