STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	
 
ANSERIFORMES: Anatidae

Fulvous Whistling Duck	Dendrocygna bicolor	Rare/Accidental
Lesser Whistling Duck	Dendrocygna javanica	Rare/Accidental
Red-breasted Goose	Branta ruficollis	Rare/Accidental
Canada Goose	Branta canadensis	Rare/Accidental
Greylag Goose	Anser anser	
Greater White-fronted Goose	Anser albifrons	
Lesser White-fronted Goose	Anser erythropus	Rare/Accidental
Mute Swan	Cygnus olor	Rare/Accidental
Tundra Swan	Cygnus columbianus	
Whooper Swan	Cygnus cygnus	Rare/Accidental
Knob-billed Duck	Sarkidiornis melanotos	Rare/Accidental
Egyptian Goose	Alopochen aegyptiaca	Rare/Accidental
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Cotton Pygmy Goose	Nettapus coromandelianus	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Marbled Duck	Marmaronetta angustirostris	Rare/Accidental
Red-crested Pochard	Netta rufina	
Common Pochard	Aythya ferina	
Ferruginous Duck	Aythya nyroca	
Tufted Duck	Aythya fuligula	
Red-breasted Merganser	Mergus serrator	Rare/Accidental
 
GALLIFORMES: Phasianidae

Grey Francolin	Ortygornis pondicerianus	
Sand Partridge	Ammoperdix heyi	
Common Quail	Coturnix coturnix	
Harlequin Quail	Coturnix delegorguei	Rare/Accidental
Arabian Partridge	Alectoris melanocephala	
Chukar Partridge	Alectoris chukar	
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	
Egyptian Nightjar	Caprimulgus aegyptius	
Sykes's Nightjar	Caprimulgus mahrattensis	Rare/Accidental
Nubian Nightjar	Caprimulgus nubicus	Rare/Accidental
 
APODIFORMES: Apodidae

Alpine Swift	Tachymarptis melba	
Common Swift	Apus apus	
Pallid Swift	Apus pallidus	
Forbes-Watson's Swift	Apus berliozi	
Pacific Swift	Apus pacificus	Rare/Accidental
Little Swift	Apus affinis	
 
OTIDIFORMES: Otididae

Macqueen's Bustard	Chlamydotis macqueenii	
Little Bustard	Tetrax tetrax	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Chestnut-winged Cuckoo	Clamator coromandus	Rare/Accidental
Great Spotted Cuckoo	Clamator glandarius	Rare/Accidental
Jacobin Cuckoo	Clamator jacobinus	
Asian Koel	Eudynamys scolopaceus	Rare/Accidental
Diederik Cuckoo	Chrysococcyx caprius	
Grey-bellied Cuckoo	Cacomantis passerinus	Rare/Accidental
Common Hawk-Cuckoo	Hierococcyx varius	Rare/Accidental
Lesser Cuckoo	Cuculus poliocephalus	Rare/Accidental
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Pin-tailed Sandgrouse	Pterocles alchata	Rare/Accidental
Chestnut-bellied Sandgrouse	Pterocles exustus	
Spotted Sandgrouse	Pterocles senegallus	
Crowned Sandgrouse	Pterocles coronatus	
Lichtenstein's Sandgrouse	Pterocles lichtensteinii	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Stock Dove	Columba oenas	Rare/Accidental
Common Wood Pigeon	Columba palumbus	
European Turtle Dove	Streptopelia turtur	
Oriental Turtle Dove	Streptopelia orientalis	
Eurasian Collared Dove	Streptopelia decaocto	
African Collared Dove	Streptopelia roseogrisea	
Red Collared Dove	Streptopelia tranquebarica	Rare/Accidental
Laughing Dove	Spilopelia senegalensis	
Tambourine Dove	Turtur tympanistria	Rare/Accidental
Namaqua Dove	Oena capensis	
Bruce's Green Pigeon	Treron waalia	
 
GRUIFORMES: Rallidae

Water Rail	Rallus aquaticus	
Corn Crake	Crex crex	
Spotted Crake	Porzana porzana	
Lesser Moorhen	Paragallinula angulata	Rare/Accidental
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Red-knobbed Coot	Fulica cristata	Rare/Accidental
