
 
ANSERIFORMES: Anatidae

Greylag Goose	Anser anser	
Taiga Bean Goose	Anser fabalis	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	
Mute Swan	Cygnus olor	Rare/Accidental
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	Rare/Accidental
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Marbled Duck	Marmaronetta angustirostris	Rare/Accidental Vulnerable
Red-crested Pochard	Netta rufina	Rare/Accidental
Common Pochard	Aythya ferina	Vulnerable
Ferruginous Duck	Aythya nyroca	Near-threatened
Tufted Duck	Aythya fuligula	
Velvet Scoter	Melanitta fusca	Rare/Accidental Vulnerable
Common Goldeneye	Bucephala clangula	Rare/Accidental
Common Merganser	Mergus merganser	Rare/Accidental
Red-breasted Merganser	Mergus serrator	Rare/Accidental
Ruddy Duck	Oxyura jamaicensis	Introduced species
White-headed Duck	Oxyura leucocephala	Rare/Accidental Endangered
 
GALLIFORMES: Phasianidae

Common Pheasant	Phasianus colchicus	Introduced species
Black Francolin	Francolinus francolinus	Rare/Accidental
Sand Partridge	Ammoperdix heyi	Rare/Accidental
Common Quail	Coturnix coturnix	
Chukar Partridge	Alectoris chukar	
Rock Partridge	Alectoris graeca	Introduced species Near-threatened
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	
 
APODIFORMES: Apodidae

Alpine Swift	Tachymarptis melba	
Common Swift	Apus apus	
Pallid Swift	Apus pallidus	
Little Swift	Apus affinis	
 
OTIDIFORMES: Otididae

Great Bustard	Otis tarda	Rare/Accidental Vulnerable
Macqueen's Bustard	Chlamydotis macqueenii	Rare/Accidental Vulnerable
Little Bustard	Tetrax tetrax	Rare/Accidental Near-threatened
 
CUCULIFORMES: Cuculidae

Great Spotted Cuckoo	Clamator glandarius	
Diederik Cuckoo	Chrysococcyx caprius	Rare/Accidental
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Pin-tailed Sandgrouse	Pterocles alchata	Rare/Accidental
Black-bellied Sandgrouse	Pterocles orientalis	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Stock Dove	Columba oenas	Rare/Accidental
Common Wood Pigeon	Columba palumbus	
European Turtle Dove	Streptopelia turtur	Vulnerable
Eurasian Collared Dove	Streptopelia decaocto	
Red Collared Dove	Streptopelia tranquebarica	Rare/Accidental
Laughing Dove	Spilopelia senegalensis	
Namaqua Dove	Oena capensis	Rare/Accidental
 
GRUIFORMES: Rallidae

Water Rail	Rallus aquaticus	
Corn Crake	Crex crex	
Spotted Crake	Porzana porzana	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Grey-headed Swamphen	Porphyrio poliocephalus	Rare/Accidental
Baillon's Crake	Zapornia pusilla	
Little Crake	Zapornia parva	
 
GRUIFORMES: Gruidae

Demoiselle Crane	Grus virgo	
Common Crane	Grus grus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Red-necked Grebe	Podiceps grisegena	Rare/Accidental
