大塚雉	Australian Brushturkey	Alectura lathami
鲸头鹳	Shoebill	Balaeniceps rex
灰胸竹鸡	Chinese Bamboo Partridge	Bambusicola thoracicus
小美洲黑雁	Cackling Goose	Branta hutchinsii
雪鸮	Snowy Owl	Bubo scandiacus
金翅雀	Oriental Greenfinch	Chloris sinica
白腹锦鸡	Lady Amherst's Pheasant	Chrysolophus amherstiae
红腹锦鸡	Golden Pheasant	Chrysolophus pictus
白腹紫椋鸟	Violet-backed Starling	Cinnyricinclus leucogaster
黑林鸽	Black Wood Pigeon	Columba janthina
裸脸凤冠雉	Bare-faced Curassow	Crax fasciolata
白腹灰蕉鹃	White-bellied Go-away-bird	Crinifer leucogaster
红肩金刚鹦鹉	Red-shouldered Macaw	Diopsittaca nobilis
鸸鹋	Emu	Dromaius novaehollandiae
斑皇鸠	Pied Imperial Pigeon	Ducula bicolor
日本灰头鹀	Masked Bunting	Emberiza personata
田鹀	Rustic Bunting	Emberiza rustica
红喉鹦雀	Red-throated Parrotfinch	Erythrura psittacea
凤头䳍	Elegant Crested Tinamou	Eudromia elegans
燕雀	Brambling	Fringilla montifringilla
琉球松鸦	Lidth's Jay	Garrulus lidthi
秃鹮	Southern Bald Ibis	Geronticus calvus
隐鹮	Northern Bald Ibis	Geronticus eremita
栗鳽	Japanese Night Heron	Gorsachius goisagi
肉垂鹤	Wattled Crane	Grus carunculata
丹顶鹤	Red-crowned Crane	Grus japonensis
黑颈鹤	Black-necked Crane	Grus nigricollis
非洲白背兀鹫	White-backed Vulture	Gyps africanus
蛎鹬	Eurasian Oystercatcher	Haematopus ostralegus
赤翡翠	Ruddy Kingfisher	Halcyon coromanda
虎头海雕	Steller's Sea Eagle	Haliaeetus pelagicus
黑颈长脚鹬	Black-necked Stilt	Himantopus mexicanus
栗耳短脚鹎	Brown-eared Bulbul	Hypsipetes amaurotis
岩雷鸟	Rock Ptarmigan	Lagopus muta
金胸丽椋鸟	Golden-breasted Starling	Lamprotornis regius
印加燕鸥	Inca Tern	Larosterna inca
冕弯嘴犀鸟	Crowned Hornbill	Lophoceros alboterminatus
凤头林鹮	Madagascar Ibis	Lophotibis cristata
爱氏鹇	Edwards's Pheasant	Lophura edwardsi
大灰啄木鸟	Great Slaty Woodpecker	Mulleripicus pulverulentus
北鹰鸮	Northern Boobook	Ninox japonica
鹰雕	Mountain Hawk-Eagle	Nisaetus nipalensis
夜鹭	Black-crowned Night Heron	Nycticorax nycticorax
印度领角鸮	Indian Scops Owl	Otus bakkamoena
栗翅鹰	Harris's Hawk	Parabuteo unicinctus
大山雀	Cinereous Tit	Parus cinereus
白鹈鹕	Great White Pelican	Pelecanus onocrotalus
绿雉	Green Pheasant	Phasianus versicolor
美洲红鹳	American Flamingo	Phoenicopterus ruber
北红尾鸲	Daurian Redstart	Phoenicurus auroreus
非洲琵鹭	African Spoonbill	Platalea alba
蓝腿燕鸻	Egyptian Plover	Pluvianus aegyptius
巴拉望孔雀雉	Palawan Peacock-Pheasant	Polyplectron napoleonis
巨嘴鸟	Toco Toucan	Ramphastos toco
冕鹧鸪	Crested Partridge	Rollulus rouloul
鹭鹰	Secretarybird	Sagittarius serpentarius
锤头鹳	Hamerkop	Scopus umbretta
南非企鹅	African Penguin	Spheniscus demersus
灰斑鸠	Eurasian Collared Dove	Streptopelia decaocto
山斑鸠	Oriental Turtle Dove	Streptopelia orientalis
长尾林鸮	Ural Owl	Strix uralensis
短尾雕	Bateleur	Terathopius ecaudatus
非洲白鹮	African Sacred Ibis	Threskiornis aethiopicus
红腹角雉	Temminck's Tragopan	Tragopan temminckii
红翅绿鸠	White-bellied Green Pigeon	Treron sieboldii
乌灰鸫	Japanese Thrush	Turdus cardis
赤胸鸫	Brown-headed Thrush	Turdus chrysolaus
白腹鸫	Pale Thrush	Turdus pallidus
黑背麦鸡	Blacksmith Lapwing	Vanellus armatus
安第斯神鹫	Andean Condor	Vultur gryphus
日本绣眼鸟	Warbling White-eye	Zosterops japonicus
