--------------------------
Hummingbird Habitat:
--------------------------
Amazilia Hummingbird	
Anna's Hummingbird	
Bananaquit	
Blue-necked Tanager	
Costa's Hummingbird	
Crested Quail-Dove	
Golden-collared Manakin	
Green Honeycreeper	
Green-backed Trogon	
Opal-rumped Tanager	
Paradise Tanager	
Pompadour Cotinga	
Purple Honeycreeper	
Red Pileated Finch	
Screaming Piha	
Spangled Cotinga	
Swallow Tanager	
Turquoise Tanager	
Violaceous Euphonia	
Wattled Jacana

--------------------------
Scripps Aviary:
--------------------------
Adamawa Turtle Dove	
African Golden Oriole	
African Olive Pigeon	
African Spoonbill	
Black Crake	
Black-headed Weaver	
Blue-bellied Roller	
Blue-headed Wood Dove	
Blue-naped Mousebird	
Bruce's Green Pigeon		
Common Bulbul	
Emerald Starling	
Ferruginous Duck	
Grey Parrot	
Great Blue Turaco	
Greater Blue-eared Starling	
Hamerkop	
Maccoa Duck	
Magpie Shrike	
Anhinga	
African Openbill	
Malagasy Pond Heron	
Northern Red Bishop	
Purple Starling	
Baglafecht weaver		
Southern Bald Ibis	
Laughing Dove	
Superb Starling	
Tambourine Dove	
Taveta Weaver	
Violet-backed Starling	
Madagascar Ibis	
White-bellied Go-Away-Bird	
White-crowned Lapwing	
White-crowned Robin-Chat	
White-faced Whistling Duck	
White-headed Buffalo-Weaver

Black-headed Weaver	
White-crested Turaco

Bearded Barbet	
Emerald Starling	
Magpie Shrike	

--------------------------
Gorilla Tropics:
--------------------------
Crowned Eagle

Quailfinch	
Purple Grenadier	
Red-billed Firefinch	
Red-cheeked Cordon-Bleu	
Yellow-winged Pytilia	
Stone Partridge

--------------------------
Wings of Australasia:
--------------------------
Raggiana Bird-of-Paradise	
Bali Myna	
Horned Parakeet	
Magnificent Bird-of-Paradise	
Mindanao Bleeding-Heart	
Wompoo Fruit Dove	
Beautiful Fruit Dove	
Blue-crowned Laughingthrush	
Red-billed Leiothrix
Guam Kingfisher	
Black Bulbul	
Blyth's Tragopan		
Western hooded pitta	
Tricolored Parrotfinch	
Blue-crowned Lorikeet	
Red-tailed Black Cockatoo	
Black-naped Fruit Dove	
Pheasant Pigeon		
Grosbeak Starling	
Purple-tailed Imperial-Pigeon
Mindanao Lorikeet	
West Papuan Lorikeet	
Wrinkled Hornbill	
Blue-crowned Hanging Parrot		
Red-billed Leiothrix	
Chestnut-backed Thrush	
Long-tailed Parakeet	
Mountain Peacock-Pheasant	
Papuan Mountain Pigeon	
Scarlet-faced Liocichla	
Greater Lophorina		
Western Crowned Pigeon	
Wompoo Fruit Dove	
Sulawesi Hornbill	
Collared Lory	
White-eared Bulbul	
Javan Scimitar Babbler	

----------------------------
Parker Aviary:
----------------------------
Amazonian Motmot	
Andean Cock-of-the-Rock	
Black-spotted Barbet	
Blue-headed Macaw	
Crested Oropendola	
Inca Tern	
Ringed Teal	
Sunbittern	
Toco Toucan	
Yellow-rumped Cacique
Amazonian Motmot	
Andean Cock-of-the-Rock	
Capuchinbird	
Grey-winged Trumpeter	
Keel-billed Toucan	
