
 
ANSERIFORMES: Anatidae

Eaton's Pintail	Anas eatoni	
 
CHARADRIIFORMES: Chionidae

Black-faced Sheathbill	Chionis minor	
 
CHARADRIIFORMES: Scolopacidae

Bar-tailed Godwit	Limosa lapponica	
Curlew Sandpiper	Calidris ferruginea	
Sanderling	Calidris alba	
Common Greenshank	Tringa nebularia	
 
CHARADRIIFORMES: Laridae

Kelp Gull	Larus dominicanus	
Arctic Tern	Sterna paradisaea	
Antarctic Tern	Sterna vittata	
Kerguelen Tern	Sterna virgata	
 
CHARADRIIFORMES: Stercorariidae

Chilean Skua	Stercorarius chilensis	Rare/Accidental
Brown Skua	Stercorarius antarcticus	
Long-tailed Jaeger	Stercorarius longicaudus	Rare/Accidental
 
SPHENISCIFORMES: Spheniscidae

King Penguin	Aptenodytes patagonicus	
Emperor Penguin	Aptenodytes forsteri	
Adelie Penguin	Pygoscelis adeliae	
Chinstrap Penguin	Pygoscelis antarcticus	
Gentoo Penguin	Pygoscelis papua	
Macaroni Penguin	Eudyptes chrysolophus	
Royal Penguin	Eudyptes schlegeli	
Southern Rockhopper Penguin	Eudyptes chrysocome	
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	
Grey-backed Storm Petrel	Garrodia nereis	
White-faced Storm Petrel	Pelagodroma marina	
White-bellied Storm Petrel	Fregetta grallaria	
Black-bellied Storm Petrel	Fregetta tropica	
 
PROCELLARIIFORMES: Diomedeidae

Wandering Albatross	Diomedea exulans	
Southern Royal Albatross	Diomedea epomophora	
Sooty Albatross	Phoebetria fusca	
Light-mantled Albatross	Phoebetria palpebrata	
Black-browed Albatross	Thalassarche melanophris	
Shy Albatross	Thalassarche cauta	
Salvin's Albatross	Thalassarche salvini	
Grey-headed Albatross	Thalassarche chrysostoma	
Indian Yellow-nosed Albatross	Thalassarche carteri	
 
PROCELLARIIFORMES: Procellariidae

Southern Giant Petrel	Macronectes giganteus	
Northern Giant Petrel	Macronectes halli	
Southern Fulmar	Fulmarus glacialoides	Rare/Accidental
Antarctic Petrel	Thalassoica antarctica	Rare/Accidental
Cape Petrel	Daption capense	
Snow Petrel	Pagodroma nivea	Rare/Accidental
Blue Petrel	Halobaena caerulea	
Broad-billed Prion	Pachyptila vittata	
Salvin's Prion	Pachyptila salvini	
MacGillivray's Prion	Pachyptila macgillivrayi	
Antarctic Prion	Pachyptila desolata	
Slender-billed Prion	Pachyptila belcheri	
Fairy Prion	Pachyptila turtur	
Fulmar Prion	Pachyptila crassirostris	
Kerguelen Petrel	Aphrodroma brevirostris	
Great-winged Petrel	Pterodroma macroptera	
White-headed Petrel	Pterodroma lessonii	
Soft-plumaged Petrel	Pterodroma mollis	
Grey Petrel	Procellaria cinerea	
White-chinned Petrel	Procellaria aequinoctialis	
Scopoli's Shearwater	Calonectris diomedea	
Sooty Shearwater	Ardenna grisea	
Tropical Shearwater	Puffinus bailloni	
Subantarctic Shearwater	Puffinus elegans	
South Georgia Diving Petrel	Pelecanoides georgicus	
Common Diving Petrel	Pelecanoides urinatrix	
 
CICONIIFORMES: Ciconiidae

White Stork	Ciconia ciconia	Rare/Accidental
 
SULIFORMES: Phalacrocoracidae

Imperial Shag	Leucocarbo atriceps	
Crozet Shag	Leucocarbo melanogenis	
Kerguelen Shag	Leucocarbo verrucosus	Endemic
