
 
ANSERIFORMES: Anatidae

Yellow-billed Pintail	Anas georgica	
 
CHARADRIIFORMES: Chionidae

Snowy Sheathbill	Chionis albus	
 
CHARADRIIFORMES: Scolopacidae

Upland Sandpiper	Bartramia longicauda	Rare/Accidental
 
CHARADRIIFORMES: Stercorariidae

Parasitic Jaeger	Stercorarius parasiticus	Rare/Accidental
Long-tailed Jaeger	Stercorarius longicaudus	Rare/Accidental
Pomarine Jaeger	Stercorarius pomarinus	Rare/Accidental
South Polar Skua	Stercorarius maccormicki	
Chilean Skua	Stercorarius chilensis	
Brown Skua	Stercorarius antarcticus	
 
CHARADRIIFORMES: Laridae

Arctic Tern	Sterna paradisaea	
Antarctic Tern	Sterna vittata	
Sabine's Gull	Xema sabini	Rare/Accidental
Franklin's Gull	Leucophaeus pipixcan	Rare/Accidental
Kelp Gull	Larus dominicanus	
 
SPHENISCIFORMES: Spheniscidae

King Penguin	Aptenodytes patagonicus	
Emperor Penguin	Aptenodytes forsteri	Endemic Near-threatened
Adelie Penguin	Pygoscelis adeliae	
Gentoo Penguin	Pygoscelis papua	
Chinstrap Penguin	Pygoscelis antarcticus	
Magellanic Penguin	Spheniscus magellanicus	Rare/Accidental
Macaroni Penguin	Eudyptes chrysolophus	Vulnerable
Royal Penguin	Eudyptes schlegeli	Rare/Accidental
Western Rockhopper Penguin	Eudyptes chrysocome	
Eastern Rockhopper Penguin	Eudyptes filholi	
 
PROCELLARIIFORMES: Diomedeidae

Northern Royal Albatross	Diomedea sanfordi	Endangered
Southern Royal Albatross	Diomedea epomophora	Rare/Accidental Vulnerable
Snowy Albatross	Diomedea exulans	Vulnerable
Antipodean Albatross	Diomedea antipodensis	Rare/Accidental Endangered
Amsterdam Albatross	Diomedea amsterdamensis	Endangered
Light-mantled Albatross	Phoebetria palpebrata	Near-threatened
Sooty Albatross	Phoebetria fusca	Endangered
Grey-headed Albatross	Thalassarche chrysostoma	Endangered
Black-browed Albatross	Thalassarche melanophris	
Shy Albatross	Thalassarche cauta	Rare/Accidental
Salvin's Albatross	Thalassarche salvini	Rare/Accidental Vulnerable
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	
Grey-backed Storm Petrel	Garrodia nereis	
Black-bellied Storm Petrel	Fregetta tropica	
 
PROCELLARIIFORMES: Procellariidae

Snow Petrel	Pagodroma nivea	
Antarctic Petrel	Thalassoica antarctica	Breeding endemic
Pintado Petrel	Daption capense	
Southern Giant Petrel	Macronectes giganteus	
Northern Giant Petrel	Macronectes halli	
Southern Fulmar	Fulmarus glacialoides	
Grey Petrel	Procellaria cinerea	Near-threatened
White-chinned Petrel	Procellaria aequinoctialis	Vulnerable
Short-tailed Shearwater	Ardenna tenuirostris	
Sooty Shearwater	Ardenna grisea	Near-threatened
Great Shearwater	Ardenna gravis	Rare/Accidental
South Georgia Diving Petrel	Pelecanoides georgicus	
Blue Petrel	Halobaena caerulea	
Fairy Prion	Pachyptila turtur	
Broad-billed Prion	Pachyptila vittata	
Antarctic Prion	Pachyptila desolata	
Slender-billed Prion	Pachyptila belcheri	
Kerguelen Petrel	Aphrodroma brevirostris	
Soft-plumaged Petrel	Pterodroma mollis	
Atlantic Petrel	Pterodroma incerta	Endangered
White-headed Petrel	Pterodroma lessonii	
Mottled Petrel	Pterodroma inexpectata	Near-threatened
 
SULIFORMES: Phalacrocoracidae

Imperial Shag	Leucocarbo atriceps	
 
PELECANIFORMES: Ardeidae

Western Cattle Egret	Ardea ibis	
 
STRIGIFORMES: Tytonidae

American Barn Owl	Tyto furcata	Rare/Accidental
 
PASSERIFORMES: Tyrannidae

White-crested Elaenia	Elaenia albiceps	Uncertain origin
