
 
CHARADRIIFORMES: Stercorariidae

Parasitic Jaeger	Stercorarius parasiticus	
South Polar Skua	Stercorarius maccormicki	
Brown Skua	Stercorarius antarcticus	
 
CHARADRIIFORMES: Laridae

Arctic Tern	Sterna paradisaea	
Antarctic Tern	Sterna vittata	
Kelp Gull	Larus dominicanus	
 
SPHENISCIFORMES: Spheniscidae

King Penguin	Aptenodytes patagonicus	
Adelie Penguin	Pygoscelis adeliae	
Gentoo Penguin	Pygoscelis papua	
Chinstrap Penguin	Pygoscelis antarcticus	
Macaroni Penguin	Eudyptes chrysolophus	Vulnerable
 
PROCELLARIIFORMES: Diomedeidae

Northern Royal Albatross	Diomedea sanfordi	Endangered
Southern Royal Albatross	Diomedea epomophora	Vulnerable
Snowy Albatross	Diomedea exulans	Vulnerable
Light-mantled Albatross	Phoebetria palpebrata	Near-threatened
Sooty Albatross	Phoebetria fusca	Endangered
Atlantic Yellow-nosed Albatross	Thalassarche chlororhynchos	Endangered
Grey-headed Albatross	Thalassarche chrysostoma	Endangered
Black-browed Albatross	Thalassarche melanophris	
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	
Black-bellied Storm Petrel	Fregetta tropica	
 
PROCELLARIIFORMES: Procellariidae

Snow Petrel	Pagodroma nivea	
Antarctic Petrel	Thalassoica antarctica	
Pintado Petrel	Daption capense	
Southern Giant Petrel	Macronectes giganteus	
Northern Giant Petrel	Macronectes halli	
Southern Fulmar	Fulmarus glacialoides	
Grey Petrel	Procellaria cinerea	Near-threatened
White-chinned Petrel	Procellaria aequinoctialis	Vulnerable
Sooty Shearwater	Ardenna grisea	Near-threatened
Great Shearwater	Ardenna gravis	
Common Diving Petrel	Pelecanoides urinatrix	
Blue Petrel	Halobaena caerulea	
Fairy Prion	Pachyptila turtur	
Broad-billed Prion	Pachyptila vittata	
Antarctic Prion	Pachyptila desolata	
Slender-billed Prion	Pachyptila belcheri	
Kerguelen Petrel	Aphrodroma brevirostris	
Soft-plumaged Petrel	Pterodroma mollis	
White-headed Petrel	Pterodroma lessonii	
Great-winged Petrel	Pterodroma macroptera	Rare/Accidental
