
 
ANSERIFORMES: Anatidae

Amsterdam Wigeon	Mareca marecula	Extinct
Eaton's Pintail	Anas eatoni	Vulnerable
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	Introduced species
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	
 
CUCULIFORMES: Cuculidae

Common Cuckoo	Cuculus canorus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Malagasy Turtle Dove	Nesoenas picturatus	
Zebra Dove	Geopelia striata	Introduced species
 
CHARADRIIFORMES: Chionidae

Black-faced Sheathbill	Chionis minor	
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Vulnerable
Common Ringed Plover	Charadrius hiaticula	
Blacksmith Lapwing	Vanellus armatus	Rare/Accidental
Greater Sand Plover	Anarhynchus leschenaultii	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Common Sandpiper	Actitis hypoleucos	
Grey-tailed Tattler	Tringa brevipes	
Common Greenshank	Tringa nebularia	
Ruddy Turnstone	Arenaria interpres	Near-threatened
Red Knot	Calidris canutus	Near-threatened
Curlew Sandpiper	Calidris ferruginea	Vulnerable
Sanderling	Calidris alba	
 
CHARADRIIFORMES: Turnicidae

Madagascar Buttonquail	Turnix nigricollis	
 
CHARADRIIFORMES: Glareolidae

Black-winged Pratincole	Glareola nordmanni	Rare/Accidental Near-threatened
 
CHARADRIIFORMES: Stercorariidae

Long-tailed Jaeger	Stercorarius longicaudus	Rare/Accidental
South Polar Skua	Stercorarius maccormicki	
Chilean Skua	Stercorarius chilensis	Rare/Accidental
Brown Skua	Stercorarius antarcticus	
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Sooty Tern	Onychoprion fuscatus	
Bridled Tern	Onychoprion anaethetus	
Caspian Tern	Hydroprogne caspia	
Greater Crested Tern	Thalasseus bergii	
Lesser Crested Tern	Thalasseus bengalensis	
Arctic Tern	Sterna paradisaea	
Antarctic Tern	Sterna vittata	
Kerguelen Tern	Sterna virgata	Near-threatened
Kelp Gull	Larus dominicanus	
 
PHAETHONTIFORMES: Phaethontidae

Red-billed Tropicbird	Phaethon aethereus	
Red-tailed Tropicbird	Phaethon rubricauda	
White-tailed Tropicbird	Phaethon lepturus	
 
SPHENISCIFORMES: Spheniscidae

King Penguin	Aptenodytes patagonicus	
