
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	Rare/Accidental
Black-headed Duck	Heteronetta atricapilla	Rare/Accidental
Lake Duck	Oxyura vittata	Rare/Accidental
Coscoroba Swan	Coscoroba coscoroba	
Black-necked Swan	Cygnus melancoryphus	
Greylag Goose	Anser anser	Introduced species
Upland Goose	Chloephaga picta	
Kelp Goose	Chloephaga hybrida	
Ashy-headed Goose	Chloephaga poliocephala	Rare/Accidental
Ruddy-headed Goose	Chloephaga rubidiceps	
Rosy-billed Pochard	Netta peposaca	Rare/Accidental
Crested Duck	Lophonetta specularioides	
Bronze-winged Duck	Speculanas specularis	Rare/Accidental Near-threatened
Flying Steamer Duck	Tachyeres patachonicus	
Falkland Steamer Duck	Tachyeres brachypterus	Endemic
Silver Teal	Spatula versicolor	
Red Shoveler	Spatula platalea	Rare/Accidental
Blue-winged Teal	Spatula discors	Rare/Accidental
Cinnamon Teal	Spatula cyanoptera	
Chiloe Wigeon	Mareca sibilatrix	
White-cheeked Pintail	Anas bahamensis	Rare/Accidental
Yellow-billed Pintail	Anas georgica	
Yellow-billed Teal	Anas flavirostris	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Chilean Flamingo	Phoenicopterus chilensis	Rare/Accidental Near-threatened
 
PODICIPEDIFORMES: Podicipedidae

White-tufted Grebe	Rollandia rolland	
Pied-billed Grebe	Podilymbus podiceps	Rare/Accidental
Great Grebe	Podiceps major	Rare/Accidental
Silvery Grebe	Podiceps occipitalis	
 
CUCULIFORMES: Cuculidae

Dark-billed Cuckoo	Coccyzus melacoryphus	Rare/Accidental
Yellow-billed Cuckoo	Coccyzus americanus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Blue Ground Dove	Claravis pretiosa	Rare/Accidental
Black-winged Ground Dove	Metriopelia melanoptera	Rare/Accidental
Ruddy Ground Dove	Columbina talpacoti	Rare/Accidental
West Peruvian Dove	Zenaida meloda	Rare/Accidental
Eared Dove	Zenaida auriculata	Rare/Accidental
