
 
ANSERIFORMES: Anatidae

Canada Goose	Branta canadensis	Rare/Accidental
Cackling Goose	Branta hutchinsii	Rare/Accidental
Snow Goose	Anser caerulescens	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Garganey	Spatula querquedula	Rare/Accidental
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	Rare/Accidental
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	
Laysan Duck	Anas laysanensis	Endemic
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Green-winged Teal	Anas carolinensis	Rare/Accidental
Canvasback	Aythya valisineria	Rare/Accidental
Ring-necked Duck	Aythya collaris	Rare/Accidental
Greater Scaup	Aythya marila	
Lesser Scaup	Aythya affinis	
Harlequin Duck	Histrionicus histrionicus	Rare/Accidental
Bufflehead	Bucephala albeola	
Common Goldeneye	Bucephala clangula	Rare/Accidental
Red-breasted Merganser	Mergus serrator	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Yellow-billed Cuckoo	Coccyzus americanus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
 
GRUIFORMES: Rallidae

Hawaiian Coot	Fulica alai	Rare/Accidental
Laysan Rail	Zapornia palmeri	Endemic (country/region)
 
PODICIPEDIFORMES: Podicipedidae

Black-necked Grebe	Podiceps nigricollis	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Pacific Golden Plover	Pluvialis fulva	
Grey Plover	Pluvialis squatarola	
Semipalmated Plover	Charadrius semipalmatus	
 
CHARADRIIFORMES: Scolopacidae

Bristle-thighed Curlew	Numenius tahitiensis	
Far Eastern Curlew	Numenius madagascariensis	Rare/Accidental
Bar-tailed Godwit	Limosa lapponica	
Marbled Godwit	Limosa fedoa	Rare/Accidental
Ruddy Turnstone	Arenaria interpres	
Red Knot	Calidris canutus	Rare/Accidental
Ruff	Calidris pugnax	
Sharp-tailed Sandpiper	Calidris acuminata	
Curlew Sandpiper	Calidris ferruginea	Rare/Accidental
Sanderling	Calidris alba	
Dunlin	Calidris alpina	
Baird's Sandpiper	Calidris bairdii	Rare/Accidental
Pectoral Sandpiper	Calidris melanotos	
Western Sandpiper	Calidris mauri	Rare/Accidental
Long-billed Dowitcher	Limnodromus scolopaceus	
Short-billed Dowitcher	Limnodromus griseus	Rare/Accidental
Red-necked Phalarope	Phalaropus lobatus	Rare/Accidental
Red Phalarope	Phalaropus fulicarius	
Wandering Tattler	Tringa incana	
Grey-tailed Tattler	Tringa brevipes	Rare/Accidental
Lesser Yellowlegs	Tringa flavipes	
Wood Sandpiper	Tringa glareola	
Greater Yellowlegs	Tringa melanoleuca	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
Blue Noddy	Anous ceruleus	
White Tern	Gygis alba	
Black-legged Kittiwake	Rissa tridactyla	Rare/Accidental
Bonaparte's Gull	Chroicocephalus philadelphia	Rare/Accidental
Laughing Gull	Leucophaeus atricilla	Rare/Accidental
Franklin's Gull	Leucophaeus pipixcan	
Ring-billed Gull	Larus delawarensis	Rare/Accidental
Glaucous-winged Gull	Larus glaucescens	
Glaucous Gull	Larus hyperboreus	
American Herring Gull	Larus smithsonianus	
Slaty-backed Gull	Larus schistisagus	Rare/Accidental
Little Tern	Sternula albifrons	
Least Tern	Sternula antillarum	
Spectacled Tern	Onychoprion lunatus	
Sooty Tern	Onychoprion fuscatus	
Common Tern	Sterna hirundo	Rare/Accidental
Black Tern	Chlidonias niger	
 
CHARADRIIFORMES: Stercorariidae

Pomarine Jaeger	Stercorarius pomarinus	
 
CHARADRIIFORMES: Alcidae

Horned Puffin	Fratercula corniculata	Rare/Accidental
 
PHAETHONTIFORMES: Phaethontidae

Red-tailed Tropicbird	Phaethon rubricauda	
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Diomedeidae

Laysan Albatross	Phoebastria immutabilis	
Black-footed Albatross	Phoebastria nigripes	
Short-tailed Albatross	Phoebastria albatrus	
 
PROCELLARIIFORMES: Hydrobatidae

Leach's Storm Petrel	Hydrobates leucorhous	
Band-rumped Storm Petrel	Hydrobates castro	
Tristram's Storm Petrel	Hydrobates tristrami	
 
PROCELLARIIFORMES: Procellariidae

Mottled Petrel	Pterodroma inexpectata	
Bonin Petrel	Pterodroma hypoleuca	
Cook's Petrel	Pterodroma cookii	
Streaked Shearwater	Calonectris leucomelas	Rare/Accidental
Wedge-tailed Shearwater	Ardenna pacifica	
Buller's Shearwater	Ardenna bulleri	
Sooty Shearwater	Ardenna grisea	
Short-tailed Shearwater	Ardenna tenuirostris	
Flesh-footed Shearwater	Ardenna carneipes	
Christmas Shearwater	Puffinus nativitatis	
Bulwer's Petrel	Bulweria bulwerii	
 
SULIFORMES: Fregatidae

Great Frigatebird	Fregata minor	
Lesser Frigatebird	Fregata ariel	Rare/Accidental
 
SULIFORMES: Sulidae

Masked Booby	Sula dactylatra	
Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
 
SULIFORMES: Phalacrocoracidae

Pelagic Cormorant	Urile pelagicus	Rare/Accidental
 
PELECANIFORMES: Ardeidae

Western Cattle Egret	Bubulcus ibis	Rare/Accidental
 
ACCIPITRIFORMES: Accipitridae

Northern Harrier	Circus hudsonius	
Rough-legged Buzzard	Buteo lagopus	Rare/Accidental
 
STRIGIFORMES: Strigidae

Short-eared Owl	Asio flammeus	
 
FALCONIFORMES: Falconidae

Peregrine Falcon	Falco peregrinus	
 
PASSERIFORMES: Acrocephalidae

Millerbird	Acrocephalus familiaris	Extirpated
 
PASSERIFORMES: Fringillidae

Laysan Finch	Telespiza cantans	Endemic (country/region)
Laysan Honeycreeper	Himatione fraithii	
