ANSERIFORMES: Anatidae

Brant Goose	Branta bernicla	Rare/Accidental
Nene	Branta sandvicensis	Endemic (country/region)
Canada Goose	Branta canadensis	Rare/Accidental
Cackling Goose	Branta hutchinsii	Rare/Accidental
Emperor Goose	Anser canagicus	Rare/Accidental
Snow Goose	Anser caerulescens	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Tundra Swan	Cygnus columbianus	Rare/Accidental
Garganey	Spatula querquedula	Rare/Accidental
Cinnamon Teal	Spatula cyanoptera	Rare/Accidental
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	Rare/Accidental
Eurasian Wigeon	Mareca penelope	Rare/Accidental
American Wigeon	Mareca americana	
Hawaiian Duck	Anas wyvilliana	Endemic (country/region)
Mallard	Anas platyrhynchos	Introduced species
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	Rare/Accidental
Green-winged Teal	Anas carolinensis	
Canvasback	Aythya valisineria	Rare/Accidental
Redhead	Aythya americana	Rare/Accidental
Common Pochard	Aythya ferina	Rare/Accidental
Ring-necked Duck	Aythya collaris	
Tufted Duck	Aythya fuligula	Rare/Accidental
Greater Scaup	Aythya marila	Rare/Accidental
Lesser Scaup	Aythya affinis	
Long-tailed Duck	Clangula hyemalis	Rare/Accidental
Bufflehead	Bucephala albeola	Rare/Accidental
Common Goldeneye	Bucephala clangula	Rare/Accidental
Hooded Merganser	Lophodytes cucullatus	Rare/Accidental
Red-breasted Merganser	Mergus serrator	Rare/Accidental
Ruddy Duck	Oxyura jamaicensis	Rare/Accidental
 
GALLIFORMES: Odontophoridae

California Quail	Callipepla californica	Introduced species
Gambel's Quail	Callipepla gambelii	Introduced species
 
GALLIFORMES: Phasianidae

Wild Turkey	Meleagris gallopavo	Introduced species
Chukar Partridge	Alectoris chukar	Introduced species
Black Francolin	Francolinus francolinus	Introduced species
Grey Francolin	Francolinus pondicerianus	Introduced species
Erckel's Spurfowl	Pternistis erckelii	Introduced species
Common Quail	Coturnix coturnix	Introduced species
Japanese Quail	Coturnix japonica	Introduced species
Red Junglefowl	Gallus gallus	Introduced species
Kalij Pheasant	Lophura leucomelanos	Introduced species
Common Pheasant	Phasianus colchicus	Introduced species
Green Pheasant	Phasianus versicolor	Introduced species
Indian Peafowl	Pavo cristatus	Introduced species
 
PTEROCLIFORMES: Pteroclidae

Chestnut-bellied Sandgrouse	Pterocles exustus	Introduced species
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Spotted Dove	Spilopelia chinensis	Introduced species
Zebra Dove	Geopelia striata	Introduced species
Mourning Dove	Zenaida macroura	Introduced species
 
GRUIFORMES: Rallidae

Sora	Porzana carolina	Rare/Accidental
Common Gallinule	Gallinula galeata	
Hawaiian Coot	Fulica alai	Endemic (country/region)
Hawaiian Rail	Zapornia sandwichensis	Endemic
 
PODICIPEDIFORMES: Podicipedidae

Pied-billed Grebe	Podilymbus podiceps	Rare/Accidental
 
CHARADRIIFORMES: Recurvirostridae

Black-necked Stilt	Himantopus mexicanus	Rare/Accidental
American Avocet	Recurvirostra americana	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Pacific Golden Plover	Pluvialis fulva	
Grey Plover	Pluvialis squatarola	
Semipalmated Plover	Charadrius semipalmatus	Rare/Accidental
Killdeer	Charadrius vociferus	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

Bristle-thighed Curlew	Numenius tahitiensis	
Eurasian Whimbrel	Numenius phaeopus	Rare/Accidental
Hudsonian Whimbrel	Numenius hudsonicus	Rare/Accidental
Bar-tailed Godwit	Limosa lapponica	Rare/Accidental
Black-tailed Godwit	Limosa limosa	Rare/Accidental
Hudsonian Godwit	Limosa haemastica	Rare/Accidental
Marbled Godwit	Limosa fedoa	Rare/Accidental
Ruddy Turnstone	Arenaria interpres	
Red Knot	Calidris canutus	Rare/Accidental
Ruff	Calidris pugnax	Rare/Accidental
Sharp-tailed Sandpiper	Calidris acuminata	
Stilt Sandpiper	Calidris himantopus	Rare/Accidental
Curlew Sandpiper	Calidris ferruginea	Rare/Accidental
Red-necked Stint	Calidris ruficollis	Rare/Accidental
Sanderling	Calidris alba	
Dunlin	Calidris alpina	
Least Sandpiper	Calidris minutilla	
Buff-breasted Sandpiper	Calidris subruficollis	Rare/Accidental
Pectoral Sandpiper	Calidris melanotos	
Semipalmated Sandpiper	Calidris pusilla	Rare/Accidental
Western Sandpiper	Calidris mauri	Rare/Accidental
Long-billed Dowitcher	Limnodromus scolopaceus	
Short-billed Dowitcher	Limnodromus griseus	Rare/Accidental
Wilson's Snipe	Gallinago delicata	
Wilson's Phalarope	Phalaropus tricolor	Rare/Accidental
Red-necked Phalarope	Phalaropus lobatus	Rare/Accidental
Red Phalarope	Phalaropus fulicarius	
Common Sandpiper	Actitis hypoleucos	Rare/Accidental
Spotted Sandpiper	Actitis macularius	Rare/Accidental
Solitary Sandpiper	Tringa solitaria	Rare/Accidental
Wandering Tattler	Tringa incana	
Grey-tailed Tattler	Tringa brevipes	Rare/Accidental
Lesser Yellowlegs	Tringa flavipes	
Willet	Tringa semipalmata	Rare/Accidental
Marsh Sandpiper	Tringa stagnatilis	Rare/Accidental
Spotted Redshank	Tringa erythropus	Rare/Accidental
Greater Yellowlegs	Tringa melanoleuca	
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
Blue Noddy	Anous ceruleus	
White Tern	Gygis alba	
Bonaparte's Gull	Chroicocephalus philadelphia	Rare/Accidental
Laughing Gull	Leucophaeus atricilla	
Franklin's Gull	Leucophaeus pipixcan	Rare/Accidental
Ring-billed Gull	Larus delawarensis	Rare/Accidental
California Gull	Larus californicus	Rare/Accidental
Glaucous-winged Gull	Larus glaucescens	Rare/Accidental
Glaucous Gull	Larus hyperboreus	Rare/Accidental
American Herring Gull	Larus smithsonianus	Rare/Accidental
Slaty-backed Gull	Larus schistisagus	Rare/Accidental
Lesser Black-backed Gull	Larus fuscus	Rare/Accidental
Caspian Tern	Hydroprogne caspia	Rare/Accidental
Greater Crested Tern	Thalasseus bergii	Rare/Accidental
Elegant Tern	Thalasseus elegans	Rare/Accidental
Little Tern	Sternula albifrons	Rare/Accidental
Least Tern	Sternula antillarum	
Spectacled Tern	Onychoprion lunatus	
Bridled Tern	Onychoprion anaethetus	Rare/Accidental
Sooty Tern	Onychoprion fuscatus	
Common Tern	Sterna hirundo	Rare/Accidental
Arctic Tern	Sterna paradisaea	Rare/Accidental
Black Tern	Chlidonias niger	Rare/Accidental
Inca Tern	Larosterna inca	Rare/Accidental
 
CHARADRIIFORMES: Stercorariidae

South Polar Skua	Stercorarius maccormicki	Rare/Accidental
Pomarine Jaeger	Stercorarius pomarinus	
Parasitic Jaeger	Stercorarius parasiticus	Rare/Accidental
Long-tailed Jaeger	Stercorarius longicaudus	Rare/Accidental
 
PHAETHONTIFORMES: Phaethontidae

Red-billed Tropicbird	Phaethon aethereus	Rare/Accidental
Red-tailed Tropicbird	Phaethon rubricauda	
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	Rare/Accidental
 
PROCELLARIIFORMES: Diomedeidae

Laysan Albatross	Phoebastria immutabilis	
Black-footed Albatross	Phoebastria nigripes	
Short-tailed Albatross	Phoebastria albatrus	
 
PROCELLARIIFORMES: Hydrobatidae

Band-rumped Storm Petrel	Oceanodroma castro	
Leach's Storm Petrel	Oceanodroma leucorhoa	
 
PROCELLARIIFORMES: Procellariidae

Northern Fulmar	Fulmarus glacialis	
Murphy's Petrel	Pterodroma ultima	Rare/Accidental
Juan Fernandez Petrel	Pterodroma externa	
Kermadec Petrel	Pterodroma neglecta	Rare/Accidental
Herald Petrel	Pterodroma heraldica	
Hawaiian Petrel	Pterodroma sandwichensis	Breeding endemic
Mottled Petrel	Pterodroma inexpectata	
White-necked Petrel	Pterodroma cervicalis	Rare/Accidental
Black-winged Petrel	Pterodroma nigripennis	Rare/Accidental
Bonin Petrel	Pterodroma hypoleuca	Rare/Accidental
Cook's Petrel	Pterodroma cookii	Rare/Accidental
Stejneger's Petrel	Pterodroma longirostris	
Tahiti Petrel	Pseudobulweria rostrata	Rare/Accidental
Streaked Shearwater	Calonectris leucomelas	Rare/Accidental
Wedge-tailed Shearwater	Ardenna pacifica	
Buller's Shearwater	Ardenna bulleri	Rare/Accidental
Sooty Shearwater	Ardenna grisea	
Short-tailed Shearwater	Ardenna tenuirostris	Rare/Accidental
Pink-footed Shearwater	Ardenna creatopus	Rare/Accidental
Flesh-footed Shearwater	Ardenna carneipes	
Christmas Shearwater	Puffinus nativitatis	
Newell's Shearwater	Puffinus newelli	
Bulwer's Petrel	Bulweria bulwerii	
 
SULIFORMES: Fregatidae

Great Frigatebird	Fregata minor	
Lesser Frigatebird	Fregata ariel	Rare/Accidental
 
SULIFORMES: Sulidae

Masked Booby	Sula dactylatra	
Nazca Booby	Sula granti	Rare/Accidental
Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
 
PELECANIFORMES: Threskiornithidae

White-faced Ibis	Plegadis chihi	Rare/Accidental
 
PELECANIFORMES: Ardeidae

Black-crowned Night Heron	Nycticorax nycticorax	Rare/Accidental
Green Heron	Butorides virescens	Rare/Accidental
Western Cattle Egret	Bubulcus ibis	Introduced species
Great Blue Heron	Ardea herodias	Rare/Accidental
Little Blue Heron	Egretta caerulea	Rare/Accidental
Snowy Egret	Egretta thula	Rare/Accidental
 
ACCIPITRIFORMES: Pandionidae

Western Osprey	Pandion haliaetus	Rare/Accidental
 
ACCIPITRIFORMES: Accipitridae

Northern Harrier	Circus hudsonius	Rare/Accidental
Hawaiian Hawk	Buteo solitarius	Endemic
 
STRIGIFORMES: Tytonidae

American Barn Owl	Tyto furcata	Introduced species
 
STRIGIFORMES: Strigidae

Short-eared Owl	Asio flammeus	
 
CORACIIFORMES: Alcedinidae

Belted Kingfisher	Megaceryle alcyon	Rare/Accidental
 
FALCONIFORMES: Falconidae

Merlin	Falco columbarius	Rare/Accidental
Peregrine Falcon	Falco peregrinus	
 
PSITTACIFORMES: Psittacidae

Mitred Parakeet	Psittacara mitratus	Introduced species
Red-masked Parakeet	Psittacara erythrogenys	Introduced species
 
PSITTACIFORMES: Psittaculidae

Rose-ringed Parakeet	Psittacula krameri	Introduced species
 
PASSERIFORMES: Monarchidae

Hawaii Elepaio	Chasiempis sandwichensis	Endemic
 
PASSERIFORMES: Corvidae

Hawaiian Crow	Corvus hawaiiensis	Endemic
 
PASSERIFORMES: Mohoidae

Kioea	Chaetoptila angustipluma	Endemic
Hawaii Oo	Moho nobilis	Endemic
 
PASSERIFORMES: Alaudidae

Eurasian Skylark	Alauda arvensis	Introduced species
 
PASSERIFORMES: Hirundinidae

Barn Swallow	Hirundo rustica	Rare/Accidental
 
PASSERIFORMES: Cettiidae

Japanese Bush Warbler	Horornis diphone	Introduced species
 
PASSERIFORMES: Zosteropidae

Warbling White-eye	Zosterops japonicus	Introduced species
 
PASSERIFORMES: Leiothrichidae

Red-billed Leiothrix	Leiothrix lutea	Introduced species
Chinese Hwamei	Garrulax canorus	Introduced species
 
PASSERIFORMES: Mimidae

Northern Mockingbird	Mimus polyglottos	Introduced species
 
PASSERIFORMES: Sturnidae

Common Myna	Acridotheres tristis	Introduced species
 
PASSERIFORMES: Turdidae

Omao	Myadestes obscurus	Endemic
 
PASSERIFORMES: Passeridae

House Sparrow	Passer domesticus	Introduced species
 
PASSERIFORMES: Estrildidae

African Silverbill	Euodice cantans	Introduced species
Java Sparrow	Lonchura oryzivora	Introduced species
Scaly-breasted Munia	Lonchura punctulata	Introduced species
Chestnut Munia	Lonchura atricapilla	Introduced species
Lavender Waxbill	Glaucestrilda caerulescens	Introduced species
Common Waxbill	Estrilda astrild	Introduced species
Black-rumped Waxbill	Estrilda troglodytes	Introduced species
Red Avadavat	Amandava amandava	Introduced species
Red-cheeked Cordon-bleu	Uraeginthus bengalus	Introduced species
 
PASSERIFORMES: Fringillidae

Palila	Loxioides bailleui	Endemic (country/region)
Lesser Koa Finch	Rhodacanthis flaviceps	Endemic
Greater Koa Finch	Rhodacanthis palmeri	Endemic
Kona Grosbeak	Chloridops kona	Endemic
Ou	Psittirostra psittacea	Endemic (country/region)
Iiwi	Drepanis coccinea	Endemic (country/region)
Hawaii Mamo	Drepanis pacifica	Endemic
Ula-ai-hawane	Ciridops anna	Endemic
Apapane	Himatione sanguinea	Endemic (country/region)
Greater Amakihi	Viridonia sagittirostris	Endemic
Lesser Akialoa	Akialoa obscura	Endemic (country/region)
Akiapolaau	Hemignathus wilsoni	Endemic (country/region)
Hawaii Creeper	Loxops mana	Endemic
Hawaii Akepa	Loxops coccineus	Endemic
Hawaii Amakihi	Chlorodrepanis virens	Endemic (country/region)
House Finch	Haemorhous mexicanus	Introduced species
Yellow-fronted Canary	Crithagra mozambica	Introduced species
 
PASSERIFORMES: Icteridae

Eastern Meadowlark	Sturnella magna	Introduced species
 
PASSERIFORMES: Cardinalidae

Northern Cardinal	Cardinalis cardinalis	Introduced species
 
PASSERIFORMES: Thraupidae

Yellow-faced Grassquit	Tiaris olivaceus	Introduced species
Saffron Finch	Sicalis flaveola	Introduced species
Red-crested Cardinal	Paroaria coronata	Introduced species
Yellow-billed Cardinal	Paroaria capitata	Introduced species
