
 
ANSERIFORMES: Anatidae

Fulvous Whistling Duck	Dendrocygna bicolor	Rare/Accidental
Brant Goose	Branta bernicla	Rare/Accidental
Nene	Branta sandvicensis	Endemic
Canada Goose	Branta canadensis	Rare/Accidental
Cackling Goose	Branta hutchinsii	Rare/Accidental
Emperor Goose	Anser canagicus	Rare/Accidental
Snow Goose	Anser caerulescens	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Tundra Swan	Cygnus columbianus	Rare/Accidental
Baikal Teal	Sibirionetta formosa	Rare/Accidental
Garganey	Spatula querquedula	Rare/Accidental
Cinnamon Teal	Spatula cyanoptera	Rare/Accidental
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Falcated Duck	Mareca falcata	Rare/Accidental
Eurasian Wigeon	Mareca penelope	Rare/Accidental
American Wigeon	Mareca americana	
Laysan Duck	Anas laysanensis	Endemic
Hawaiian Duck	Anas wyvilliana	Endemic
Mallard	Anas platyrhynchos	Introduced species
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	Rare/Accidental
Green-winged Teal	Anas carolinensis	
Canvasback	Aythya valisineria	Rare/Accidental
Redhead	Aythya americana	Rare/Accidental
Common Pochard	Aythya ferina	Rare/Accidental
Ring-necked Duck	Aythya collaris	
Tufted Duck	Aythya fuligula	Rare/Accidental
Greater Scaup	Aythya marila	Rare/Accidental
Lesser Scaup	Aythya affinis	
Harlequin Duck	Histrionicus histrionicus	Rare/Accidental
Surf Scoter	Melanitta perspicillata	Rare/Accidental
Black Scoter	Melanitta americana	Rare/Accidental
Long-tailed Duck	Clangula hyemalis	Rare/Accidental
Bufflehead	Bucephala albeola	Rare/Accidental
Common Goldeneye	Bucephala clangula	Rare/Accidental
Barrow's Goldeneye	Bucephala islandica	Rare/Accidental
Hooded Merganser	Lophodytes cucullatus	Rare/Accidental
Common Merganser	Mergus merganser	Rare/Accidental
Red-breasted Merganser	Mergus serrator	Rare/Accidental
Ruddy Duck	Oxyura jamaicensis	Rare/Accidental
 
