
 
ANSERIFORMES: Anatidae

Fulvous Whistling Duck	Dendrocygna bicolor	Extirpated
Brant Goose	Branta bernicla	Rare/Accidental
Nene	Branta sandvicensis	Endemic
Canada Goose	Branta canadensis	Rare/Accidental
Cackling Goose	Branta hutchinsii	Rare/Accidental
Emperor Goose	Anser canagicus	Rare/Accidental
Snow Goose	Anser caerulescens	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Garganey	Spatula querquedula	Rare/Accidental
Cinnamon Teal	Spatula cyanoptera	Rare/Accidental
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	Rare/Accidental
Eurasian Wigeon	Mareca penelope	Rare/Accidental
American Wigeon	Mareca americana	
Laysan Duck	Anas laysanensis	Endemic (country/region)
Hawaiian Duck	Anas wyvilliana	Endemic (country/region)
Mallard	Anas platyrhynchos	Introduced species
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	Rare/Accidental
Green-winged Teal	Anas carolinensis	Rare/Accidental
Canvasback	Aythya valisineria	Rare/Accidental
Redhead	Aythya americana	Rare/Accidental
Ring-necked Duck	Aythya collaris	
Tufted Duck	Aythya fuligula	Rare/Accidental
Greater Scaup	Aythya marila	Rare/Accidental
Lesser Scaup	Aythya affinis	
Surf Scoter	Melanitta perspicillata	Rare/Accidental
Long-tailed Duck	Clangula hyemalis	Rare/Accidental
Bufflehead	Bucephala albeola	Rare/Accidental
Common Goldeneye	Bucephala clangula	Rare/Accidental
Hooded Merganser	Lophodytes cucullatus	Rare/Accidental
Common Merganser	Mergus merganser	Rare/Accidental
Red-breasted Merganser	Mergus serrator	Rare/Accidental
Ruddy Duck	Oxyura jamaicensis	Rare/Accidental
 
GALLIFORMES: Odontophoridae

California Quail	Callipepla californica	Extirpated
 
GALLIFORMES: Phasianidae

Wild Turkey	Meleagris gallopavo	Introduced species
Common Pheasant	Phasianus colchicus	Introduced species
Green Pheasant	Phasianus versicolor	Introduced species
Kalij Pheasant	Lophura leucomelanos	Introduced species
Indian Peafowl	Pavo cristatus	Introduced species
Red Junglefowl	Gallus gallus	Introduced species
Grey Francolin	Ortygornis pondicerianus	Introduced species
Black Francolin	Francolinus francolinus	Introduced species
Common Quail	Coturnix coturnix	Introduced species
Chukar Partridge	Alectoris chukar	Extirpated
Erckel's Spurfowl	Pternistis erckelii	Introduced species
 
APODIFORMES: Apodidae

Mariana Swiftlet	Aerodramus bartschi	Introduced species
 
CUCULIFORMES: Cuculidae

Yellow-billed Cuckoo	Coccyzus americanus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Spotted Dove	Spilopelia chinensis	Introduced species
Zebra Dove	Geopelia striata	Introduced species
Mourning Dove	Zenaida macroura	Introduced species
 
GRUIFORMES: Rallidae

Sora	Porzana carolina	Rare/Accidental
Common Gallinule	Gallinula galeata	
Hawaiian Coot	Fulica alai	Endemic (country/region)
 
GRUIFORMES: Gruidae

Sandhill Crane	Antigone canadensis	Rare/Accidental
 
PODICIPEDIFORMES: Podicipedidae

Pied-billed Grebe	Podilymbus podiceps	Rare/Accidental
Black-necked Grebe	Podiceps nigricollis	Rare/Accidental
 
CHARADRIIFORMES: Recurvirostridae

Black-necked Stilt	Himantopus mexicanus	
 
CHARADRIIFORMES: Charadriidae

Pacific Golden Plover	Pluvialis fulva	
Grey Plover	Pluvialis squatarola	
Semipalmated Plover	Charadrius semipalmatus	Rare/Accidental
Killdeer	Charadrius vociferus	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

Bristle-thighed Curlew	Numenius tahitiensis	
Eurasian Whimbrel	Numenius phaeopus	Rare/Accidental
Hudsonian Whimbrel	Numenius hudsonicus	Rare/Accidental
Bar-tailed Godwit	Limosa lapponica	Rare/Accidental
Black-tailed Godwit	Limosa limosa	Rare/Accidental
Hudsonian Godwit	Limosa haemastica	Rare/Accidental
Marbled Godwit	Limosa fedoa	Rare/Accidental
Ruddy Turnstone	Arenaria interpres	
Red Knot	Calidris canutus	Rare/Accidental
Surfbird	Calidris virgata	Rare/Accidental
Ruff	Calidris pugnax	Rare/Accidental
Sharp-tailed Sandpiper	Calidris acuminata	
Stilt Sandpiper	Calidris himantopus	Rare/Accidental
Curlew Sandpiper	Calidris ferruginea	Rare/Accidental
Red-necked Stint	Calidris ruficollis	Rare/Accidental
Sanderling	Calidris alba	
Dunlin	Calidris alpina	
Baird's Sandpiper	Calidris bairdii	Rare/Accidental
Little Stint	Calidris minuta	Rare/Accidental
Least Sandpiper	Calidris minutilla	Rare/Accidental
White-rumped Sandpiper	Calidris fuscicollis	Rare/Accidental
Buff-breasted Sandpiper	Calidris subruficollis	Rare/Accidental
Pectoral Sandpiper	Calidris melanotos	
Semipalmated Sandpiper	Calidris pusilla	Rare/Accidental
Western Sandpiper	Calidris mauri	Rare/Accidental
Long-billed Dowitcher	Limnodromus scolopaceus	
Short-billed Dowitcher	Limnodromus griseus	Rare/Accidental
Common Snipe	Gallinago gallinago	Rare/Accidental
Wilson's Snipe	Gallinago delicata	Rare/Accidental
Terek Sandpiper	Xenus cinereus	Rare/Accidental
Wilson's Phalarope	Phalaropus tricolor	Rare/Accidental
Red-necked Phalarope	Phalaropus lobatus	Rare/Accidental
Red Phalarope	Phalaropus fulicarius	
Common Sandpiper	Actitis hypoleucos	Rare/Accidental
Spotted Sandpiper	Actitis macularius	Rare/Accidental
Solitary Sandpiper	Tringa solitaria	Rare/Accidental
Wandering Tattler	Tringa incana	
Grey-tailed Tattler	Tringa brevipes	Rare/Accidental
Lesser Yellowlegs	Tringa flavipes	
Willet	Tringa semipalmata	Rare/Accidental
Marsh Sandpiper	Tringa stagnatilis	Rare/Accidental
Greater Yellowlegs	Tringa melanoleuca	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
Blue Noddy	Anous ceruleus	
White Tern	Gygis alba	
Black-legged Kittiwake	Rissa tridactyla	Rare/Accidental
Bonaparte's Gull	Chroicocephalus philadelphia	Rare/Accidental
Black-headed Gull	Chroicocephalus ridibundus	Rare/Accidental
Laughing Gull	Leucophaeus atricilla	Rare/Accidental
Franklin's Gull	Leucophaeus pipixcan	Rare/Accidental
Short-billed Gull	Larus brachyrhynchus	
Ring-billed Gull	Larus delawarensis	
California Gull	Larus californicus	Rare/Accidental
Glaucous-winged Gull	Larus glaucescens	Rare/Accidental
Western Gull	Larus occidentalis	Rare/Accidental
Glaucous Gull	Larus hyperboreus	Rare/Accidental
American Herring Gull	Larus smithsonianus	Rare/Accidental
Slaty-backed Gull	Larus schistisagus	Rare/Accidental
Gull-billed Tern	Gelochelidon nilotica	Rare/Accidental
Caspian Tern	Hydroprogne caspia	Rare/Accidental
Greater Crested Tern	Thalasseus bergii	Rare/Accidental
Cabot's Tern	Thalasseus acuflavidus	Rare/Accidental
