
 
ANSERIFORMES: Anatidae

Tundra Swan	Cygnus columbianus	Rare/Accidental
Surf Scoter	Melanitta perspicillata	Rare/Accidental
Common Pochard	Aythya ferina	Rare/Accidental Vulnerable
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	Rare/Accidental
Garganey	Spatula querquedula	Rare/Accidental
Northern Shoveler	Spatula clypeata	Rare/Accidental
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	
Eastern Spot-billed Duck	Anas zonorhyncha	Rare/Accidental
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	Rare/Accidental
Green-winged Teal	Anas crecca	
 
GALLIFORMES: Megapodiidae

Micronesian Megapode	Megapodius laperouse	Extirpated Near-threatened
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	Introduced species
Black Francolin	Francolinus francolinus	Introduced species
King Quail	Synoicus chinensis	Introduced species
 
CUCULIFORMES: Cuculidae

Chestnut-winged Cuckoo	Clamator coromandus	Rare/Accidental
Long-tailed Koel	Urodynamis taitensis	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Philippine Collared Dove	Streptopelia dusumieri	Introduced species Vulnerable
Rock Dove	Columba livia	Introduced species
White-throated Ground Dove	Pampusana xanthonura	Near-threatened
Mariana Fruit Dove	Ptilinopus roseicapilla	Near-threatened
 
GRUIFORMES: Rallidae

Guam Rail	Gallirallus owstoni	Endemic Critically endangered
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	Rare/Accidental
White-browed Crake	Poliolimnas cinereus	Extirpated
 
CHARADRIIFORMES: Recurvirostridae

Black-necked Stilt	Himantopus mexicanus	
Black-winged Stilt	Himantopus himantopus	
Pied Stilt	Himantopus leucocephalus	
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Rare/Accidental Near-threatened
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Vulnerable
Pacific Golden Plover	Pluvialis fulva	
Common Ringed Plover	Charadrius hiaticula	
Little Ringed Plover	Thinornis dubius	
Tibetan Sand Plover	Anarhynchus atrifrons	Rare/Accidental
Siberian Sand Plover	Anarhynchus mongolus	Endangered
Greater Sand Plover	Anarhynchus leschenaultii	
Kentish Plover	Anarhynchus alexandrinus	
 
CHARADRIIFORMES: Scolopacidae

Little Curlew	Numenius minutus	
Bristle-thighed Curlew	Numenius tahitiensis	Near-threatened
