
 
ANSERIFORMES: Anatidae

Canada Goose	Branta canadensis	Rare/Accidental
Cackling Goose	Branta hutchinsii	Rare/Accidental
Snow Goose	Anser caerulescens	Rare/Accidental
Common Pochard	Aythya ferina	Rare/Accidental Vulnerable
Canvasback	Aythya valisineria	Rare/Accidental
Redhead	Aythya americana	
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Garganey	Spatula querquedula	Rare/Accidental
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	Rare/Accidental
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	Rare/Accidental
Pacific Black Duck	Anas superciliosa	
Mallard	Anas platyrhynchos	Rare/Accidental
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	Introduced species
Black Francolin	Francolinus francolinus	Introduced species
King Quail	Synoicus chinensis	Introduced species
 
CUCULIFORMES: Cuculidae

Chestnut-winged Cuckoo	Clamator coromandus	Rare/Accidental
Long-tailed Koel	Urodynamis taitensis	
Shining Bronze Cuckoo	Chalcites lucidus	Rare/Accidental
Northern Hawk-Cuckoo	Hierococcyx hyperythrus	Rare/Accidental
Hodgson's Hawk-Cuckoo	Hierococcyx nisicolor	Rare/Accidental
Common Cuckoo	Cuculus canorus	Rare/Accidental
Oriental Cuckoo	Cuculus optatus	
 
COLUMBIFORMES: Columbidae

Philippine Collared Dove	Streptopelia dusumieri	Introduced species Vulnerable
Rock Dove	Columba livia	Introduced species
Shy Ground Dove	Pampusana stairi	Introduced species
White-fronted Ground Dove	Pampusana kubaryi	Endemic Endangered
White-throated Ground Dove	Pampusana xanthonura	Near-threatened
Nicobar Pigeon	Caloenas nicobarica	Near-threatened
Micronesian Imperial Pigeon	Ducula oceanica	Vulnerable
Purple-capped Fruit Dove	Ptilinopus ponapensis	
Kosrae Fruit Dove	Ptilinopus hernsheimi	Endemic
Crimson-crowned Fruit Dove	Ptilinopus porphyraceus	
Mariana Fruit Dove	Ptilinopus roseicapilla	Endemic Near-threatened
 
GRUIFORMES: Rallidae

Buff-banded Rail	Gallirallus philippensis	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	Rare/Accidental
Purple Swamphen	Porphyrio porphyrio	
White-browed Crake	Poliolimnas cinereus	
White-breasted Waterhen	Amaurornis phoenicurus	
Pale-vented Bush-hen	Amaurornis moluccana	Rare/Accidental
Red-legged Crake	Rallina fasciata	Rare/Accidental
Slaty-legged Crake	Rallina eurizonoides	
Spotless Crake	Zapornia tabuensis	
Kosrae Crake	Zapornia monasa	Endemic Extinct
 
CHARADRIIFORMES: Recurvirostridae

Black-necked Stilt	Himantopus mexicanus	
Black-winged Stilt	Himantopus himantopus	
Pied Stilt	Himantopus leucocephalus	Rare/Accidental
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Rare/Accidental Near-threatened
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Vulnerable
Pacific Golden Plover	Pluvialis fulva	
Common Ringed Plover	Charadrius hiaticula	Rare/Accidental
Little Ringed Plover	Thinornis dubius	Rare/Accidental
Oriental Plover	Anarhynchus veredus	Rare/Accidental
Siberian Sand Plover	Anarhynchus mongolus	Endangered
Greater Sand Plover	Anarhynchus leschenaultii	
Kentish Plover	Anarhynchus alexandrinus	
 
CHARADRIIFORMES: Scolopacidae

Little Curlew	Numenius minutus	Rare/Accidental
Bristle-thighed Curlew	Numenius tahitiensis	Near-threatened
Eurasian Whimbrel	Numenius phaeopus	
Far Eastern Curlew	Numenius madagascariensis	Endangered
Eurasian Curlew	Numenius arquata	Rare/Accidental Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Black-tailed Godwit	Limosa limosa	Near-threatened
Swinhoe's Snipe	Gallinago megala	
Latham's Snipe	Gallinago hardwickii	Rare/Accidental Near-threatened
Common Snipe	Gallinago gallinago	Rare/Accidental
Terek Sandpiper	Xenus cinereus	
Common Sandpiper	Actitis hypoleucos	
Spotted Sandpiper	Actitis macularius	Rare/Accidental
Red Phalarope	Phalaropus fulicarius	Rare/Accidental
Wandering Tattler	Tringa incana	
Grey-tailed Tattler	Tringa brevipes	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Common Redshank	Tringa totanus	
Nordmann's Greenshank	Tringa guttifer	Rare/Accidental Endangered
Spotted Redshank	Tringa erythropus	Rare/Accidental
Common Greenshank	Tringa nebularia	
Greater Yellowlegs	Tringa melanoleuca	Rare/Accidental Near-threatened
Ruddy Turnstone	Arenaria interpres	Near-threatened
Red Knot	Calidris canutus	Rare/Accidental Near-threatened
Great Knot	Calidris tenuirostris	Rare/Accidental Endangered
Ruff	Calidris pugnax	
Sharp-tailed Sandpiper	Calidris acuminata	Vulnerable
Broad-billed Sandpiper	Calidris falcinellus	Rare/Accidental Vulnerable
Curlew Sandpiper	Calidris ferruginea	Vulnerable
Red-necked Stint	Calidris ruficollis	Near-threatened
Temminck's Stint	Calidris temminckii	Rare/Accidental
Long-toed Stint	Calidris subminuta	
Buff-breasted Sandpiper	Calidris subruficollis	Rare/Accidental Vulnerable
Sanderling	Calidris alba	
Dunlin	Calidris alpina	Rare/Accidental Near-threatened
Pectoral Sandpiper	Calidris melanotos	
 
CHARADRIIFORMES: Glareolidae

Oriental Pratincole	Glareola maldivarum	Rare/Accidental
 
CHARADRIIFORMES: Stercorariidae

Parasitic Jaeger	Stercorarius parasiticus	Rare/Accidental
Long-tailed Jaeger	Stercorarius longicaudus	Rare/Accidental
Pomarine Jaeger	Stercorarius pomarinus	
South Polar Skua	Stercorarius maccormicki	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Blue-billed White Tern	Gygis candida	
Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
Blue Noddy	Anous ceruleus	
Sooty Tern	Onychoprion fuscatus	
Spectacled Tern	Onychoprion lunatus	
Bridled Tern	Onychoprion anaethetus	
Little Tern	Sternula albifrons	
Australian Tern	Gelochelidon macrotarsa	Rare/Accidental
Gull-billed Tern	Gelochelidon nilotica	Rare/Accidental
Whiskered Tern	Chlidonias hybrida	Rare/Accidental
White-winged Tern	Chlidonias leucopterus	
Greater Crested Tern	Thalasseus bergii	
Arctic Tern	Sterna paradisaea	Rare/Accidental
Common Tern	Sterna hirundo	
Black-naped Tern	Sterna sumatrana	
Black-headed Gull	Chroicocephalus ridibundus	
Laughing Gull	Leucophaeus atricilla	Rare/Accidental
Franklin's Gull	Leucophaeus pipixcan	Rare/Accidental
Vega Gull	Larus vegae	Rare/Accidental
 
PHAETHONTIFORMES: Phaethontidae

Red-tailed Tropicbird	Phaethon rubricauda	
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Diomedeidae

Laysan Albatross	Phoebastria immutabilis	Rare/Accidental Near-threatened
Black-footed Albatross	Phoebastria nigripes	Near-threatened
Short-tailed Albatross	Phoebastria albatrus	Vulnerable
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	Rare/Accidental
Polynesian Storm Petrel	Nesofregetta fuliginosa	Endangered
 
PROCELLARIIFORMES: Hydrobatidae

Band-rumped Storm Petrel	Hydrobates castro	Rare/Accidental
Matsudaira's Storm Petrel	Hydrobates matsudairae	Vulnerable
Leach's Storm Petrel	Hydrobates leucorhous	Vulnerable
 
PROCELLARIIFORMES: Procellariidae

Bulwer's Petrel	Bulweria bulwerii	Rare/Accidental
Tahiti Petrel	Pseudobulweria rostrata	Rare/Accidental Near-threatened
Streaked Shearwater	Calonectris leucomelas	Rare/Accidental Near-threatened
Wedge-tailed Shearwater	Ardenna pacifica	
Buller's Shearwater	Ardenna bulleri	Rare/Accidental Vulnerable
Short-tailed Shearwater	Ardenna tenuirostris	
Sooty Shearwater	Ardenna grisea	Rare/Accidental Near-threatened
Flesh-footed Shearwater	Ardenna carneipes	Rare/Accidental Near-threatened
Christmas Shearwater	Puffinus nativitatis	
Tropical Shearwater	Puffinus bailloni	
Newell's Shearwater	Puffinus newelli	Rare/Accidental Critically endangered
Bonin Petrel	Pterodroma hypoleuca	
Stejneger's Petrel	Pterodroma longirostris	Rare/Accidental Vulnerable
Black-winged Petrel	Pterodroma nigripennis	
Juan Fernandez Petrel	Pterodroma externa	Vulnerable
White-necked Petrel	Pterodroma cervicalis	Rare/Accidental Vulnerable
Kermadec Petrel	Pterodroma neglecta	Rare/Accidental
 
SULIFORMES: Fregatidae

Lesser Frigatebird	Fregata ariel	Rare/Accidental
Great Frigatebird	Fregata minor	
 
SULIFORMES: Sulidae

Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
Cocos Booby	Sula brewsteri	Rare/Accidental
Masked Booby	Sula dactylatra	
 
SULIFORMES: Phalacrocoracidae

Little Pied Cormorant	Microcarbo melanoleucos	
Great Cormorant	Phalacrocorax carbo	Rare/Accidental
 
PELECANIFORMES: Pelecanidae

Australian Pelican	Pelecanus conspicillatus	Rare/Accidental
 
PELECANIFORMES: Ardeidae

Black Bittern	Botaurus flavicollis	Rare/Accidental
Cinnamon Bittern	Botaurus cinnamomeus	Rare/Accidental
Von Schrenck's Bittern	Botaurus eurhythmus	Rare/Accidental
Yellow Bittern	Botaurus sinensis	
