ANSERIFORMES: Anatidae

Northern Shoveler	Spatula clypeata	
Eurasian Wigeon	Mareca penelope	
Eurasian Teal	Anas crecca	
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	Introduced species
 
APODIFORMES: Apodidae

Island Swiftlet	Aerodramus inquietus	
 
CUCULIFORMES: Cuculidae

Pacific Long-tailed Cuckoo	Urodynamis taitensis	Rare/Accidental
Oriental Cuckoo	Cuculus optatus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Island Collared Dove	Streptopelia bitorquata	Introduced species
White-throated Ground Dove	Pampusana xanthonura	Endemic (country/region)
Micronesian Imperial Pigeon	Ducula oceanica	Introduced species
 
GRUIFORMES: Rallidae

Common Moorhen	Gallinula chloropus	Rare/Accidental
White-browed Crake	Poliolimnas cinereus	
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
Black-necked Stilt	Himantopus mexicanus	
 
CHARADRIIFORMES: Charadriidae

Pacific Golden Plover	Pluvialis fulva	
Grey Plover	Pluvialis squatarola	
Little Ringed Plover	Charadrius dubius	
Kentish Plover	Charadrius alexandrinus	Rare/Accidental
Lesser Sand Plover	Charadrius mongolus	
Greater Sand Plover	Charadrius leschenaultii	
 
CHARADRIIFORMES: Scolopacidae

Bristle-thighed Curlew	Numenius tahitiensis	
Eurasian Whimbrel	Numenius phaeopus	
Far Eastern Curlew	Numenius madagascariensis	
Bar-tailed Godwit	Limosa lapponica	
Black-tailed Godwit	Limosa limosa	
Ruddy Turnstone	Arenaria interpres	
Sharp-tailed Sandpiper	Calidris acuminata	
Curlew Sandpiper	Calidris ferruginea	
Long-toed Stint	Calidris subminuta	
Red-necked Stint	Calidris ruficollis	
Sanderling	Calidris alba	
Swinhoe's Snipe	Gallinago megala	
Terek Sandpiper	Xenus cinereus	
Common Sandpiper	Actitis hypoleucos	
Wandering Tattler	Tringa incana	
Grey-tailed Tattler	Tringa brevipes	
Common Redshank	Tringa totanus	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Common Greenshank	Tringa nebularia	
 
CHARADRIIFORMES: Glareolidae

Oriental Pratincole	Glareola maldivarum	
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
White Tern	Gygis alba	
Black-headed Gull	Chroicocephalus ridibundus	
Greater Crested Tern	Thalasseus bergii	
Little Tern	Sternula albifrons	
Spectacled Tern	Onychoprion lunatus	
Sooty Tern	Onychoprion fuscatus	
Black-naped Tern	Sterna sumatrana	
Common Tern	Sterna hirundo	
Whiskered Tern	Chlidonias hybrida	
White-winged Tern	Chlidonias leucopterus	
 
PHAETHONTIFORMES: Phaethontidae

White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Hydrobatidae

Matsudaira's Storm Petrel	Oceanodroma matsudairae	
 
PROCELLARIIFORMES: Procellariidae

Tahiti Petrel	Pseudobulweria rostrata	Rare/Accidental
Streaked Shearwater	Calonectris leucomelas	Rare/Accidental
Wedge-tailed Shearwater	Ardenna pacifica	
Short-tailed Shearwater	Ardenna tenuirostris	
Flesh-footed Shearwater	Ardenna carneipes	Rare/Accidental
Tropical Shearwater	Puffinus bailloni	
Bulwer's Petrel	Bulweria bulwerii	
 
SULIFORMES: Fregatidae

Great Frigatebird	Fregata minor	
Lesser Frigatebird	Fregata ariel	
 
SULIFORMES: Sulidae

Masked Booby	Sula dactylatra	
Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
 
SULIFORMES: Phalacrocoracidae

Little Pied Cormorant	Microcarbo melanoleucos	Rare/Accidental
Great Cormorant	Phalacrocorax carbo	Rare/Accidental
 
PELECANIFORMES: Ardeidae

Yellow Bittern	Ixobrychus sinensis	
Cinnamon Bittern	Ixobrychus cinnamomeus	Rare/Accidental
Black-crowned Night Heron	Nycticorax nycticorax	
Striated Heron	Butorides striata	
Eastern Cattle Egret	Bubulcus coromandus	
Grey Heron	Ardea cinerea	
Great Egret	Ardea alba	
Intermediate Egret	Ardea intermedia	
Little Egret	Egretta garzetta	
Pacific Reef Heron	Egretta sacra	
 
ACCIPITRIFORMES: Pandionidae

Western Osprey	Pandion haliaetus	
 
ACCIPITRIFORMES: Accipitridae

Chinese Sparrowhawk	Accipiter soloensis	
Grey-faced Buzzard	Butastur indicus	Rare/Accidental
 
CORACIIFORMES: Coraciidae

Oriental Dollarbird	Eurystomus orientalis	
 
FALCONIFORMES: Falconidae

Peregrine Falcon	Falco peregrinus	
 
PASSERIFORMES: Meliphagidae

Micronesian Myzomela	Myzomela rubratra	Endemic (country/region)
 
PASSERIFORMES: Campephagidae

Palau Cicadabird	Edolisoma monacha	
Yap Cicadabird	Edolisoma nesiotis	Endemic
 
PASSERIFORMES: Rhipiduridae

Rufous Fantail	Rhipidura rufifrons	
 
PASSERIFORMES: Monarchidae

Yap Monarch	Monarcha godeffroyi	Endemic
 
PASSERIFORMES: Hirundinidae

Barn Swallow	Hirundo rustica	
 
PASSERIFORMES: Acrocephalidae

Mangareva Reed Warbler	Acrocephalus astrolabii	Endemic (country/region)
Carolinian Reed Warbler	Acrocephalus syrinx	Endemic (country/region)
 
PASSERIFORMES: Zosteropidae

Olive-colored White-eye	Zosterops oleagineus	Endemic
Plain White-eye	Zosterops hypolais	Endemic
 
PASSERIFORMES: Sturnidae

Micronesian Starling	Aplonis opaca	Endemic (country/region)
 
PASSERIFORMES: Passeridae

Eurasian Tree Sparrow	Passer montanus	Introduced species
 
PASSERIFORMES: Estrildidae

Scaly-breasted Munia	Lonchura punctulata	Introduced species
 
PASSERIFORMES: Motacillidae

Eastern Yellow Wagtail	Motacilla tschutschensis	
Red-throated Pipit	Anthus cervinus	Rare/Accidental
