GALLIFORMES: Megapodiidae

Dusky Megapode	Megapodius freycinet	
Orange-footed Scrubfowl	Megapodius reinwardt	
 
CAPRIMULGIFORMES: Podargidae

Marbled Frogmouth	Podargus ocellatus	
 
APODIFORMES: Apodidae

Glossy Swiftlet	Collocalia esculenta	
Uniform Swiftlet	Aerodramus vanikorensis	
 
CUCULIFORMES: Cuculidae

Asian Koel	Eudynamys scolopaceus	
Pacific Koel	Eudynamys orientalis	
Channel-billed Cuckoo	Scythrops novaehollandiae	
Shining Bronze Cuckoo	Chrysococcyx lucidus	
Little Bronze Cuckoo	Chrysococcyx minutillus	
Brush Cuckoo	Cacomantis variolosus	
Oriental Cuckoo	Cuculus optatus	
 
COLUMBIFORMES: Columbidae

Pacific Emerald Dove	Chalcophaps longirostris	
Nicobar Pigeon	Caloenas nicobarica	
Superb Fruit Dove	Ptilinopus superbus	
White-bibbed Fruit Dove	Ptilinopus rivoli	
Claret-breasted Fruit Dove	Ptilinopus viridis	
Island Imperial Pigeon	Ducula pistrinaria	
Pied Imperial Pigeon	Ducula bicolor	
Torresian Imperial Pigeon	Ducula spilorrhoa	
 
GRUIFORMES: Rallidae

Australasian Swamphen	Porphyrio melanotus	
Red-necked Crake	Rallina tricolor	
 
CHARADRIIFORMES: Burhinidae

Beach Stone-curlew	Esacus magnirostris	
 
CHARADRIIFORMES: Charadriidae

Pacific Golden Plover	Pluvialis fulva	
Grey Plover	Pluvialis squatarola	
Lesser Sand Plover	Charadrius mongolus	
Greater Sand Plover	Charadrius leschenaultii	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Little Curlew	Numenius minutus	
Far Eastern Curlew	Numenius madagascariensis	
Bar-tailed Godwit	Limosa lapponica	
Black-tailed Godwit	Limosa limosa	
Ruddy Turnstone	Arenaria interpres	
Great Knot	Calidris tenuirostris	
Sharp-tailed Sandpiper	Calidris acuminata	
Curlew Sandpiper	Calidris ferruginea	
Red-necked Stint	Calidris ruficollis	
Sanderling	Calidris alba	
Swinhoe's Snipe	Gallinago megala	
Terek Sandpiper	Xenus cinereus	
Common Sandpiper	Actitis hypoleucos	
Wandering Tattler	Tringa incana	
Grey-tailed Tattler	Tringa brevipes	
Common Greenshank	Tringa nebularia	
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
White Tern	Gygis alba	
Australian Tern	Gelochelidon macrotarsa	
Greater Crested Tern	Thalasseus bergii	
Lesser Crested Tern	Thalasseus bengalensis	
Little Tern	Sternula albifrons	
Bridled Tern	Onychoprion anaethetus	
Sooty Tern	Onychoprion fuscatus	
Roseate Tern	Sterna dougallii	
Black-naped Tern	Sterna sumatrana	
Common Tern	Sterna hirundo	
Whiskered Tern	Chlidonias hybrida	
 
CHARADRIIFORMES: Stercorariidae

Pomarine Jaeger	Stercorarius pomarinus	
Parasitic Jaeger	Stercorarius parasiticus	
 
PHAETHONTIFORMES: Phaethontidae

Red-tailed Tropicbird	Phaethon rubricauda	
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	
 
PROCELLARIIFORMES: Procellariidae

Tahiti Petrel	Pseudobulweria rostrata	
Streaked Shearwater	Calonectris leucomelas	
Wedge-tailed Shearwater	Ardenna pacifica	
Sooty Shearwater	Ardenna grisea	
Short-tailed Shearwater	Ardenna tenuirostris	
Flesh-footed Shearwater	Ardenna carneipes	
Christmas Shearwater	Puffinus nativitatis	
Tropical Shearwater	Puffinus bailloni	
 
SULIFORMES: Fregatidae

Great Frigatebird	Fregata minor	
Lesser Frigatebird	Fregata ariel	
 
SULIFORMES: Sulidae

Masked Booby	Sula dactylatra	
Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
 
PELECANIFORMES: Ardeidae

Nankeen Night Heron	Nycticorax caledonicus	
Striated Heron	Butorides striata	
Pacific Reef Heron	Egretta sacra	
 
PELECANIFORMES: Pelecanidae

Australian Pelican	Pelecanus conspicillatus	
 
ACCIPITRIFORMES: Pandionidae

Eastern Osprey	Pandion cristatus	
 
ACCIPITRIFORMES: Accipitridae

Variable Goshawk	Accipiter hiogaster	
Whistling Kite	Haliastur sphenurus	
Brahminy Kite	Haliastur indus	
White-bellied Sea Eagle	Haliaeetus leucogaster	
 
CORACIIFORMES: Coraciidae

Oriental Dollarbird	Eurystomus orientalis	
 
CORACIIFORMES: Alcedinidae

Forest Kingfisher	Todiramphus macleayii	
Collared Kingfisher	Todiramphus chloris	
Beach Kingfisher	Todiramphus saurophagus	
Sacred Kingfisher	Todiramphus sanctus	
 
CORACIIFORMES: Meropidae

Rainbow Bee-eater	Merops ornatus	
 
FALCONIFORMES: Falconidae

Peregrine Falcon	Falco peregrinus	
 
PSITTACIFORMES: Cacatuidae

Sulphur-crested Cockatoo	Cacatua galerita	
 
PSITTACIFORMES: Psittaculidae

Eclectus Parrot	Eclectus roratus	
Purple-bellied Lory	Lorius hypoinochrous	Endemic (country/region)
 
PASSERIFORMES: Meliphagidae

Marbled Honeyeater	Pycnopygius cinereus	
Helmeted Friarbird	Philemon buceroides	
New Guinea Friarbird	Philemon novaeguineae	Endemic (country/region)
Tawny-breasted Honeyeater	Xanthotis flaviventer	
Puff-backed Honeyeater	Meliphaga aruensis	
Graceful Honeyeater	Microptilotis gracilis	
 
PASSERIFORMES: Acanthizidae

New Guinea Thornbill	Acanthiza murina	
 
PASSERIFORMES: Artamidae

Black-backed Butcherbird	Cracticus mentalis	
Hooded Butcherbird	Cracticus cassicus	
 
PASSERIFORMES: Campephagidae

