ANSERIFORMES: Anatidae

Garganey	Spatula querquedula	Rare/Accidental
Pacific Black Duck	Anas superciliosa	
Grey Teal	Anas gracilis	
 
GALLIFORMES: Megapodiidae

Melanesian Megapode	Megapodius eremita	
 
CAPRIMULGIFORMES: Caprimulgidae

Large-tailed Nightjar	Caprimulgus macrurus	
 
APODIFORMES: Hemiprocnidae

Moustached Treeswift	Hemiprocne mystacea	
 
APODIFORMES: Apodidae

Glossy Swiftlet	Collocalia esculenta	
White-rumped Swiftlet	Aerodramus spodiopygius	
Australian Swiftlet	Aerodramus terraereginae	
Mayr's Swiftlet	Aerodramus orientalis	
Uniform Swiftlet	Aerodramus vanikorensis	
 
CUCULIFORMES: Cuculidae

White-necked Coucal	Centropus ateralbus	Endemic (country/region)
Violaceous Coucal	Centropus violaceus	Endemic (country/region)
Pacific Koel	Eudynamys orientalis	
Pacific Long-tailed Cuckoo	Urodynamis taitensis	
Channel-billed Cuckoo	Scythrops novaehollandiae	
Shining Bronze Cuckoo	Chrysococcyx lucidus	
Brush Cuckoo	Cacomantis variolosus	
Oriental Cuckoo	Cuculus optatus	
 
COLUMBIFORMES: Columbidae

Metallic Pigeon	Columba vitiensis	
Yellow-legged Pigeon	Columba pallidiceps	
Amboyna Cuckoo-Dove	Macropygia amboinensis	
Bar-tailed Cuckoo-Dove	Macropygia nigrirostris	
MacKinlay's Cuckoo-Dove	Macropygia mackinlayi	
Pied Cuckoo-Dove	Reinwardtoena browni	Endemic (country/region)
Stephan's Emerald Dove	Chalcophaps stephani	
Nicobar Pigeon	Caloenas nicobarica	
White-breasted Ground Dove	Pampusana jobiensis	
Bronze Ground Dove	Pampusana beccarii	
Superb Fruit Dove	Ptilinopus superbus	
White-bibbed Fruit Dove	Ptilinopus rivoli	
Yellow-bibbed Fruit Dove	Ptilinopus solomonensis	
Knob-billed Fruit Dove	Ptilinopus insolitus	
Red-knobbed Imperial Pigeon	Ducula rubricera	
Finsch's Imperial Pigeon	Ducula finschii	Endemic (country/region)
Island Imperial Pigeon	Ducula pistrinaria	
Black Imperial Pigeon	Ducula melanochroa	
Yellowish Imperial Pigeon	Ducula subflavescens	
Papuan Mountain Pigeon	Gymnophaps albertisii	
 
GRUIFORMES: Rallidae

Buff-banded Rail	Hypotaenidia philippensis	
Australasian Swamphen	Porphyrio melanotus	
Red-necked Crake	Rallina tricolor	
Bare-eyed Rail	Gymnocrex plumbeiventris	
White-browed Crake	Poliolimnas cinereus	
Pale-vented Bush-hen	Amaurornis moluccana	
 
PODICIPEDIFORMES: Podicipedidae

Tricolored Grebe	Tachybaptus tricolor	
 
CHARADRIIFORMES: Burhinidae

Beach Stone-curlew	Esacus magnirostris	
 
CHARADRIIFORMES: Charadriidae

Pacific Golden Plover	Pluvialis fulva	
Grey Plover	Pluvialis squatarola	
Little Ringed Plover	Charadrius dubius	
Lesser Sand Plover	Charadrius mongolus	
Greater Sand Plover	Charadrius leschenaultii	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Little Curlew	Numenius minutus	
Far Eastern Curlew	Numenius madagascariensis	
Bar-tailed Godwit	Limosa lapponica	
Ruddy Turnstone	Arenaria interpres	
Sharp-tailed Sandpiper	Calidris acuminata	
Curlew Sandpiper	Calidris ferruginea	
Red-necked Stint	Calidris ruficollis	
Sanderling	Calidris alba	
Red-necked Phalarope	Phalaropus lobatus	
Common Sandpiper	Actitis hypoleucos	
Wandering Tattler	Tringa incana	
Grey-tailed Tattler	Tringa brevipes	
Marsh Sandpiper	Tringa stagnatilis	
Common Greenshank	Tringa nebularia	
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
White Tern	Gygis alba	
Greater Crested Tern	Thalasseus bergii	
Lesser Crested Tern	Thalasseus bengalensis	
Little Tern	Sternula albifrons	
Spectacled Tern	Onychoprion lunatus	
Bridled Tern	Onychoprion anaethetus	
Sooty Tern	Onychoprion fuscatus	
Roseate Tern	Sterna dougallii	
Black-naped Tern	Sterna sumatrana	
Common Tern	Sterna hirundo	
Whiskered Tern	Chlidonias hybrida	
 
CHARADRIIFORMES: Stercorariidae

Pomarine Jaeger	Stercorarius pomarinus	
Parasitic Jaeger	Stercorarius parasiticus	
Long-tailed Jaeger	Stercorarius longicaudus	
 
PHAETHONTIFORMES: Phaethontidae

Red-tailed Tropicbird	Phaethon rubricauda	
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Procellariidae

Tahiti Petrel	Pseudobulweria rostrata	
Beck's Petrel	Pseudobulweria becki	
Streaked Shearwater	Calonectris leucomelas	
Wedge-tailed Shearwater	Ardenna pacifica	
Tropical Shearwater	Puffinus bailloni	Rare/Accidental
Heinroth's Shearwater	Puffinus heinrothi	
 
SULIFORMES: Fregatidae

Great Frigatebird	Fregata minor	
Lesser Frigatebird	Fregata ariel	
 
SULIFORMES: Sulidae

Masked Booby	Sula dactylatra	
Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
 
PELECANIFORMES: Threskiornithidae

Straw-necked Ibis	Threskiornis spinicollis	Rare/Accidental
 
PELECANIFORMES: Ardeidae

Yellow Bittern	Ixobrychus sinensis	
Black Bittern	Ixobrychus flavicollis	
Nankeen Night Heron	Nycticorax caledonicus	
Striated Heron	Butorides striata	
Great Egret	Ardea alba	
Pacific Reef Heron	Egretta sacra	
 
PELECANIFORMES: Pelecanidae

Australian Pelican	Pelecanus conspicillatus	
 
ACCIPITRIFORMES: Pandionidae

Eastern Osprey	Pandion cristatus	
 
ACCIPITRIFORMES: Accipitridae

Pacific Baza	Aviceda subcristata	
Black Honey Buzzard	Henicopernis infuscatus	Endemic (country/region)
Variable Goshawk	Accipiter hiogaster	
Slaty-mantled Goshawk	Accipiter luteoschistaceus	
New Britain Sparrowhawk	Accipiter brachyurus	
Brahminy Kite	Haliastur indus	
White-bellied Sea Eagle	Haliaeetus leucogaster	
 
STRIGIFORMES: Strigidae

New Britain Boobook	Ninox odiosa	Endemic (country/region)
New Ireland Boobook	Ninox variegata	
 
BUCEROTIFORMES: Bucerotidae

Blyth's Hornbill	Rhyticeros plicatus	
 
CORACIIFORMES: Coraciidae

Oriental Dollarbird	Eurystomus orientalis	
 
CORACIIFORMES: Alcedinidae

Forest Kingfisher	Todiramphus macleayii	Rare/Accidental
Collared Kingfisher	Todiramphus chloris	
Melanesian Kingfisher	Todiramphus tristrami	
Beach Kingfisher	Todiramphus saurophagus	
Sacred Kingfisher	Todiramphus sanctus	
Common Kingfisher	Alcedo atthis	
New Ireland Dwarf Kingfisher	Ceyx mulcatus	Endemic (country/region)
Bismarck Kingfisher	Ceyx websteri	Endemic (country/region)
Little Kingfisher	Ceyx pusillus	
 
CORACIIFORMES: Meropidae

Blue-tailed Bee-eater	Merops philippinus	
Rainbow Bee-eater	Merops ornatus	
 
FALCONIFORMES: Falconidae

Oriental Hobby	Falco severus	
Peregrine Falcon	Falco peregrinus	
 
PSITTACIFORMES: Psittaculidae

Buff-faced Pygmy Parrot	Micropsitta pusio	
Finsch's Pygmy Parrot	Micropsitta finschii	
Red-breasted Pygmy Parrot	Micropsitta bruijnii	
Eclectus Parrot	Eclectus roratus	
Song Parrot	Geoffroyus heteroclitus	
Red-chinned Lorikeet	Charmosyna rubrigularis	
Red-flanked Lorikeet	Charmosyna placentis	
Purple-bellied Lory	Lorius hypoinochrous	
White-naped Lory	Lorius albidinucha	Endemic (country/region)
Cardinal Lory	Pseudeos cardinalis	
Coconut Lorikeet	Trichoglossus haematodus	
Bismarck Hanging Parrot	Loriculus tener	Endemic (country/region)
 
PASSERIFORMES: Pittidae

Bismarck Pitta	Erythropitta novaehibernicae	
 
PASSERIFORMES: Meliphagidae

Red Myzomela	Myzomela cruentata	
New Ireland Myzomela	Myzomela pulchella	Endemic (country/region)
Bismarck Black Myzomela	Myzomela pammelaena	Endemic (country/region)
Black-bellied Myzomela	Myzomela erythromelas	Endemic (country/region)
New Ireland Friarbird	Philemon eichhorni	Endemic (country/region)
 
PASSERIFORMES: Artamidae

White-backed Woodswallow	Artamus insignis	Endemic (country/region)
 
PASSERIFORMES: Campephagidae

Barred Cuckooshrike	Coracina lineata	
Black-faced Cuckooshrike	Coracina novaehollandiae	Rare/Accidental
White-bellied Cuckooshrike	Coracina papuensis	
Grey-capped Cicadabird	Edolisoma remotum	
Varied Triller	Lalage leucomela	
 
PASSERIFORMES: Pachycephalidae

Baliem Whistler	Pachycephala balim	
Bismarck Whistler	Pachycephala citreogaster	
Mangrove Golden Whistler	Pachycephala melanura	
 
PASSERIFORMES: Dicruridae

Paradise Drongo	Dicrurus megarhynchus	Endemic (country/region)
 
PASSERIFORMES: Rhipiduridae

Willie Wagtail	Rhipidura leucophrys	
Northern Fantail	Rhipidura rufiventris	
Bismarck Fantail	Rhipidura dahli	
 
PASSERIFORMES: Monarchidae

Black-tailed Monarch	Symposiachrus verticalis	Endemic (country/region)
Island Monarch	Monarcha cinerascens	
Golden Monarch	Carterornis chrysomela	
Satin Flycatcher	Myiagra cyanoleuca	
Shining Flycatcher	Myiagra alecto	
Velvet Flycatcher	Myiagra hebetior	
 
PASSERIFORMES: Corvidae

Bismarck Crow	Corvus insularis	
 
PASSERIFORMES: Hirundinidae

Pacific Swallow	Hirundo tahitica	
Tree Martin	Petrochelidon nigricans	
 
PASSERIFORMES: Phylloscopidae

Island Leaf Warbler	Phylloscopus poliocephalus	
 
PASSERIFORMES: Acrocephalidae

Clamorous Reed Warbler	Acrocephalus stentoreus	
Australian Reed Warbler	Acrocephalus australis	
 
PASSERIFORMES: Locustellidae

Gray's Grasshopper Warbler	Helopsaltes fasciolatus	Rare/Accidental
Papuan Grassbird	Cincloramphus macrurus	
 
PASSERIFORMES: Cisticolidae

Golden-headed Cisticola	Cisticola exilis	
 
PASSERIFORMES: Zosteropidae

Bismarck White-eye	Zosterops hypoxanthus	
Louisiade White-eye	Zosterops griseotinctus	Endemic (country/region)
 
PASSERIFORMES: Sturnidae

Metallic Starling	Aplonis metallica	
Singing Starling	Aplonis cantoroides	
Long-tailed Myna	Mino kreffti	
 
PASSERIFORMES: Turdidae

Island Thrush	Turdus poliocephalus	
 
PASSERIFORMES: Muscicapidae

Pied Bush Chat	Saxicola caprata	
 
PASSERIFORMES: Dicaeidae

Red-banded Flowerpecker	Dicaeum eximium	
 
PASSERIFORMES: Nectariniidae

Black Sunbird	Leptocoma aspasia	
Olive-backed Sunbird	Cinnyris jugularis	
 
PASSERIFORMES: Passeridae

Eurasian Tree Sparrow	Passer montanus	Rare/Accidental
 
PASSERIFORMES: Estrildidae

Hooded Mannikin	Lonchura spectabilis	
Forbes's Mannikin	Lonchura forbesi	Endemic (country/region)
Hunstein's Mannikin	Lonchura hunsteini	
Buff-bellied Mannikin	Lonchura melaena	
Blue-faced Parrotfinch	Erythrura trichroa	
 
PASSERIFORMES: Motacillidae

Western Yellow Wagtail	Motacilla flava	Rare/Accidental
