ANSERIFORMES: Anatidae

Spotted Whistling Duck	Dendrocygna guttata	
Raja Shelduck	Radjah radjah	
 
GALLIFORMES: Megapodiidae

New Guinea Scrubfowl	Megapodius decollatus	
Orange-footed Scrubfowl	Megapodius reinwardt	
 
CAPRIMULGIFORMES: Podargidae

Marbled Frogmouth	Podargus ocellatus	
Papuan Frogmouth	Podargus papuensis	
 
CAPRIMULGIFORMES: Caprimulgidae

Large-tailed Nightjar	Caprimulgus macrurus	
 
APODIFORMES: Aegothelidae

Barred Owlet-nightjar	Aegotheles bennettii	
 
APODIFORMES: Apodidae

Glossy Swiftlet	Collocalia esculenta	
Mountain Swiftlet	Aerodramus hirundinaceus	
Uniform Swiftlet	Aerodramus vanikorensis	
Papuan Spine-tailed Swift	Mearnsia novaeguineae	
 
CUCULIFORMES: Cuculidae

Pheasant Coucal	Centropus phasianinus	
Dwarf Koel	Microdynamis parva	
Asian Koel	Eudynamys scolopaceus	
Pacific Koel	Eudynamys orientalis	
Channel-billed Cuckoo	Scythrops novaehollandiae	
Shining Bronze Cuckoo	Chrysococcyx lucidus	
White-eared Bronze Cuckoo	Chrysococcyx meyerii	
Little Bronze Cuckoo	Chrysococcyx minutillus	
Fan-tailed Cuckoo	Cacomantis flabelliformis	
Brush Cuckoo	Cacomantis variolosus	
Oriental Cuckoo	Cuculus optatus	
 
COLUMBIFORMES: Columbidae

Metallic Pigeon	Columba vitiensis	
Amboyna Cuckoo-Dove	Macropygia amboinensis	
Bar-tailed Cuckoo-Dove	Macropygia nigrirostris	
MacKinlay's Cuckoo-Dove	Macropygia mackinlayi	
Great Cuckoo-Dove	Reinwardtoena reinwardti	
Pacific Emerald Dove	Chalcophaps longirostris	
Stephan's Emerald Dove	Chalcophaps stephani	
Nicobar Pigeon	Caloenas nicobarica	
White-breasted Ground Dove	Pampusana jobiensis	
Bronze Ground Dove	Pampusana beccarii	
Pheasant Pigeon	Otidiphaps nobilis	
Wompoo Fruit Dove	Ptilinopus magnificus	
Pink-spotted Fruit Dove	Ptilinopus perlatus	
Ornate Fruit Dove	Ptilinopus ornatus	
Orange-fronted Fruit Dove	Ptilinopus aurantiifrons	
Superb Fruit Dove	Ptilinopus superbus	
Coroneted Fruit Dove	Ptilinopus coronulatus	
Beautiful Fruit Dove	Ptilinopus pulchellus	
White-bibbed Fruit Dove	Ptilinopus rivoli	
Claret-breasted Fruit Dove	Ptilinopus viridis	
Dwarf Fruit Dove	Ptilinopus nainus	
Island Imperial Pigeon	Ducula pistrinaria	
Pinon's Imperial Pigeon	Ducula pinon	
Zoe's Imperial Pigeon	Ducula zoeae	
Pied Imperial Pigeon	Ducula bicolor	
Torresian Imperial Pigeon	Ducula spilorrhoa	
Papuan Mountain Pigeon	Gymnophaps albertisii	
 
GRUIFORMES: Rallidae

Australasian Swamphen	Porphyrio melanotus	
Red-necked Crake	Rallina tricolor	
Bare-eyed Rail	Gymnocrex plumbeiventris	
White-browed Crake	Poliolimnas cinereus	
Pale-vented Bush-hen	Amaurornis moluccana	
 
PODICIPEDIFORMES: Podicipedidae

Tricolored Grebe	Tachybaptus tricolor	
 
CHARADRIIFORMES: Burhinidae

Beach Stone-curlew	Esacus magnirostris	
 
CHARADRIIFORMES: Recurvirostridae

Pied Stilt	Himantopus leucocephalus	
 
CHARADRIIFORMES: Charadriidae

Pacific Golden Plover	Pluvialis fulva	
Grey Plover	Pluvialis squatarola	
Little Ringed Plover	Charadrius dubius	
Lesser Sand Plover	Charadrius mongolus	
Greater Sand Plover	Charadrius leschenaultii	
 
CHARADRIIFORMES: Jacanidae

Comb-crested Jacana	Irediparra gallinacea	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Little Curlew	Numenius minutus	
Far Eastern Curlew	Numenius madagascariensis	
Bar-tailed Godwit	Limosa lapponica	
Black-tailed Godwit	Limosa limosa	
Ruddy Turnstone	Arenaria interpres	
Great Knot	Calidris tenuirostris	
Broad-billed Sandpiper	Calidris falcinellus	
Sharp-tailed Sandpiper	Calidris acuminata	
Curlew Sandpiper	Calidris ferruginea	
Red-necked Stint	Calidris ruficollis	
Sanderling	Calidris alba	
Swinhoe's Snipe	Gallinago megala	
Terek Sandpiper	Xenus cinereus	
Common Sandpiper	Actitis hypoleucos	
Wandering Tattler	Tringa incana	
Grey-tailed Tattler	Tringa brevipes	
Common Greenshank	Tringa nebularia	
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
White Tern	Gygis alba	
Australian Tern	Gelochelidon macrotarsa	
Greater Crested Tern	Thalasseus bergii	
Lesser Crested Tern	Thalasseus bengalensis	
Little Tern	Sternula albifrons	
Spectacled Tern	Onychoprion lunatus	Rare/Accidental
Bridled Tern	Onychoprion anaethetus	
Sooty Tern	Onychoprion fuscatus	
Roseate Tern	Sterna dougallii	
Black-naped Tern	Sterna sumatrana	
Common Tern	Sterna hirundo	
Whiskered Tern	Chlidonias hybrida	
White-winged Tern	Chlidonias leucopterus	
 
CHARADRIIFORMES: Stercorariidae

Pomarine Jaeger	Stercorarius pomarinus	
Parasitic Jaeger	Stercorarius parasiticus	
 
PHAETHONTIFORMES: Phaethontidae

Red-tailed Tropicbird	Phaethon rubricauda	
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	
 
PROCELLARIIFORMES: Procellariidae

Kermadec Petrel	Pterodroma neglecta	
Tahiti Petrel	Pseudobulweria rostrata	
Streaked Shearwater	Calonectris leucomelas	
Wedge-tailed Shearwater	Ardenna pacifica	
Sooty Shearwater	Ardenna grisea	
Short-tailed Shearwater	Ardenna tenuirostris	
Flesh-footed Shearwater	Ardenna carneipes	
Christmas Shearwater	Puffinus nativitatis	
Tropical Shearwater	Puffinus bailloni	
Heinroth's Shearwater	Puffinus heinrothi	
 
SULIFORMES: Fregatidae

Great Frigatebird	Fregata minor	
Lesser Frigatebird	Fregata ariel	
 
SULIFORMES: Sulidae

Masked Booby	Sula dactylatra	
Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
 
SULIFORMES: Anhingidae

Australasian Darter	Anhinga novaehollandiae	
 
SULIFORMES: Phalacrocoracidae

Little Black Cormorant	Phalacrocorax sulcirostris	
 
PELECANIFORMES: Ardeidae

Black Bittern	Ixobrychus flavicollis	
Nankeen Night Heron	Nycticorax caledonicus	
Striated Heron	Butorides striata	
Eastern Cattle Egret	Bubulcus coromandus	
Great-billed Heron	Ardea sumatrana	
Great Egret	Ardea alba	
Pacific Reef Heron	Egretta sacra	
 
PELECANIFORMES: Pelecanidae

Australian Pelican	Pelecanus conspicillatus	
 
ACCIPITRIFORMES: Pandionidae

Eastern Osprey	Pandion cristatus	
 
ACCIPITRIFORMES: Accipitridae

Pacific Baza	Aviceda subcristata	
Long-tailed Honey Buzzard	Henicopernis longicauda	
Gurney's Eagle	Aquila gurneyi	
Grey Goshawk	Accipiter novaehollandiae	
Variable Goshawk	Accipiter hiogaster	
Brown Goshawk	Accipiter fasciatus	
Grey-headed Goshawk	Accipiter poliocephalus	
Collared Sparrowhawk	Accipiter cirrocephalus	
Black Kite	Milvus migrans	
Whistling Kite	Haliastur sphenurus	
Brahminy Kite	Haliastur indus	
White-bellied Sea Eagle	Haliaeetus leucogaster	
 
STRIGIFORMES: Strigidae

Papuan Boobook	Ninox theomacha	
 
BUCEROTIFORMES: Bucerotidae

Blyth's Hornbill	Rhyticeros plicatus	
 
CORACIIFORMES: Coraciidae

Oriental Dollarbird	Eurystomus orientalis	
 
CORACIIFORMES: Alcedinidae

Forest Kingfisher	Todiramphus macleayii	
Collared Kingfisher	Todiramphus chloris	
Torresian Kingfisher	Todiramphus sordidus	
Islet Kingfisher	Todiramphus colonus	
Beach Kingfisher	Todiramphus saurophagus	
Sacred Kingfisher	Todiramphus sanctus	
Yellow-billed Kingfisher	Syma torotoro	
Mountain Kingfisher	Syma megarhyncha	
Common Kingfisher	Alcedo atthis	
Papuan Dwarf Kingfisher	Ceyx solitarius	
Azure Kingfisher	Ceyx azureus	
Little Kingfisher	Ceyx pusillus	
 
CORACIIFORMES: Meropidae

Rainbow Bee-eater	Merops ornatus	
 
FALCONIFORMES: Falconidae

Oriental Hobby	Falco severus	
Peregrine Falcon	Falco peregrinus	
 
PSITTACIFORMES: Cacatuidae

Palm Cockatoo	Probosciger aterrimus	
Sulphur-crested Cockatoo	Cacatua galerita	
 
PSITTACIFORMES: Psittaculidae

Buff-faced Pygmy Parrot	Micropsitta pusio	
Red-breasted Pygmy Parrot	Micropsitta bruijnii	
Eclectus Parrot	Eclectus roratus	
Red-cheeked Parrot	Geoffroyus geoffroyi	
Red-chinned Lorikeet	Charmosyna rubrigularis	
Black-capped Lory	Lorius lory	
Purple-bellied Lory	Lorius hypoinochrous	
Coconut Lorikeet	Trichoglossus haematodus	
Double-eyed Fig Parrot	Cyclopsitta diophthalma	
Orange-fronted Hanging Parrot	Loriculus aurantiifrons	
 
PASSERIFORMES: Pittidae

Papuan Pitta	Erythropitta macklotii	
Hooded Pitta	Pitta sordida	
Noisy Pitta	Pitta versicolor	
 
PASSERIFORMES: Maluridae

Wallace's Fairywren	Sipodotus wallacii	
White-shouldered Fairywren	Malurus alboscapulatus	
 
PASSERIFORMES: Meliphagidae

Rufous-banded Honeyeater	Conopophila albogularis	
Brown-backed Honeyeater	Ramsayornis modestus	
Papuan Black Myzomela	Myzomela nigrita	
Red-collared Myzomela	Myzomela rosenbergii	
Helmeted Friarbird	Philemon buceroides	
New Guinea Friarbird	Philemon novaeguineae	
Tawny-breasted Honeyeater	Xanthotis flaviventer	
Puff-backed Honeyeater	Meliphaga aruensis	
Varied Honeyeater	Gavicalis versicolor	
 
PASSERIFORMES: Acanthizidae

Mangrove Gerygone	Gerygone levigaster	
Large-billed Gerygone	Gerygone magnirostris	
Yellow-bellied Gerygone	Gerygone chrysogaster	
 
PASSERIFORMES: Melanocharitidae

Dwarf Longbill	Oedistoma iliolophus	
Pygmy Longbill	Oedistoma pygmaeum	
 
PASSERIFORMES: Artamidae

White-breasted Woodswallow	Artamus leucorynchus	
Great Woodswallow	Artamus maximus	
Hooded Butcherbird	Cracticus cassicus	
 
PASSERIFORMES: Campephagidae

Black-faced Cuckooshrike	Coracina novaehollandiae	
Boyer's Cuckooshrike	Coracina boyeri	
Grey-headed Cuckooshrike	Edolisoma schisticeps	
Common Cicadabird	Edolisoma tenuirostre	
Varied Triller	Lalage leucomela	
 
PASSERIFORMES: Pachycephalidae

Black Pitohui	Melanorectes nigrescens	
Grey Whistler	Pachycephala simplex	
Sclater's Whistler	Pachycephala soror	
Baliem Whistler	Pachycephala balim	
Louisiade Whistler	Pachycephala collaris	
Mangrove Golden Whistler	Pachycephala melanura	
Variable Shrikethrush	Colluricincla fortis	
 
PASSERIFORMES: Oriolidae

Brown Oriole	Oriolus szalayi	
 
PASSERIFORMES: Dicruridae

Spangled Drongo	Dicrurus bracteatus	
Paradise Drongo	Dicrurus megarhynchus	Endemic (country/region)
Hair-crested Drongo	Dicrurus hottentottus	
 
PASSERIFORMES: Rhipiduridae

Willie Wagtail	Rhipidura leucophrys	
Northern Fantail	Rhipidura rufiventris	
Rufous Fantail	Rhipidura rufifrons	
 
PASSERIFORMES: Monarchidae

Black Monarch	Symposiachrus axillaris	
Spot-winged Monarch	Symposiachrus guttula	
Spectacled Monarch	Symposiachrus trivirgatus	
Hooded Monarch	Symposiachrus manadensis	
Island Monarch	Monarcha cinerascens	
Black-faced Monarch	Monarcha melanopsis	
Golden Monarch	Carterornis chrysomela	
Leaden Flycatcher	Myiagra rubecula	
Satin Flycatcher	Myiagra cyanoleuca	
Shining Flycatcher	Myiagra alecto	
 
PASSERIFORMES: Corvidae

Grey Crow	Corvus tristis	
Torresian Crow	Corvus orru	
 
PASSERIFORMES: Paradisaeidae

Curl-crested Manucode	Manucodia comrii	
Trumpet Manucode	Phonygammus keraudrenii	
Goldie's Bird-of-paradise	Paradisaea decora	Endemic
 
PASSERIFORMES: Petroicidae

Black-throated Robin	Plesiodryas albonotata	
Lemon-bellied Flyrobin	Microeca flavigaster	
Torrent Flyrobin	Monachella muelleriana	
 
PASSERIFORMES: Hirundinidae

Pacific Swallow	Hirundo tahitica	
Red-rumped Swallow	Cecropis daurica	
Tree Martin	Petrochelidon nigricans	
 
PASSERIFORMES: Phylloscopidae

Mountain Leaf Warbler	Phylloscopus trivirgatus	
Island Leaf Warbler	Phylloscopus poliocephalus	
 
PASSERIFORMES: Locustellidae

Papuan Grassbird	Cincloramphus macrurus	
Tawny Grassbird	Cincloramphus timoriensis	
 
PASSERIFORMES: Cisticolidae

Golden-headed Cisticola	Cisticola exilis	
 
PASSERIFORMES: Zosteropidae

Black-crowned White-eye	Zosterops atrifrons	
Black-fronted White-eye	Zosterops minor	
Capped White-eye	Zosterops fuscicapilla	
Louisiade White-eye	Zosterops griseotinctus	Endemic (country/region)
 
PASSERIFORMES: Sturnidae

Metallic Starling	Aplonis metallica	
Singing Starling	Aplonis cantoroides	
 
PASSERIFORMES: Turdidae

Island Thrush	Turdus poliocephalus	
 
PASSERIFORMES: Dicaeidae

Olive-crowned Flowerpecker	Dicaeum pectorale	
Red-capped Flowerpecker	Dicaeum geelvinkianum	
 
PASSERIFORMES: Nectariniidae

Black Sunbird	Leptocoma aspasia	
Olive-backed Sunbird	Cinnyris jugularis	
 
PASSERIFORMES: Passeridae

Eurasian Tree Sparrow	Passer montanus	Rare/Accidental
 
PASSERIFORMES: Estrildidae

Chestnut-breasted Mannikin	Lonchura castaneothorax	
Blue-faced Parrotfinch	Erythrura trichroa
