ANSERIFORMES: Anatidae

Pacific Black Duck	Anas superciliosa	
Grey Teal	Anas gracilis	
 
GALLIFORMES: Megapodiidae

Dusky Megapode	Megapodius freycinet	
Melanesian Megapode	Megapodius eremita	
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	Introduced species
 
APODIFORMES: Hemiprocnidae

Moustached Treeswift	Hemiprocne mystacea	
 
APODIFORMES: Apodidae

Glossy Swiftlet	Collocalia esculenta	
Satin Swiftlet	Collocalia uropygialis	
White-rumped Swiftlet	Aerodramus spodiopygius	
Australian Swiftlet	Aerodramus terraereginae	
Mayr's Swiftlet	Aerodramus orientalis	
Uniform Swiftlet	Aerodramus vanikorensis	
 
CUCULIFORMES: Cuculidae

Pacific Long-tailed Cuckoo	Urodynamis taitensis	
Channel-billed Cuckoo	Scythrops novaehollandiae	
Shining Bronze Cuckoo	Chrysococcyx lucidus	
Brush Cuckoo	Cacomantis variolosus	
Himalayan Cuckoo	Cuculus saturatus	
Oriental Cuckoo	Cuculus optatus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Amboyna Cuckoo-Dove	Macropygia amboinensis	
MacKinlay's Cuckoo-Dove	Macropygia mackinlayi	
Pied Cuckoo-Dove	Reinwardtoena browni	
Stephan's Emerald Dove	Chalcophaps stephani	
Nicobar Pigeon	Caloenas nicobarica	
White-breasted Ground Dove	Pampusana jobiensis	
Bronze Ground Dove	Pampusana beccarii	
Superb Fruit Dove	Ptilinopus superbus	
Beautiful Fruit Dove	Ptilinopus pulchellus	
White-bibbed Fruit Dove	Ptilinopus rivoli	
Yellow-bibbed Fruit Dove	Ptilinopus solomonensis	
Claret-breasted Fruit Dove	Ptilinopus viridis	
Pacific Imperial Pigeon	Ducula pacifica	
Island Imperial Pigeon	Ducula pistrinaria	
Pinon's Imperial Pigeon	Ducula pinon	
Pied Imperial Pigeon	Ducula bicolor	
Torresian Imperial Pigeon	Ducula spilorrhoa	
Yellowish Imperial Pigeon	Ducula subflavescens	
 
GRUIFORMES: Rallidae

Buff-banded Rail	Hypotaenidia philippensis	
Australasian Swamphen	Porphyrio melanotus	
Spotless Crake	Zapornia tabuensis	
Pale-vented Bush-hen	Amaurornis moluccana	
 
PODICIPEDIFORMES: Podicipedidae

Tricolored Grebe	Tachybaptus tricolor	
Australasian Grebe	Tachybaptus novaehollandiae	
 
CHARADRIIFORMES: Burhinidae

Beach Stone-curlew	Esacus magnirostris	
 
CHARADRIIFORMES: Charadriidae

Pacific Golden Plover	Pluvialis fulva	
Grey Plover	Pluvialis squatarola	
Lesser Sand Plover	Charadrius mongolus	
Greater Sand Plover	Charadrius leschenaultii	
 
CHARADRIIFORMES: Scolopacidae

Bristle-thighed Curlew	Numenius tahitiensis	Rare/Accidental
Eurasian Whimbrel	Numenius phaeopus	
Little Curlew	Numenius minutus	
Far Eastern Curlew	Numenius madagascariensis	
Bar-tailed Godwit	Limosa lapponica	
Black-tailed Godwit	Limosa limosa	
Ruddy Turnstone	Arenaria interpres	
Ruff	Calidris pugnax	
Sharp-tailed Sandpiper	Calidris acuminata	
Curlew Sandpiper	Calidris ferruginea	
Red-necked Stint	Calidris ruficollis	
Sanderling	Calidris alba	
Swinhoe's Snipe	Gallinago megala	
Terek Sandpiper	Xenus cinereus	
Red-necked Phalarope	Phalaropus lobatus	
Common Sandpiper	Actitis hypoleucos	
Wandering Tattler	Tringa incana	
Grey-tailed Tattler	Tringa brevipes	
Common Greenshank	Tringa nebularia	
 
CHARADRIIFORMES: Glareolidae

Australian Pratincole	Stiltia isabella	
Oriental Pratincole	Glareola maldivarum	
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
White Tern	Gygis alba	
Black-headed Gull	Chroicocephalus ridibundus	Rare/Accidental
Australian Tern	Gelochelidon macrotarsa	
Greater Crested Tern	Thalasseus bergii	
Lesser Crested Tern	Thalasseus bengalensis	
Little Tern	Sternula albifrons	
Spectacled Tern	Onychoprion lunatus	Rare/Accidental
Bridled Tern	Onychoprion anaethetus	
Sooty Tern	Onychoprion fuscatus	
Roseate Tern	Sterna dougallii	
Black-naped Tern	Sterna sumatrana	
Common Tern	Sterna hirundo	
Whiskered Tern	Chlidonias hybrida	
White-winged Tern	Chlidonias leucopterus	
 
CHARADRIIFORMES: Stercorariidae

Pomarine Jaeger	Stercorarius pomarinus	
Parasitic Jaeger	Stercorarius parasiticus	
Long-tailed Jaeger	Stercorarius longicaudus	
 
PHAETHONTIFORMES: Phaethontidae

Red-tailed Tropicbird	Phaethon rubricauda	
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	
White-bellied Storm Petrel	Fregetta grallaria	
Black-bellied Storm Petrel	Fregetta tropica	
 
PROCELLARIIFORMES: Hydrobatidae

Matsudaira's Storm Petrel	Oceanodroma matsudairae	
 
PROCELLARIIFORMES: Procellariidae

Kermadec Petrel	Pterodroma neglecta	Rare/Accidental
Gould's Petrel	Pterodroma leucoptera	
Tahiti Petrel	Pseudobulweria rostrata	
Beck's Petrel	Pseudobulweria becki	
Streaked Shearwater	Calonectris leucomelas	
Wedge-tailed Shearwater	Ardenna pacifica	
Sooty Shearwater	Ardenna grisea	
Short-tailed Shearwater	Ardenna tenuirostris	
Flesh-footed Shearwater	Ardenna carneipes	
Christmas Shearwater	Puffinus nativitatis	
Tropical Shearwater	Puffinus bailloni	
Heinroth's Shearwater	Puffinus heinrothi	
Bulwer's Petrel	Bulweria bulwerii	Rare/Accidental
 
SULIFORMES: Fregatidae

Great Frigatebird	Fregata minor	
Lesser Frigatebird	Fregata ariel	
 
SULIFORMES: Sulidae

Masked Booby	Sula dactylatra	
Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
 
SULIFORMES: Phalacrocoracidae

Little Black Cormorant	Phalacrocorax sulcirostris	
 
PELECANIFORMES: Threskiornithidae

Glossy Ibis	Plegadis falcinellus	
 
PELECANIFORMES: Ardeidae

Yellow Bittern	Ixobrychus sinensis	
Black Bittern	Ixobrychus flavicollis	
Nankeen Night Heron	Nycticorax caledonicus	
Striated Heron	Butorides striata	
Eastern Cattle Egret	Bubulcus coromandus	
Great Egret	Ardea alba	
Intermediate Egret	Ardea intermedia	
Little Egret	Egretta garzetta	
Pacific Reef Heron	Egretta sacra	
 
ACCIPITRIFORMES: Pandionidae

Eastern Osprey	Pandion cristatus	
 
ACCIPITRIFORMES: Accipitridae

Pacific Baza	Aviceda subcristata	
Grey Goshawk	Accipiter novaehollandiae	
Variable Goshawk	Accipiter hiogaster	
Meyer's Goshawk	Accipiter meyerianus	
Brahminy Kite	Haliastur indus	
White-bellied Sea Eagle	Haliaeetus leucogaster	
 
STRIGIFORMES: Tytonidae

Manus Masked Owl	Tyto manusi	Endemic (country/region)
Australian Masked Owl	Tyto novaehollandiae	
 
STRIGIFORMES: Strigidae

Rufous Owl	Ninox rufa	
Manus Boobook	Ninox meeki	Endemic
 
CORACIIFORMES: Coraciidae

Oriental Dollarbird	Eurystomus orientalis	
 
CORACIIFORMES: Alcedinidae

Collared Kingfisher	Todiramphus chloris	
Melanesian Kingfisher	Todiramphus tristrami	
Beach Kingfisher	Todiramphus saurophagus	
Sacred Kingfisher	Todiramphus sanctus	
Common Kingfisher	Alcedo atthis	
Manus Dwarf Kingfisher	Ceyx dispar	Endemic
Azure Kingfisher	Ceyx azureus	
 
CORACIIFORMES: Meropidae

Rainbow Bee-eater	Merops ornatus	
 
FALCONIFORMES: Falconidae

Oriental Hobby	Falco severus	
Peregrine Falcon	Falco peregrinus	
 
PSITTACIFORMES: Psittaculidae

Meek's Pygmy Parrot	Micropsitta meeki	
Eclectus Parrot	Eclectus roratus	
Red-flanked Lorikeet	Charmosyna placentis	
Purple-bellied Lory	Lorius hypoinochrous	Endemic (country/region)
Coconut Lorikeet	Trichoglossus haematodus	
 
PASSERIFORMES: Pittidae

Superb Pitta	Pitta superba	Endemic
 
PASSERIFORMES: Meliphagidae

Gilliard's Honeyeater	Vosea whitemanensis	Endemic (country/region)
Red Myzomela	Myzomela cruentata	
Bismarck Black Myzomela	Myzomela pammelaena	
Manus Friarbird	Philemon albitorques	Endemic (country/region)
 
PASSERIFORMES: Campephagidae

Black-faced Cuckooshrike	Coracina novaehollandiae	
White-bellied Cuckooshrike	Coracina papuensis	
Manus Cuckooshrike	Coracina ingens	Endemic
Admiralty Cicadabird	Edolisoma admiralitatis	Endemic
 
PASSERIFORMES: Pachycephalidae

Baliem Whistler	Pachycephala balim	
Bismarck Whistler	Pachycephala citreogaster	
 
PASSERIFORMES: Dicruridae

Spangled Drongo	Dicrurus bracteatus	
 
PASSERIFORMES: Rhipiduridae

Willie Wagtail	Rhipidura leucophrys	
Northern Fantail	Rhipidura rufiventris	
Manus Fantail	Rhipidura semirubra	Endemic
Rufous Fantail	Rhipidura rufifrons	
 
PASSERIFORMES: Monarchidae

Spot-winged Monarch	Symposiachrus guttula	
Manus Monarch	Symposiachrus infelix	Endemic (country/region)
Solomons Monarch	Symposiachrus barbatus	
Island Monarch	Monarcha cinerascens	
Satin Flycatcher	Myiagra cyanoleuca	
Shining Flycatcher	Myiagra alecto	
 
PASSERIFORMES: Corvidae

Bismarck Crow	Corvus insularis	
 
PASSERIFORMES: Hirundinidae

Barn Swallow	Hirundo rustica	
Pacific Swallow	Hirundo tahitica	
Tree Martin	Petrochelidon nigricans	
 
PASSERIFORMES: Phylloscopidae

Japanese Leaf Warbler	Phylloscopus xanthodryas	Rare/Accidental
Kamchatka Leaf Warbler	Phylloscopus examinandus	Rare/Accidental
Arctic Warbler	Phylloscopus borealis	Rare/Accidental
 
PASSERIFORMES: Locustellidae

Gray's Grasshopper Warbler	Helopsaltes fasciolatus	
 
PASSERIFORMES: Zosteropidae

Black-crowned White-eye	Zosterops atrifrons	
Bismarck White-eye	Zosterops hypoxanthus	Endemic (country/region)
Louisiade White-eye	Zosterops griseotinctus	Endemic (country/region)
 
PASSERIFORMES: Sturnidae

Metallic Starling	Aplonis metallica	
Singing Starling	Aplonis cantoroides	
Atoll Starling	Aplonis feadensis	
 
PASSERIFORMES: Nectariniidae

Black Sunbird	Leptocoma aspasia	
Olive-backed Sunbird	Cinnyris jugularis	
 
PASSERIFORMES: Motacillidae

Grey Wagtail	Motacilla cinerea
