APTERYGIFORMES: Apterygidae

Southern Brown Kiwi	Apteryx australis	Endemic (country/region) Vulnerable
Okarito Kiwi	Apteryx rowi	Endemic (country/region) Vulnerable
Little Spotted Kiwi	Apteryx owenii	Endemic (country/region) Near-threatened
Great Spotted Kiwi	Apteryx haastii	Endemic (country/region) Vulnerable
 
ANSERIFORMES: Anatidae

Plumed Whistling Duck	Dendrocygna eytoni	Rare/Accidental
Cape Barren Goose	Cereopsis novaehollandiae	Rare/Accidental
Canada Goose	Branta canadensis	Introduced species
Greylag Goose	Anser anser	Introduced species
Black Swan	Cygnus atratus	Introduced species
Mute Swan	Cygnus olor	Introduced species
Blue Duck	Hymenolaimus malacorhynchos	Endemic (country/region) Endangered
Australian Shelduck	Tadorna tadornoides	Rare/Accidental
Paradise Shelduck	Tadorna variegata	Endemic (country/region)
Maned Duck	Chenonetta jubata	Rare/Accidental
Australasian Shoveler	Spatula rhynchotis	
Northern Shoveler	Spatula clypeata	Rare/Accidental
Pacific Black Duck	Anas superciliosa	
Mallard	Anas platyrhynchos	Introduced species
Northern Pintail	Anas acuta	Rare/Accidental
Grey Teal	Anas gracilis	
Chestnut Teal	Anas castanea	Rare/Accidental
Brown Teal	Anas chlorotis	Endemic (country/region) Near-threatened
Auckland Teal	Anas aucklandica	Endemic (country/region) Near-threatened
Campbell Teal	Anas nesiotis	Endemic (country/region) Vulnerable
Hardhead	Aythya australis	Rare/Accidental
New Zealand Scaup	Aythya novaeseelandiae	Endemic (country/region)
New Zealand Merganser	Mergus australis	Endemic (country/region) Extinct
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	Introduced species
 
GALLIFORMES: Odontophoridae

California Quail	Callipepla californica	Introduced species
 
GALLIFORMES: Phasianidae

Wild Turkey	Meleagris gallopavo	Introduced species
Grey Partridge	Perdix perdix	Introduced species
Common Pheasant	Phasianus colchicus	Introduced species
Indian Peafowl	Pavo cristatus	Introduced species
Red Junglefowl	Gallus gallus	Introduced species
New Zealand Quail	Coturnix novaezelandiae	Endemic (country/region) Extinct
Red-legged Partridge	Alectoris rufa	Introduced species Near-threatened
Chukar Partridge	Alectoris chukar	Introduced species
 
APODIFORMES: Apodidae

White-throated Needletail	Hirundapus caudacutus	Rare/Accidental
Pacific Swift	Apus pacificus	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Pacific Long-tailed Cuckoo	Urodynamis taitensis	Endemic (country/region)
Channel-billed Cuckoo	Scythrops novaehollandiae	Rare/Accidental
Shining Bronze Cuckoo	Chrysococcyx lucidus	
Pallid Cuckoo	Cacomantis pallidus	Rare/Accidental
Fan-tailed Cuckoo	Cacomantis flabelliformis	Rare/Accidental
Oriental Cuckoo	Cuculus optatus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
African Collared Dove	Streptopelia roseogrisea	Rare/Accidental
Spotted Dove	Spilopelia chinensis	Introduced species
New Zealand Pigeon	Hemiphaga novaeseelandiae	Near-threatened
 
GRUIFORMES: Rallidae

Corn Crake	Crex crex	Rare/Accidental
Auckland Rail	Lewinia muelleri	Endemic (country/region) Vulnerable
Weka	Gallirallus australis	Endemic (country/region) Vulnerable
Buff-banded Rail	Hypotaenidia philippensis	
Black-tailed Nativehen	Tribonyx ventralis	Rare/Accidental
Dusky Moorhen	Gallinula tenebrosa	Rare/Accidental
Common Moorhen	Gallinula chloropus	Rare/Accidental
Eurasian Coot	Fulica atra	
Australasian Swamphen	Porphyrio melanotus	
South Island Takahe	Porphyrio hochstetteri	Endemic (country/region) Endangered
Baillon's Crake	Zapornia pusilla	
Spotless Crake	Zapornia tabuensis	
 
PODICIPEDIFORMES: Podicipedidae

Australasian Grebe	Tachybaptus novaehollandiae	Rare/Accidental
Hoary-headed Grebe	Poliocephalus poliocephalus	Rare/Accidental
New Zealand Grebe	Poliocephalus rufopectus	Endemic (country/region) Near-threatened
Great Crested Grebe	Podiceps cristatus	
 
CHARADRIIFORMES: Haematopodidae

South Island Oystercatcher	Haematopus finschi	Endemic (country/region)
Variable Oystercatcher	Haematopus unicolor	Endemic (country/region)
 
CHARADRIIFORMES: Recurvirostridae

Pied Stilt	Himantopus leucocephalus	
Black Stilt	Himantopus novaezelandiae	Endemic (country/region) Critically endangered
Red-necked Avocet	Recurvirostra novaehollandiae	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Masked Lapwing	Vanellus miles	
Wrybill	Anarhynchus frontalis	Endemic (country/region) Vulnerable
Pacific Golden Plover	Pluvialis fulva	
Grey Plover	Pluvialis squatarola	Rare/Accidental
New Zealand Plover	Charadrius obscurus	Endemic (country/region)
Red-capped Plover	Charadrius ruficapillus	Rare/Accidental
Double-banded Plover	Charadrius bicinctus	Near-threatened
Lesser Sand Plover	Charadrius mongolus	Rare/Accidental
Greater Sand Plover	Charadrius leschenaultii	Rare/Accidental
Oriental Plover	Charadrius veredus	Rare/Accidental
Shore Dotterel	Thinornis novaeseelandiae	Rare/Accidental Endangered
Black-fronted Dotterel	Elseyornis melanops	
 
CHARADRIIFORMES: Rostratulidae

Australian Painted-snipe	Rostratula australis	Rare/Accidental Endangered
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Hudsonian Whimbrel	Numenius hudsonicus	
Little Curlew	Numenius minutus	Rare/Accidental
Far Eastern Curlew	Numenius madagascariensis	Endangered
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Black-tailed Godwit	Limosa limosa	Rare/Accidental Near-threatened
Hudsonian Godwit	Limosa haemastica	Rare/Accidental
Ruddy Turnstone	Arenaria interpres	
Great Knot	Calidris tenuirostris	Rare/Accidental Endangered
Red Knot	Calidris canutus	Near-threatened
Ruff	Calidris pugnax	Rare/Accidental
Broad-billed Sandpiper	Calidris falcinellus	Rare/Accidental
Sharp-tailed Sandpiper	Calidris acuminata	
Stilt Sandpiper	Calidris himantopus	Rare/Accidental
Curlew Sandpiper	Calidris ferruginea	Near-threatened
Long-toed Stint	Calidris subminuta	Rare/Accidental
Red-necked Stint	Calidris ruficollis	Near-threatened
Sanderling	Calidris alba	Rare/Accidental
Little Stint	Calidris minuta	Rare/Accidental
Buff-breasted Sandpiper	Calidris subruficollis	Rare/Accidental Near-threatened
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
Western Sandpiper	Calidris mauri	Rare/Accidental
Asian Dowitcher	Limnodromus semipalmatus	Rare/Accidental Near-threatened
North Island Snipe	Coenocorypha barrierensis	Endemic Extinct
South Island Snipe	Coenocorypha iredalei	Endemic (country/region) Extinct
Snares Snipe	Coenocorypha huegeli	Endemic Near-threatened
Subantarctic Snipe	Coenocorypha aucklandica	Near-threatened
Latham's Snipe	Gallinago hardwickii	Rare/Accidental
Terek Sandpiper	Xenus cinereus	Rare/Accidental
Wilson's Phalarope	Phalaropus tricolor	Rare/Accidental
Red-necked Phalarope	Phalaropus lobatus	Rare/Accidental
Red Phalarope	Phalaropus fulicarius	Rare/Accidental
Common Sandpiper	Actitis hypoleucos	Rare/Accidental
Wandering Tattler	Tringa incana	Rare/Accidental
Grey-tailed Tattler	Tringa brevipes	Near-threatened
Lesser Yellowlegs	Tringa flavipes	Rare/Accidental
Marsh Sandpiper	Tringa stagnatilis	Rare/Accidental
Common Greenshank	Tringa nebularia	Rare/Accidental
 
CHARADRIIFORMES: Glareolidae

Oriental Pratincole	Glareola maldivarum	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Black Noddy	Anous minutus	Rare/Accidental
Blue Noddy	Anous ceruleus	Rare/Accidental
Grey Noddy	Anous albivitta	
White Tern	Gygis alba	Rare/Accidental
Silver Gull	Chroicocephalus novaehollandiae	
Black-billed Gull	Chroicocephalus bulleri	Endemic (country/region) Near-threatened
Franklin's Gull	Leucophaeus pipixcan	Rare/Accidental
Kelp Gull	Larus dominicanus	
Australian Tern	Gelochelidon macrotarsa	Rare/Accidental
Caspian Tern	Hydroprogne caspia	
Greater Crested Tern	Thalasseus bergii	Rare/Accidental
Little Tern	Sternula albifrons	
Fairy Tern	Sternula nereis	Vulnerable
Bridled Tern	Onychoprion anaethetus	Rare/Accidental
Sooty Tern	Onychoprion fuscatus	Rare/Accidental
White-fronted Tern	Sterna striata	Endemic (country/region) Near-threatened
Common Tern	Sterna hirundo	Rare/Accidental
Arctic Tern	Sterna paradisaea	Rare/Accidental
Antarctic Tern	Sterna vittata	
Black-fronted Tern	Chlidonias albostriatus	Endemic (country/region) Endangered
Whiskered Tern	Chlidonias hybrida	Rare/Accidental
White-winged Tern	Chlidonias leucopterus	
 
CHARADRIIFORMES: Stercorariidae

South Polar Skua	Stercorarius maccormicki	Rare/Accidental
Brown Skua	Stercorarius antarcticus	
Pomarine Jaeger	Stercorarius pomarinus	
Parasitic Jaeger	Stercorarius parasiticus	
Long-tailed Jaeger	Stercorarius longicaudus	Rare/Accidental
 
PHAETHONTIFORMES: Phaethontidae

Red-tailed Tropicbird	Phaethon rubricauda	Rare/Accidental
 
SPHENISCIFORMES: Spheniscidae

King Penguin	Aptenodytes patagonicus	Rare/Accidental
Emperor Penguin	Aptenodytes forsteri	Rare/Accidental Near-threatened
Adelie Penguin	Pygoscelis adeliae	Rare/Accidental
Chinstrap Penguin	Pygoscelis antarcticus	Rare/Accidental
Gentoo Penguin	Pygoscelis papua	Rare/Accidental
Little Penguin	Eudyptula minor	
Magellanic Penguin	Spheniscus magellanicus	Rare/Accidental
Yellow-eyed Penguin	Megadyptes antipodes	Endemic (country/region) Endangered
Macaroni Penguin	Eudyptes chrysolophus	Rare/Accidental Vulnerable
Royal Penguin	Eudyptes schlegeli	Rare/Accidental Near-threatened
Southern Rockhopper Penguin	Eudyptes chrysocome	Rare/Accidental Vulnerable
Fiordland Penguin	Eudyptes pachyrhynchus	Endemic (country/region) Near-threatened
