ANSERIFORMES: Anatidae

Canada Goose	Branta canadensis	Rare/Accidental
Black Swan	Cygnus atratus	Rare/Accidental
Australian Shelduck	Tadorna tadornoides	Rare/Accidental
Australasian Shoveler	Spatula rhynchotis	Rare/Accidental
Pacific Black Duck	Anas superciliosa	
Mallard	Anas platyrhynchos	Introduced species
Grey Teal	Anas gracilis	
Auckland Teal	Anas aucklandica	Endemic (country/region)
Hardhead	Aythya australis	Rare/Accidental
New Zealand Merganser	Mergus australis	Endemic (country/region)
 
APODIFORMES: Apodidae

White-throated Needletail	Hirundapus caudacutus	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Pacific Long-tailed Cuckoo	Urodynamis taitensis	Rare/Accidental
Shining Bronze Cuckoo	Chrysococcyx lucidus	Rare/Accidental
 
GRUIFORMES: Rallidae

Auckland Rail	Lewinia muelleri	Endemic (country/region)
Buff-banded Rail	Hypotaenidia philippensis	
 
CHARADRIIFORMES: Charadriidae

Masked Lapwing	Vanellus miles	Rare/Accidental
Pacific Golden Plover	Pluvialis fulva	Rare/Accidental
Double-banded Plover	Charadrius bicinctus	
 
CHARADRIIFORMES: Scolopacidae

Bar-tailed Godwit	Limosa lapponica	Rare/Accidental
Black-tailed Godwit	Limosa limosa	Rare/Accidental
Ruddy Turnstone	Arenaria interpres	
Red Knot	Calidris canutus	Rare/Accidental
Sharp-tailed Sandpiper	Calidris acuminata	Rare/Accidental
Curlew Sandpiper	Calidris ferruginea	Rare/Accidental
Red-necked Stint	Calidris ruficollis	Rare/Accidental
Subantarctic Snipe	Coenocorypha aucklandica	Endemic (country/region)
Wandering Tattler	Tringa incana	Rare/Accidental
Grey-tailed Tattler	Tringa brevipes	Rare/Accidental
Common Greenshank	Tringa nebularia	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Silver Gull	Chroicocephalus novaehollandiae	
Black-billed Gull	Chroicocephalus bulleri	Rare/Accidental
Kelp Gull	Larus dominicanus	
White-fronted Tern	Sterna striata	Endemic (country/region)
Arctic Tern	Sterna paradisaea	Rare/Accidental
Antarctic Tern	Sterna vittata	
 
CHARADRIIFORMES: Stercorariidae

South Polar Skua	Stercorarius maccormicki	Rare/Accidental
Brown Skua	Stercorarius antarcticus	
Parasitic Jaeger	Stercorarius parasiticus	
 
SPHENISCIFORMES: Spheniscidae

King Penguin	Aptenodytes patagonicus	Rare/Accidental
Yellow-eyed Penguin	Megadyptes antipodes	Endemic (country/region)
Macaroni Penguin	Eudyptes chrysolophus	
Royal Penguin	Eudyptes schlegeli	Rare/Accidental
Southern Rockhopper Penguin	Eudyptes chrysocome	
Fiordland Penguin	Eudyptes pachyrhynchus	Rare/Accidental
Snares Penguin	Eudyptes robustus	Rare/Accidental
Erect-crested Penguin	Eudyptes sclateri	
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	Rare/Accidental
Grey-backed Storm Petrel	Garrodia nereis	
White-faced Storm Petrel	Pelagodroma marina	
Black-bellied Storm Petrel	Fregetta tropica	
 
PROCELLARIIFORMES: Diomedeidae

Wandering Albatross	Diomedea exulans	
Antipodean Albatross	Diomedea antipodensis	
Southern Royal Albatross	Diomedea epomophora	
Northern Royal Albatross	Diomedea sanfordi	Rare/Accidental
Sooty Albatross	Phoebetria fusca	Rare/Accidental
Light-mantled Albatross	Phoebetria palpebrata	
Black-browed Albatross	Thalassarche melanophris	
Campbell Albatross	Thalassarche impavida	
Shy Albatross	Thalassarche cauta	
Salvin's Albatross	Thalassarche salvini	
Grey-headed Albatross	Thalassarche chrysostoma	
Buller's Albatross	Thalassarche bulleri	
 
PROCELLARIIFORMES: Procellariidae

Southern Giant Petrel	Macronectes giganteus	Rare/Accidental
Northern Giant Petrel	Macronectes halli	
Southern Fulmar	Fulmarus glacialoides	
Antarctic Petrel	Thalassoica antarctica	Rare/Accidental
Cape Petrel	Daption capense	
Blue Petrel	Halobaena caerulea	Rare/Accidental
Broad-billed Prion	Pachyptila vittata	
Salvin's Prion	Pachyptila salvini	
Antarctic Prion	Pachyptila desolata	
Slender-billed Prion	Pachyptila belcheri	
Fairy Prion	Pachyptila turtur	
Fulmar Prion	Pachyptila crassirostris	
Kerguelen Petrel	Aphrodroma brevirostris	
White-headed Petrel	Pterodroma lessonii	
Grey-faced Petrel	Pterodroma gouldi	
Magenta Petrel	Pterodroma magentae	
