
 
APTERYGIFORMES: Apterygidae

Southern Brown Kiwi	Apteryx australis	褐几维	Endemic
North Island Brown Kiwi	Apteryx mantelli	北岛褐几维鸟	Endemic
Okarito Kiwi	Apteryx rowi	欧加里托几维鸟	Endemic
Little Spotted Kiwi	Apteryx owenii	小斑几维	Endemic
Great Spotted Kiwi	Apteryx haastii	大斑几维	Endemic
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	珠鸡	外来物种
 
GALLIFORMES: Odontophoridae

California Quail	Callipepla californica	珠颈斑鹑	外来物种
 
GALLIFORMES: Phasianidae

Wild Turkey	Meleagris gallopavo	火鸡	外来物种
Chukar Partridge	Alectoris chukar	石鸡	外来物种
Red-legged Partridge	Alectoris rufa	红腿石鸡	外来物种
New Zealand Quail	Coturnix novaezelandiae	新西兰鹌鹑	Endemic
Brown Quail	Coturnix ypsilophora	褐鹌鹑	外来物种
Common Pheasant	Phasianus colchicus	环颈雉	外来物种
Indian Peafowl	Pavo cristatus	蓝孔雀	外来物种
 
ANSERIFORMES: Anatidae

Plumed Whistling Duck	Dendrocygna eytoni	尖羽树鸭	Rare
Cape Barren Goose	Cereopsis novaehollandiae	澳洲灰雁	Rare
Canada Goose	Branta canadensis	加拿大黑雁	外来物种
Greylag Goose	Anser anser	灰雁	外来物种
Black Swan	Cygnus atratus	黑天鹅	外来物种
Mute Swan	Cygnus olor	疣鼻天鹅	外来物种
Blue Duck	Hymenolaimus malacorhynchos	山鸭	Endemic
Australian Shelduck	Tadorna tadornoides	棕胸麻鸭	Rare
Paradise Shelduck	Tadorna variegata	黑胸麻鸭	Endemic
Pink-eared Duck	Malacorhynchus membranaceus	红耳鸭	Rare
Maned Duck	Chenonetta jubata	鬃林鸭	Rare
Australasian Shoveler	Spatula rhynchotis	黑顶琵嘴鸭	
Northern Shoveler	Spatula clypeata	琵嘴鸭	Rare
Pacific Black Duck	Anas superciliosa	太平洋黑鸭	
Mallard	Anas platyrhynchos	绿头鸭	外来物种
Northern Pintail	Anas acuta	针尾鸭	Rare
Grey Teal	Anas gracilis	灰鸭	
Chestnut Teal	Anas castanea	栗胸鸭	Rare
Brown Teal	Anas chlorotis	褐鸭	Endemic
Auckland Teal	Anas aucklandica	奥岛鸭	Endemic
Campbell Teal	Anas nesiotis	坎岛鸭	Endemic
Hardhead	Aythya australis	澳洲潜鸭	Rare
New Zealand Scaup	Aythya novaeseelandiae	新西兰潜鸭	Endemic
New Zealand Merganser	Mergus australis	奧克蘭秋沙鴨	Endemic
 
APODIFORMES: Apodidae

White-throated Needletail	Hirundapus caudacutus	白喉针尾雨燕	Rare
Pacific Swift	Apus pacificus	白腰雨燕	Rare
 
CUCULIFORMES: Cuculidae

Pacific Long-tailed Cuckoo	Urodynamis taitensis	长尾噪鹃	仅在当地繁育的
Channel-billed Cuckoo	Scythrops novaehollandiae	沟嘴鹃	Rare
Shining Bronze Cuckoo	Chrysococcyx lucidus	金鹃	
Pallid Cuckoo	Cacomantis pallidus	淡色杜鹃	Rare
Fan-tailed Cuckoo	Cacomantis flabelliformis	扇尾杜鹃	Rare
Oriental Cuckoo	Cuculus optatus	霍氏中杜鹃	Rare
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	原鸽	外来物种
African Collared Dove	Streptopelia roseogrisea	粉头斑鸠	外来物种
Spotted Dove	Spilopelia chinensis	珠颈斑鸠	外来物种
New Zealand Pigeon	Hemiphaga novaeseelandiae	新西兰鸠	
Chatham Pigeon	Hemiphaga chathamensis	查岛鸠	Endemic
 
GRUIFORMES: Rallidae

Weka	Gallirallus australis	新西兰秧鸡	Endemic
Buff-banded Rail	Gallirallus philippensis	红眼斑秧鸡	
Dieffenbach's Rail	Gallirallus dieffenbachii	呆秧鸡	Endemic
Chatham Rail	Gallirallus modestus	查塔姆秧鸡	Endemic
Auckland Rail	Lewinia muelleri	奥岛秧鸡	Endemic
Corn Crake	Crex crex	长脚秧鸡	Rare
Baillon's Crake	Porzana pusilla	小田鸡	
Australian Crake	Porzana fluminea	斑田鸡	Rare
Spotless Crake	Porzana tabuensis	无斑田鸡	
Australasian Swamphen	Porphyrio melanotus	澳洲紫水鸡	
North Island Takahe	Porphyrio mantelli	巨水鸡	Endemic
South Island Takahe	Porphyrio hochstetteri	南秧鸡	Endemic
Common Moorhen	Gallinula chloropus	黑水鸡	Rare
Dusky Moorhen	Gallinula tenebrosa	暗色水鸡	Rare
Black-tailed Nativehen	Tribonyx ventralis	黑尾水鸡	Rare
Eurasian Coot	Fulica atra	白骨顶	
 
PODICIPEDIFORMES: Podicipedidae

Australasian Grebe	Tachybaptus novaehollandiae	黑喉小䴙䴘	
Hoary-headed Grebe	Poliocephalus poliocephalus	灰头䴙䴘	Rare
New Zealand Grebe	Poliocephalus rufopectus	新西兰䴙䴘	Endemic
Great Crested Grebe	Podiceps cristatus	凤头䴙䴘	
 
