
 
GALLIFORMES: Odontophoridae

California Quail	Callipepla californica	珠颈斑鹑	外来物种
 
ANSERIFORMES: Anatidae

Plumed Whistling Duck	Dendrocygna eytoni	尖羽树鸭	Rare
Canada Goose	Branta canadensis	加拿大黑雁	Rare
Greylag Goose	Anser anser	灰雁	外来物种
Black Swan	Cygnus atratus	黑天鹅	外来物种
Australian Shelduck	Tadorna tadornoides	棕胸麻鸭	Rare
Paradise Shelduck	Tadorna variegata	黑胸麻鸭	Rare
Australasian Shoveler	Spatula rhynchotis	黑顶琵嘴鸭	Rare
Pacific Black Duck	Anas superciliosa	太平洋黑鸭	
Mallard	Anas platyrhynchos	绿头鸭	外来物种
Brown Teal	Anas chlorotis	褐鸭	Endemic
New Zealand Scaup	Aythya novaeseelandiae	新西兰潜鸭	Endemic
New Zealand Merganser	Mergus australis	奧克蘭秋沙鴨	Endemic
 
APODIFORMES: Apodidae

White-throated Needletail	Hirundapus caudacutus	白喉针尾雨燕	Rare
Pacific Swift	Apus pacificus	白腰雨燕	Rare
 
CUCULIFORMES: Cuculidae

Pacific Long-tailed Cuckoo	Urodynamis taitensis	长尾噪鹃	Rare
Shining Bronze Cuckoo	Chrysococcyx lucidus	金鹃	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	原鸽	Rare
New Zealand Pigeon	Hemiphaga novaeseelandiae	新西兰鸠	
Chatham Pigeon	Hemiphaga chathamensis	查岛鸠	Endemic
 
GRUIFORMES: Rallidae

Weka	Gallirallus australis	新西兰秧鸡	Endemic
Buff-banded Rail	Gallirallus philippensis	红眼斑秧鸡	
Dieffenbach's Rail	Gallirallus dieffenbachii	呆秧鸡	Endemic
Chatham Rail	Gallirallus modestus	查塔姆秧鸡	Endemic
Baillon's Crake	Porzana pusilla	小田鸡	Rare
Spotless Crake	Porzana tabuensis	无斑田鸡	Rare
Australasian Swamphen	Porphyrio melanotus	澳洲紫水鸡	
 
CHARADRIIFORMES: Haematopodidae

South Island Oystercatcher	Haematopus finschi	南岛斑蛎鹬	Rare
Chatham Oystercatcher	Haematopus chathamensis	查岛蛎鹬	Endemic
 
CHARADRIIFORMES: Recurvirostridae

Pied Stilt	Himantopus leucocephalus	澳洲长脚鹬	
 
CHARADRIIFORMES: Charadriidae

Masked Lapwing	Vanellus miles	白颈麦鸡	
Wrybill	Anarhynchus frontalis	弯嘴鸻	Rare
Pacific Golden Plover	Pluvialis fulva	金鸻	
Grey Plover	Pluvialis squatarola	灰鸻	Rare
