
 
ANSERIFORMES: Anatidae

Pacific Black Duck	Anas superciliosa	
Northern Pintail	Anas acuta	Rare/Accidental
 
GALLIFORMES: Megapodiidae

Tongan Megapode	Megapodius pritchardii	Endemic Vulnerable
 
CUCULIFORMES: Cuculidae

Long-tailed Koel	Urodynamis taitensis	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Shy Ground Dove	Pampusana stairi	
Pacific Imperial Pigeon	Ducula pacifica	
Many-colored Fruit Dove	Ptilinopus perousii	
Crimson-crowned Fruit Dove	Ptilinopus porphyraceus	
 
GRUIFORMES: Rallidae

Buff-banded Rail	Gallirallus philippensis	
Purple Swamphen	Porphyrio porphyrio	
Spotless Crake	Zapornia tabuensis	
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Rare/Accidental Vulnerable
Pacific Golden Plover	Pluvialis fulva	
Masked Lapwing	Vanellus miles	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

Bristle-thighed Curlew	Numenius tahitiensis	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Wandering Tattler	Tringa incana	
Grey-tailed Tattler	Tringa brevipes	Rare/Accidental
Ruddy Turnstone	Arenaria interpres	Near-threatened
Sharp-tailed Sandpiper	Calidris acuminata	Rare/Accidental Vulnerable
Sanderling	Calidris alba	
 
CHARADRIIFORMES: Stercorariidae

Parasitic Jaeger	Stercorarius parasiticus	Rare/Accidental
Long-tailed Jaeger	Stercorarius longicaudus	Rare/Accidental
Pomarine Jaeger	Stercorarius pomarinus	Rare/Accidental
South Polar Skua	Stercorarius maccormicki	Rare/Accidental
Brown Skua	Stercorarius antarcticus	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Blue-billed White Tern	Gygis candida	
Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
Grey Noddy	Anous albivitta	
Blue Noddy	Anous ceruleus	
Sooty Tern	Onychoprion fuscatus	
Spectacled Tern	Onychoprion lunatus	
Bridled Tern	Onychoprion anaethetus	
Greater Crested Tern	Thalasseus bergii	
Black-naped Tern	Sterna sumatrana	
 
PHAETHONTIFORMES: Phaethontidae

Red-tailed Tropicbird	Phaethon rubricauda	
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Diomedeidae

Snowy Albatross	Diomedea exulans	Rare/Accidental Vulnerable
Antipodean Albatross	Diomedea antipodensis	Rare/Accidental Endangered
Light-mantled Albatross	Phoebetria palpebrata	Rare/Accidental Near-threatened
 
PROCELLARIIFORMES: Oceanitidae

Polynesian Storm Petrel	Nesofregetta fuliginosa	Endangered
Black-bellied Storm Petrel	Fregetta tropica	Rare/Accidental
 
PROCELLARIIFORMES: Procellariidae

Pintado Petrel	Daption capense	
Southern Giant Petrel	Macronectes giganteus	Rare/Accidental
Tahiti Petrel	Pseudobulweria rostrata	Near-threatened
Wedge-tailed Shearwater	Ardenna pacifica	
Buller's Shearwater	Ardenna bulleri	Rare/Accidental Vulnerable
Short-tailed Shearwater	Ardenna tenuirostris	
Sooty Shearwater	Ardenna grisea	Near-threatened
Christmas Shearwater	Puffinus nativitatis	Rare/Accidental
Tropical Shearwater	Puffinus bailloni	
Grey-faced Petrel	Pterodroma gouldi	
