
 
ANSERIFORMES: Anatidae

Northern Shoveler	Spatula clypeata	Rare/Accidental
Pacific Black Duck	Anas superciliosa	
Northern Pintail	Anas acuta	Rare/Accidental
 
GALLIFORMES: Phasianidae

Common Pheasant	Phasianus colchicus	Introduced species
Red Junglefowl	Gallus gallus	Introduced species
 
CUCULIFORMES: Cuculidae

Long-tailed Koel	Urodynamis taitensis	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Marquesan Ground Dove	Pampusana rubescens	Endemic Endangered
Polynesian Ground Dove	Pampusana erythroptera	Endemic Critically endangered
Zebra Dove	Geopelia striata	Introduced species
Pacific Imperial Pigeon	Ducula pacifica	Introduced species
Polynesian Imperial Pigeon	Ducula aurorae	Endemic Endangered
Nuku Hiva Imperial Pigeon	Ducula galeata	Endemic Endangered
Raiatea Fruit Dove	Ptilinopus chrysogaster	Endemic Endangered
Grey-green Fruit Dove	Ptilinopus purpuratus	Endemic
Makatea Fruit Dove	Ptilinopus chalcurus	Endemic Vulnerable
Atoll Fruit Dove	Ptilinopus coralensis	Endemic Near-threatened
Rapa Fruit Dove	Ptilinopus huttoni	Endemic Critically endangered
White-capped Fruit Dove	Ptilinopus dupetithouarsii	Endemic
Red-moustached Fruit Dove	Ptilinopus mercierii	Extinct
 
GRUIFORMES: Rallidae

Tahiti Rail	Gallirallus pacificus	Extinct
Marquesan Swamphen	Porphyrio paepae	Extinct
Purple Swamphen	Porphyrio porphyrio	
Tahiti Crake	Zapornia nigra	Extinct
Spotless Crake	Zapornia tabuensis	
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Rare/Accidental Vulnerable
Pacific Golden Plover	Pluvialis fulva	
Semipalmated Plover	Charadrius semipalmatus	Rare/Accidental
Masked Lapwing	Vanellus miles	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

Bristle-thighed Curlew	Numenius tahitiensis	Near-threatened
Eurasian Whimbrel	Numenius phaeopus	
Bar-tailed Godwit	Limosa lapponica	Rare/Accidental Near-threatened
Red Phalarope	Phalaropus fulicarius	Rare/Accidental
Wandering Tattler	Tringa incana	
Grey-tailed Tattler	Tringa brevipes	
Lesser Yellowlegs	Tringa flavipes	Rare/Accidental Vulnerable
Willet	Tringa semipalmata	Rare/Accidental
Tahiti Sandpiper	Prosobonia leucoptera	Extinct
Moorea Sandpiper	Prosobonia ellisi	Extinct
Tuamotu Sandpiper	Prosobonia parvirostris	Endemic Endangered
Ruddy Turnstone	Arenaria interpres	Near-threatened
Ruff	Calidris pugnax	Rare/Accidental
Sharp-tailed Sandpiper	Calidris acuminata	Rare/Accidental Vulnerable
Buff-breasted Sandpiper	Calidris subruficollis	Rare/Accidental Vulnerable
Sanderling	Calidris alba	
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
 
CHARADRIIFORMES: Stercorariidae

Parasitic Jaeger	Stercorarius parasiticus	Rare/Accidental
Long-tailed Jaeger	Stercorarius longicaudus	Rare/Accidental
Pomarine Jaeger	Stercorarius pomarinus	Rare/Accidental
South Polar Skua	Stercorarius maccormicki	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Blue-billed White Tern	Gygis candida	
Little White Tern	Gygis microrhyncha	
Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
Blue Noddy	Anous ceruleus	
Sooty Tern	Onychoprion fuscatus	
Spectacled Tern	Onychoprion lunatus	
