
 
GALLIFORMES: Phasianidae

Common Pheasant	Phasianus colchicus	Extirpated
Red Junglefowl	Gallus gallus	Introduced species
 
CUCULIFORMES: Cuculidae

Long-tailed Koel	Urodynamis taitensis	
 
COLUMBIFORMES: Columbidae

Henderson Fruit Dove	Ptilinopus insularis	Endemic Vulnerable
 
GRUIFORMES: Rallidae

Henderson Crake	Zapornia atra	Endemic Vulnerable
Spotless Crake	Zapornia tabuensis	
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Rare/Accidental Vulnerable
Pacific Golden Plover	Pluvialis fulva	
 
CHARADRIIFORMES: Scolopacidae

Bristle-thighed Curlew	Numenius tahitiensis	Near-threatened
Wandering Tattler	Tringa incana	
Ruddy Turnstone	Arenaria interpres	Near-threatened
Sanderling	Calidris alba	
 
CHARADRIIFORMES: Laridae

Blue-billed White Tern	Gygis candida	
Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
Grey Noddy	Anous albivitta	
Blue Noddy	Anous ceruleus	
Sooty Tern	Onychoprion fuscatus	
Spectacled Tern	Onychoprion lunatus	
Greater Crested Tern	Thalasseus bergii	Rare/Accidental
Laughing Gull	Leucophaeus atricilla	
 
PHAETHONTIFORMES: Phaethontidae

Red-tailed Tropicbird	Phaethon rubricauda	
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Diomedeidae

Snowy Albatross	Diomedea exulans	Rare/Accidental Vulnerable
Black-browed Albatross	Thalassarche melanophris	Rare/Accidental
Buller's Albatross	Thalassarche bulleri	Near-threatened
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	
Polynesian Storm Petrel	Nesofregetta fuliginosa	Endangered
White-faced Storm Petrel	Pelagodroma marina	
White-bellied Storm Petrel	Fregetta grallaria	
Black-bellied Storm Petrel	Fregetta tropica	
 
PROCELLARIIFORMES: Procellariidae

Pintado Petrel	Daption capense	
Southern Giant Petrel	Macronectes giganteus	
Bulwer's Petrel	Bulweria bulwerii	
Tahiti Petrel	Pseudobulweria rostrata	Near-threatened
Grey Petrel	Procellaria cinerea	Rare/Accidental Near-threatened
White-chinned Petrel	Procellaria aequinoctialis	Vulnerable
Black Petrel	Procellaria parkinsoni	Vulnerable
Wedge-tailed Shearwater	Ardenna pacifica	
Buller's Shearwater	Ardenna bulleri	Vulnerable
Christmas Shearwater	Puffinus nativitatis	
Tropical Shearwater	Puffinus bailloni	
Soft-plumaged Petrel	Pterodroma mollis	
Grey-faced Petrel	Pterodroma gouldi	
White-headed Petrel	Pterodroma lessonii	
Cook's Petrel	Pterodroma cookii	Vulnerable
Gould's Petrel	Pterodroma leucoptera	Vulnerable
Black-winged Petrel	Pterodroma nigripennis	
Juan Fernandez Petrel	Pterodroma externa	Vulnerable
White-necked Petrel	Pterodroma cervicalis	Vulnerable
Murphy's Petrel	Pterodroma ultima	
Phoenix Petrel	Pterodroma alba	Vulnerable
Kermadec Petrel	Pterodroma neglecta	
Herald Petrel	Pterodroma heraldica	
Henderson Petrel	Pterodroma atrata	Breeding endemic Endangered
 
SULIFORMES: Fregatidae

Lesser Frigatebird	Fregata ariel	
Great Frigatebird	Fregata minor	
 
SULIFORMES: Sulidae

Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
Masked Booby	Sula dactylatra	
 
PELECANIFORMES: Ardeidae

Pacific Reef Heron	Egretta sacra	
 
FALCONIFORMES: Falconidae

Peregrine Falcon	Falco peregrinus	
 
PSITTACIFORMES: Psittaculidae

Stephen's Lorikeet	Vini stepheni	Endemic Vulnerable
 
PASSERIFORMES: Acrocephalidae

Pitcairn Reed Warbler	Acrocephalus vaughani	Endemic Endangered
Henderson Reed Warbler	Acrocephalus taiti	Endemic Vulnerable
