ANSERIFORMES: Anatidae

Pacific Black Duck	Anas superciliosa	
Northern Pintail	Anas acuta	Rare/Accidental
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	Introduced species
 
APODIFORMES: Apodidae

Tahiti Swiftlet	Aerodramus leucophaeus	Endemic
Marquesan Swiftlet	Aerodramus ocistus	
 
CUCULIFORMES: Cuculidae

Pacific Long-tailed Cuckoo	Urodynamis taitensis	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Zebra Dove	Geopelia striata	Introduced species
Polynesian Ground Dove	Pampusana erythroptera	Extirpated
Grey-green Fruit Dove	Ptilinopus purpuratus	Endemic
Pacific Imperial Pigeon	Ducula pacifica	
Polynesian Imperial Pigeon	Ducula aurorae	Endemic (country/region)
 
GRUIFORMES: Rallidae

Tahiti Rail	Hypotaenidia pacifica	Endemic
Spotless Crake	Zapornia tabuensis	
Tahiti Crake	Zapornia nigra	Endemic
 
CHARADRIIFORMES: Charadriidae

Pacific Golden Plover	Pluvialis fulva	
 
CHARADRIIFORMES: Scolopacidae

Bristle-thighed Curlew	Numenius tahitiensis	
Ruddy Turnstone	Arenaria interpres	Rare/Accidental
Tahiti Sandpiper	Prosobonia leucoptera	Endemic
Moorea Sandpiper	Prosobonia ellisi	Endemic
Sanderling	Calidris alba	Rare/Accidental
Buff-breasted Sandpiper	Calidris subruficollis	Rare/Accidental
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
Wandering Tattler	Tringa incana	
Lesser Yellowlegs	Tringa flavipes	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	Rare/Accidental
Blue Noddy	Anous ceruleus	
White Tern	Gygis alba	
Greater Crested Tern	Thalasseus bergii	
Spectacled Tern	Onychoprion lunatus	Rare/Accidental
Sooty Tern	Onychoprion fuscatus	
Black-naped Tern	Sterna sumatrana	Rare/Accidental
 
CHARADRIIFORMES: Stercorariidae

Pomarine Jaeger	Stercorarius pomarinus	
Parasitic Jaeger	Stercorarius parasiticus	Rare/Accidental
 
PHAETHONTIFORMES: Phaethontidae

Red-tailed Tropicbird	Phaethon rubricauda	
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Oceanitidae

White-faced Storm Petrel	Pelagodroma marina	
White-bellied Storm Petrel	Fregetta grallaria	Rare/Accidental
Polynesian Storm Petrel	Nesofregetta fuliginosa	Rare/Accidental
 
PROCELLARIIFORMES: Diomedeidae

Black-browed Albatross	Thalassarche melanophris	Rare/Accidental
 
PROCELLARIIFORMES: Procellariidae

Southern Giant Petrel	Macronectes giganteus	Rare/Accidental
Murphy's Petrel	Pterodroma ultima	Rare/Accidental
Juan Fernandez Petrel	Pterodroma externa	
Kermadec Petrel	Pterodroma neglecta	
Herald Petrel	Pterodroma heraldica	
Henderson Petrel	Pterodroma atrata	
Phoenix Petrel	Pterodroma alba	
Mottled Petrel	Pterodroma inexpectata	
White-necked Petrel	Pterodroma cervicalis	
Black-winged Petrel	Pterodroma nigripennis	Rare/Accidental
Gould's Petrel	Pterodroma leucoptera	
Collared Petrel	Pterodroma brevipes	Rare/Accidental
Cook's Petrel	Pterodroma cookii	
