ANSERIFORMES: Anatidae

Pacific Black Duck	Anas superciliosa	
Northern Pintail	Anas acuta	Rare/Accidental
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	Introduced species
 
APODIFORMES: Apodidae

Tahiti Swiftlet	Aerodramus leucophaeus	Endemic (country/region)
Marquesan Swiftlet	Aerodramus ocistus	Endemic
 
CUCULIFORMES: Cuculidae

Pacific Long-tailed Cuckoo	Urodynamis taitensis	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Zebra Dove	Geopelia striata	Introduced species
Marquesan Ground Dove	Pampusana rubescens	Endemic
White-capped Fruit Dove	Ptilinopus dupetithouarsii	Endemic
Red-moustached Fruit Dove	Ptilinopus mercierii	
Marquesan Imperial Pigeon	Ducula galeata	Endemic
 
GRUIFORMES: Rallidae

Spotless Crake	Zapornia tabuensis	
 
CHARADRIIFORMES: Charadriidae

Pacific Golden Plover	Pluvialis fulva	
 
CHARADRIIFORMES: Scolopacidae

Bristle-thighed Curlew	Numenius tahitiensis	
Eurasian Whimbrel	Numenius phaeopus	Rare/Accidental
Ruddy Turnstone	Arenaria interpres	
Sanderling	Calidris alba	Rare/Accidental
Pectoral Sandpiper	Calidris melanotos	
Wandering Tattler	Tringa incana	
Grey-tailed Tattler	Tringa brevipes	
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
Blue Noddy	Anous ceruleus	
White Tern	Gygis alba	
Franklin's Gull	Leucophaeus pipixcan	Rare/Accidental
Greater Crested Tern	Thalasseus bergii	
Spectacled Tern	Onychoprion lunatus	Rare/Accidental
Sooty Tern	Onychoprion fuscatus	
 
PHAETHONTIFORMES: Phaethontidae

Red-billed Tropicbird	Phaethon aethereus	Rare/Accidental
Red-tailed Tropicbird	Phaethon rubricauda	Rare/Accidental
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Oceanitidae

White-faced Storm Petrel	Pelagodroma marina	
White-bellied Storm Petrel	Fregetta grallaria	Rare/Accidental
Polynesian Storm Petrel	Nesofregetta fuliginosa	
 
PROCELLARIIFORMES: Diomedeidae

Wandering Albatross	Diomedea exulans	Rare/Accidental
 
PROCELLARIIFORMES: Hydrobatidae

Band-rumped Storm Petrel	Oceanodroma castro	Rare/Accidental
Leach's Storm Petrel	Oceanodroma leucorhoa	Rare/Accidental
 
PROCELLARIIFORMES: Procellariidae

Cape Petrel	Daption capense	Rare/Accidental
Murphy's Petrel	Pterodroma ultima	
Juan Fernandez Petrel	Pterodroma externa	
Kermadec Petrel	Pterodroma neglecta	
Herald Petrel	Pterodroma heraldica	
Henderson Petrel	Pterodroma atrata	
Phoenix Petrel	Pterodroma alba	
Mottled Petrel	Pterodroma inexpectata	
White-necked Petrel	Pterodroma cervicalis	
Black-winged Petrel	Pterodroma nigripennis	Rare/Accidental
Gould's Petrel	Pterodroma leucoptera	
Collared Petrel	Pterodroma brevipes	Rare/Accidental
Cook's Petrel	Pterodroma cookii	
Tahiti Petrel	Pseudobulweria rostrata	
Wedge-tailed Shearwater	Ardenna pacifica	
Sooty Shearwater	Ardenna grisea	Rare/Accidental
Short-tailed Shearwater	Ardenna tenuirostris	
Pink-footed Shearwater	Ardenna creatopus	
Christmas Shearwater	Puffinus nativitatis	
Rapa Shearwater	Puffinus myrtae	Rare/Accidental
Tropical Shearwater	Puffinus bailloni	
Bulwer's Petrel	Bulweria bulwerii	
 
SULIFORMES: Fregatidae

Great Frigatebird	Fregata minor	
Lesser Frigatebird	Fregata ariel	
 
SULIFORMES: Sulidae

Abbott's Booby	Papasula abbotti	Extirpated
Masked Booby	Sula dactylatra	
Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
 
PELECANIFORMES: Ardeidae

Striated Heron	Butorides striata	
Pacific Reef Heron	Egretta sacra	
 
STRIGIFORMES: Strigidae

Great Horned Owl	Bubo virginianus	Introduced species
 
CORACIIFORMES: Alcedinidae

Marquesan Kingfisher	Todiramphus godeffroyi	Endemic
 
FALCONIFORMES: Falconidae

Peregrine Falcon	Falco peregrinus	
 
PSITTACIFORMES: Psittaculidae

Ultramarine Lorikeet	Vini ultramarina	Endemic
 
PASSERIFORMES: Monarchidae

Marquesan Monarch	Pomarea mendozae	
Ua Pou Monarch	Pomarea mira	Endemic
Nuku Hiva Monarch	Pomarea nukuhivae	Endemic
Iphis Monarch	Pomarea iphis	Endemic
Eiao Monarch	Pomarea fluxa	Endemic
Fatu Hiva Monarch	Pomarea whitneyi	Endemic
 
PASSERIFORMES: Acrocephalidae

Northern Marquesan Reed Warbler	Acrocephalus percernis	Endemic
Southern Marquesan Reed Warbler	Acrocephalus mendanae	Endemic
 
PASSERIFORMES: Sturnidae

Common Myna	Acridotheres tristis	Introduced species
 
PASSERIFORMES: Estrildidae

Red-browed Finch	Neochmia temporalis	Introduced species
Chestnut-breasted Mannikin	Lonchura castaneothorax	Introduced species
Common Waxbill	Estrilda astrild	Introduced species
