CASUARIIFORMES: Casuariidae

Emu	Dromaius novaehollandiae	Endemic (country/region)
 
ANSERIFORMES: Anseranatidae

Magpie Goose	Anseranas semipalmata	Rare/Accidental
 
ANSERIFORMES: Anatidae

Plumed Whistling Duck	Dendrocygna eytoni	Rare/Accidental
Wandering Whistling Duck	Dendrocygna arcuata	
Cape Barren Goose	Cereopsis novaehollandiae	Endemic (country/region)
Black Swan	Cygnus atratus	Endemic (country/region)
Mute Swan	Cygnus olor	Introduced species
Freckled Duck	Stictonetta naevosa	Rare/Accidental
Australian Shelduck	Tadorna tadornoides	Endemic (country/region)
Pink-eared Duck	Malacorhynchus membranaceus	Rare/Accidental
Maned Duck	Chenonetta jubata	Endemic (country/region)
Australasian Shoveler	Spatula rhynchotis	
Pacific Black Duck	Anas superciliosa	
Mallard	Anas platyrhynchos	Introduced species
Grey Teal	Anas gracilis	
Chestnut Teal	Anas castanea	Endemic (country/region)
Hardhead	Aythya australis	
Blue-billed Duck	Oxyura australis	Endemic (country/region)
Musk Duck	Biziura lobata	Endemic (country/region)
 
GALLIFORMES: Odontophoridae

California Quail	Callipepla californica	Introduced species
 
GALLIFORMES: Phasianidae

Wild Turkey	Meleagris gallopavo	Introduced species
Stubble Quail	Coturnix pectoralis	Endemic (country/region)
Brown Quail	Coturnix ypsilophora	
Red Junglefowl	Gallus gallus	Introduced species
Common Pheasant	Phasianus colchicus	Introduced species
Indian Peafowl	Pavo cristatus	Introduced species
 
CAPRIMULGIFORMES: Podargidae

Tawny Frogmouth	Podargus strigoides	Endemic (country/region)
 
APODIFORMES: Aegothelidae

Australian Owlet-nightjar	Aegotheles cristatus	
 
APODIFORMES: Apodidae

White-throated Needletail	Hirundapus caudacutus	
Pacific Swift	Apus pacificus	
 
CUCULIFORMES: Cuculidae

Channel-billed Cuckoo	Scythrops novaehollandiae	Rare/Accidental
Horsfield's Bronze Cuckoo	Chrysococcyx basalis	
Black-eared Cuckoo	Chrysococcyx osculans	Rare/Accidental
Shining Bronze Cuckoo	Chrysococcyx lucidus	
Little Bronze Cuckoo	Chrysococcyx minutillus	
Pallid Cuckoo	Cacomantis pallidus	
Fan-tailed Cuckoo	Cacomantis flabelliformis	
Brush Cuckoo	Cacomantis variolosus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
White-headed Pigeon	Columba leucomela	Endemic (country/region)
Spotted Dove	Spilopelia chinensis	Introduced species
Common Bronzewing	Phaps chalcoptera	Endemic (country/region)
Brush Bronzewing	Phaps elegans	Endemic (country/region)
Superb Fruit Dove	Ptilinopus superbus	Rare/Accidental
Rose-crowned Fruit Dove	Ptilinopus regina	Rare/Accidental
Topknot Pigeon	Lopholaimus antarcticus	Rare/Accidental
 
GRUIFORMES: Rallidae

Lewin's Rail	Lewinia pectoralis	
Buff-banded Rail	Hypotaenidia philippensis	Rare/Accidental
Australian Crake	Porzana fluminea	Endemic (country/region)
Black-tailed Nativehen	Tribonyx ventralis	Rare/Accidental
Tasmanian Nativehen	Tribonyx mortierii	Endemic
Dusky Moorhen	Gallinula tenebrosa	
Eurasian Coot	Fulica atra	
Australasian Swamphen	Porphyrio melanotus	
Baillon's Crake	Zapornia pusilla	
Spotless Crake	Zapornia tabuensis	
 
PODICIPEDIFORMES: Podicipedidae

Australasian Grebe	Tachybaptus novaehollandiae	
Hoary-headed Grebe	Poliocephalus poliocephalus	Endemic (country/region)
Great Crested Grebe	Podiceps cristatus	
 
CHARADRIIFORMES: Turnicidae

Painted Buttonquail	Turnix varius	
Little Buttonquail	Turnix velox	Rare/Accidental
 
CHARADRIIFORMES: Burhinidae

Bush Stone-curlew	Burhinus grallarius	Rare/Accidental
 
CHARADRIIFORMES: Haematopodidae

South Island Oystercatcher	Haematopus finschi	Rare/Accidental
