STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	Introduced species
 
CASUARIIFORMES: Casuariidae

Southern Cassowary	Casuarius casuarius	
Emu	Dromaius novaehollandiae	Endemic
 
GALLIFORMES: Megapodiidae

Australian Brushturkey	Alectura lathami	Endemic
Malleefowl	Leipoa ocellata	Endemic Vulnerable
Orange-footed Scrubfowl	Megapodius reinwardt	
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	Introduced species
 
GALLIFORMES: Odontophoridae

California Quail	Callipepla californica	Introduced species
 
GALLIFORMES: Phasianidae

Wild Turkey	Meleagris gallopavo	Introduced species
Stubble Quail	Coturnix pectoralis	Endemic
Brown Quail	Coturnix ypsilophora	
King Quail	Excalfactoria chinensis	
Green Junglefowl	Gallus varius	Introduced species
Red Junglefowl	Gallus gallus	Introduced species
Common Pheasant	Phasianus colchicus	Introduced species
Indian Peafowl	Pavo cristatus	Introduced species
 
ANSERIFORMES: Anseranatidae

Magpie Goose	Anseranas semipalmata	
 
ANSERIFORMES: Anatidae

Spotted Whistling Duck	Dendrocygna guttata	
Plumed Whistling Duck	Dendrocygna eytoni	Breeding endemic
Wandering Whistling Duck	Dendrocygna arcuata	
Cape Barren Goose	Cereopsis novaehollandiae	Endemic
Canada Goose	Branta canadensis	Rare/Accidental
Black Swan	Cygnus atratus	Endemic
Mute Swan	Cygnus olor	Introduced species
Freckled Duck	Stictonetta naevosa	Endemic
Raja Shelduck	Radjah radjah	
Australian Shelduck	Tadorna tadornoides	Endemic
Paradise Shelduck	Tadorna variegata	Rare/Accidental
Pink-eared Duck	Malacorhynchus membranaceus	Endemic
Maned Duck	Chenonetta jubata	Endemic
Cotton Pygmy Goose	Nettapus coromandelianus	
Green Pygmy Goose	Nettapus pulchellus	
Garganey	Spatula querquedula	Rare/Accidental
Australasian Shoveler	Spatula rhynchotis	
Northern Shoveler	Spatula clypeata	Rare/Accidental
Eurasian Wigeon	Mareca penelope	Rare/Accidental
Pacific Black Duck	Anas superciliosa	
Mallard	Anas platyrhynchos	Introduced species
Northern Pintail	Anas acuta	Rare/Accidental
Eurasian Teal	Anas crecca	Rare/Accidental
Grey Teal	Anas gracilis	
Chestnut Teal	Anas castanea	Endemic
Hardhead	Aythya australis	
Tufted Duck	Aythya fuligula	Rare/Accidental
Blue-billed Duck	Oxyura australis	Endemic Near-threatened
Musk Duck	Biziura lobata	Endemic
 
CAPRIMULGIFORMES: Podargidae

Marbled Frogmouth	Podargus ocellatus	
Papuan Frogmouth	Podargus papuensis	
Tawny Frogmouth	Podargus strigoides	Endemic
 
CAPRIMULGIFORMES: Caprimulgidae

Spotted Nightjar	Eurostopodus argus	
White-throated Nightjar	Eurostopodus mystacalis	
Grey Nightjar	Caprimulgus jotaka	Rare/Accidental
Large-tailed Nightjar	Caprimulgus macrurus	
Savanna Nightjar	Caprimulgus affinis	Rare/Accidental
 
APODIFORMES: Aegothelidae

Australian Owlet-nightjar	Aegotheles cristatus	
 
APODIFORMES: Apodidae

Glossy Swiftlet	Collocalia esculenta	
Christmas Island Swiftlet	Collocalia natalis	Endemic
Australian Swiftlet	Aerodramus terraereginae	Endemic
Uniform Swiftlet	Aerodramus vanikorensis	Rare/Accidental
Edible-nest Swiftlet	Aerodramus fuciphagus	Rare/Accidental
Papuan Spine-tailed Swift	Mearnsia novaeguineae	Rare/Accidental
White-throated Needletail	Hirundapus caudacutus	
Pacific Swift	Apus pacificus	
House Swift	Apus nipalensis	Rare/Accidental
 
OTIDIFORMES: Otididae

Australian Bustard	Ardeotis australis	
 
CUCULIFORMES: Cuculidae

Lesser Coucal	Centropus bengalensis	Rare/Accidental
Pheasant Coucal	Centropus phasianinus	
Chestnut-winged Cuckoo	Clamator coromandus	Rare/Accidental
Asian Koel	Eudynamys scolopaceus	Rare/Accidental
Pacific Koel	Eudynamys orientalis	
Pacific Long-tailed Cuckoo	Urodynamis taitensis	Rare/Accidental
Channel-billed Cuckoo	Scythrops novaehollandiae	
Horsfield's Bronze Cuckoo	Chrysococcyx basalis	
Black-eared Cuckoo	Chrysococcyx osculans	Breeding endemic
Shining Bronze Cuckoo	Chrysococcyx lucidus	
Little Bronze Cuckoo	Chrysococcyx minutillus	
Pallid Cuckoo	Cacomantis pallidus	
Chestnut-breasted Cuckoo	Cacomantis castaneiventris	
Fan-tailed Cuckoo	Cacomantis flabelliformis	
Brush Cuckoo	Cacomantis variolosus	
Large Hawk-Cuckoo	Hierococcyx sparverioides	Rare/Accidental
Hodgson's Hawk-Cuckoo	Hierococcyx nisicolor	Rare/Accidental
Indian Cuckoo	Cuculus micropterus	Rare/Accidental
Oriental Cuckoo	Cuculus optatus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Metallic Pigeon	Columba vitiensis	Extirpated
White-headed Pigeon	Columba leucomela	Endemic
Oriental Turtle Dove	Streptopelia orientalis	Rare/Accidental
Red Collared Dove	Streptopelia tranquebarica	Rare/Accidental
Spotted Dove	Spilopelia chinensis	Introduced species
Laughing Dove	Spilopelia senegalensis	Introduced species
Brown Cuckoo-Dove	Macropygia phasianella	Endemic
Common Emerald Dove	Chalcophaps indica	
Pacific Emerald Dove	Chalcophaps longirostris	
Stephan's Emerald Dove	Chalcophaps stephani	Rare/Accidental
Common Bronzewing	Phaps chalcoptera	Endemic
Brush Bronzewing	Phaps elegans	Endemic
Flock Bronzewing	Phaps histrionica	Endemic
Crested Pigeon	Ocyphaps lophotes	Endemic
Spinifex Pigeon	Geophaps plumifera	Endemic
Squatter Pigeon	Geophaps scripta	Endemic
Partridge Pigeon	Geophaps smithii	Endemic Vulnerable
Wonga Pigeon	Leucosarcia melanoleuca	Endemic
Chestnut-quilled Rock Pigeon	Petrophassa rufipennis	Endemic
White-quilled Rock Pigeon	Petrophassa albipennis	Endemic
Diamond Dove	Geopelia cuneata	Endemic
Peaceful Dove	Geopelia placida	
Bar-shouldered Dove	Geopelia humeralis	
Nicobar Pigeon	Caloenas nicobarica	Rare/Accidental Near-threatened
Norfolk Ground Dove	Pampusana norfolkensis	Endemic
Black-banded Fruit Dove	Ptilinopus alligator	Endemic
Wompoo Fruit Dove	Ptilinopus magnificus	
Orange-fronted Fruit Dove	Ptilinopus aurantiifrons	Rare/Accidental
Superb Fruit Dove	Ptilinopus superbus	
Rose-crowned Fruit Dove	Ptilinopus regina	
Orange-bellied Fruit Dove	Ptilinopus iozonus	Rare/Accidental
Elegant Imperial Pigeon	Ducula concinna	Rare/Accidental
Pacific Imperial Pigeon	Ducula pacifica	
Island Imperial Pigeon	Ducula pistrinaria	
Christmas Imperial Pigeon	Ducula whartoni	Endemic Near-threatened
Collared Imperial Pigeon	Ducula mullerii	
Torresian Imperial Pigeon	Ducula spilorrhoa	
Topknot Pigeon	Lopholaimus antarcticus	Endemic
New Zealand Pigeon	Hemiphaga novaeseelandiae	Extirpated Near-threatened
 
GRUIFORMES: Rallidae

Corn Crake	Crex crex	Rare/Accidental
Lewin's Rail	Lewinia pectoralis	
Weka	Gallirallus australis	Extirpated Vulnerable
