
 
ANSERIFORMES: Anatidae

Cotton Pygmy Goose	Nettapus coromandelianus	
Hardhead	Aythya australis	Rare/Accidental
Garganey	Spatula querquedula	Rare/Accidental
Australasian Shoveler	Spatula rhynchotis	
Eurasian Wigeon	Mareca penelope	Rare/Accidental
Pacific Black Duck	Anas superciliosa	Rare/Accidental
Northern Pintail	Anas acuta	Rare/Accidental
Green-winged Teal	Anas crecca	Rare/Accidental
Grey Teal	Anas gracilis	
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	Introduced species
 
GALLIFORMES: Phasianidae

Green Junglefowl	Gallus varius	Introduced species
Red Junglefowl	Gallus gallus	Introduced species
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Chestnut-winged Cuckoo	Clamator coromandus	Rare/Accidental
Asian Koel	Eudynamys scolopaceus	Rare/Accidental
Horsfield's Bronze Cuckoo	Chalcites basalis	
Square-tailed Drongo-Cuckoo	Surniculus lugubris	Rare/Accidental
Large Hawk-Cuckoo	Hierococcyx sparverioides	Rare/Accidental
Hodgson's Hawk-Cuckoo	Hierococcyx nisicolor	Rare/Accidental
Indian Cuckoo	Cuculus micropterus	Rare/Accidental
Common Cuckoo	Cuculus canorus	Rare/Accidental
Oriental Cuckoo	Cuculus optatus	
 
COLUMBIFORMES: Columbidae

Oriental Turtle Dove	Streptopelia orientalis	Rare/Accidental
Rock Dove	Columba livia	Introduced species
 
GRUIFORMES: Rallidae

Corn Crake	Crex crex	Rare/Accidental
Slaty-breasted Rail	Lewinia striata	Rare/Accidental
Buff-banded Rail	Gallirallus philippensis	
Lesser Moorhen	Paragallinula angulata	Rare/Accidental
Common Moorhen	Gallinula chloropus	Rare/Accidental
Purple Swamphen	Porphyrio porphyrio	Rare/Accidental
Watercock	Gallicrex cinerea	Rare/Accidental
White-breasted Waterhen	Amaurornis phoenicurus	
Pale-vented Bush-hen	Amaurornis moluccana	Rare/Accidental
Baillon's Crake	Zapornia pusilla	Rare/Accidental
 
CHARADRIIFORMES: Recurvirostridae

Pied Stilt	Himantopus leucocephalus	
 
CHARADRIIFORMES: Haematopodidae

Pied Oystercatcher	Haematopus longirostris	
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Rare/Accidental Vulnerable
Pacific Golden Plover	Pluvialis fulva	
Grey-headed Lapwing	Vanellus cinereus	Rare/Accidental
Caspian Plover	Anarhynchus asiaticus	Rare/Accidental
