
 
ANSERIFORMES: Anatidae

Plumed Whistling Duck	Dendrocygna eytoni	Rare/Accidental
Black Swan	Cygnus atratus	Rare/Accidental
Canada Goose	Branta canadensis	Rare/Accidental
Greylag Goose	Anser anser	Introduced species
Australian Shelduck	Tadorna tadornoides	Rare/Accidental
Hardhead	Aythya australis	Rare/Accidental
Northern Shoveler	Spatula clypeata	Rare/Accidental
Pacific Black Duck	Anas superciliosa	Rare/Accidental
Mallard	Anas platyrhynchos	Introduced species
Grey Teal	Anas gracilis	Rare/Accidental
 
GALLIFORMES: Odontophoridae

California Quail	Callipepla californica	Introduced species
 
GALLIFORMES: Phasianidae

Common Pheasant	Phasianus colchicus	Introduced species
Indian Peafowl	Pavo cristatus	Introduced species
Red Junglefowl	Gallus gallus	Introduced species
 
PODICIPEDIFORMES: Podicipedidae

Australasian Grebe	Tachybaptus novaehollandiae	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Long-tailed Koel	Urodynamis taitensis	
Channel-billed Cuckoo	Scythrops novaehollandiae	Rare/Accidental
Shining Bronze Cuckoo	Chalcites lucidus	
Pallid Cuckoo	Heteroscenes pallidus	Rare/Accidental
Fan-tailed Cuckoo	Cacomantis flabelliformis	Rare/Accidental
Oriental Cuckoo	Cuculus optatus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Pacific Emerald Dove	Chalcophaps longirostris	Rare/Accidental
Norfolk Ground Dove	Pampusana norfolkensis	Endemic
New Zealand Pigeon	Hemiphaga novaeseelandiae	Extirpated
Topknot Pigeon	Lopholaimus antarcticus	
Torresian Imperial Pigeon	Ducula spilorrhoa	
Rose-crowned Fruit Dove	Ptilinopus regina	Rare/Accidental
 
GRUIFORMES: Rallidae

Buff-banded Rail	Gallirallus philippensis	
Eurasian Coot	Fulica atra	Rare/Accidental
Purple Swamphen	Porphyrio porphyrio	
Spotless Crake	Zapornia tabuensis	
 
CHARADRIIFORMES: Recurvirostridae

Red-necked Avocet	Recurvirostra novaehollandiae	Rare/Accidental
Pied Stilt	Himantopus leucocephalus	Rare/Accidental
 
CHARADRIIFORMES: Haematopodidae

Pied Oystercatcher	Haematopus longirostris	Rare/Accidental
South Island Oystercatcher	Haematopus finschi	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Pacific Golden Plover	Pluvialis fulva	
Common Ringed Plover	Charadrius hiaticula	Rare/Accidental
Semipalmated Plover	Charadrius semipalmatus	Rare/Accidental
Masked Lapwing	Vanellus miles	Rare/Accidental
Oriental Plover	Anarhynchus veredus	Rare/Accidental
Siberian Sand Plover	Anarhynchus mongolus	Rare/Accidental Endangered
Greater Sand Plover	Anarhynchus leschenaultii	
Double-banded Plover	Anarhynchus bicinctus	Near-threatened
 
CHARADRIIFORMES: Scolopacidae

Little Curlew	Numenius minutus	Rare/Accidental
Bristle-thighed Curlew	Numenius tahitiensis	Rare/Accidental Near-threatened
Hudsonian Whimbrel	Numenius hudsonicus	Rare/Accidental
Eurasian Whimbrel	Numenius phaeopus	
