ANSERIFORMES: Anatidae

Plumed Whistling Duck	Dendrocygna eytoni	Endemic (country/region)
Canada Goose	Branta canadensis	Rare/Accidental
Black Swan	Cygnus atratus	Rare/Accidental
Australian Shelduck	Tadorna tadornoides	Rare/Accidental
Paradise Shelduck	Tadorna variegata	Rare/Accidental
Maned Duck	Chenonetta jubata	Rare/Accidental
Australasian Shoveler	Spatula rhynchotis	
Pacific Black Duck	Anas superciliosa	
Mallard	Anas platyrhynchos	Introduced species
Grey Teal	Anas gracilis	Rare/Accidental
Chestnut Teal	Anas castanea	Rare/Accidental
 
APODIFORMES: Apodidae

White-throated Needletail	Hirundapus caudacutus	Rare/Accidental
Pacific Swift	Apus pacificus	
 
CUCULIFORMES: Cuculidae

Pacific Long-tailed Cuckoo	Urodynamis taitensis	
Horsfield's Bronze Cuckoo	Chrysococcyx basalis	Rare/Accidental
Shining Bronze Cuckoo	Chrysococcyx lucidus	
Pallid Cuckoo	Cacomantis pallidus	Rare/Accidental
Fan-tailed Cuckoo	Cacomantis flabelliformis	Rare/Accidental
Brush Cuckoo	Cacomantis variolosus	Rare/Accidental
Oriental Cuckoo	Cuculus optatus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Metallic Pigeon	Columba vitiensis	Extirpated
Spotted Dove	Spilopelia chinensis	Rare/Accidental
Pacific Emerald Dove	Chalcophaps longirostris	
Brush Bronzewing	Phaps elegans	Rare/Accidental
Peaceful Dove	Geopelia placida	Rare/Accidental
Torresian Imperial Pigeon	Ducula spilorrhoa	
 
GRUIFORMES: Rallidae

Buff-banded Rail	Hypotaenidia philippensis	
Lord Howe Woodhen	Hypotaenidia sylvestris	Endemic
Dusky Moorhen	Gallinula tenebrosa	Rare/Accidental
Eurasian Coot	Fulica atra	Rare/Accidental
Australasian Swamphen	Porphyrio melanotus	
White Swamphen	Porphyrio albus	Endemic
Baillon's Crake	Zapornia pusilla	Rare/Accidental
Spotless Crake	Zapornia tabuensis	
 
PODICIPEDIFORMES: Podicipedidae

Australasian Grebe	Tachybaptus novaehollandiae	Rare/Accidental
Hoary-headed Grebe	Poliocephalus poliocephalus	Rare/Accidental
 
CHARADRIIFORMES: Haematopodidae

South Island Oystercatcher	Haematopus finschi	Rare/Accidental
