
 
CHARADRIIFORMES: Chionidae

Black-faced Sheathbill	Chionis minor	
 
CHARADRIIFORMES: Scolopacidae

Common Greenshank	Tringa nebularia	Rare/Accidental
 
CHARADRIIFORMES: Stercorariidae

South Polar Skua	Stercorarius maccormicki	Rare/Accidental
Brown Skua	Stercorarius antarcticus	
 
CHARADRIIFORMES: Laridae

Arctic Tern	Sterna paradisaea	
Antarctic Tern	Sterna vittata	
Kerguelen Tern	Sterna virgata	Rare/Accidental Near-threatened
Kelp Gull	Larus dominicanus	
 
SPHENISCIFORMES: Spheniscidae

King Penguin	Aptenodytes patagonicus	
Emperor Penguin	Aptenodytes forsteri	Rare/Accidental Near-threatened
Adelie Penguin	Pygoscelis adeliae	Rare/Accidental
Gentoo Penguin	Pygoscelis papua	
Chinstrap Penguin	Pygoscelis antarcticus	Rare/Accidental
Macaroni Penguin	Eudyptes chrysolophus	Vulnerable
Eastern Rockhopper Penguin	Eudyptes filholi	
 
PROCELLARIIFORMES: Diomedeidae

Southern Royal Albatross	Diomedea epomophora	Vulnerable
Snowy Albatross	Diomedea exulans	Vulnerable
Antipodean Albatross	Diomedea antipodensis	Rare/Accidental Endangered
Amsterdam Albatross	Diomedea amsterdamensis	Rare/Accidental Endangered
Light-mantled Albatross	Phoebetria palpebrata	Near-threatened
Sooty Albatross	Phoebetria fusca	Rare/Accidental Endangered
Indian Yellow-nosed Albatross	Thalassarche carteri	Endangered
Grey-headed Albatross	Thalassarche chrysostoma	Rare/Accidental Endangered
Black-browed Albatross	Thalassarche melanophris	
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	
Grey-backed Storm Petrel	Garrodia nereis	Rare/Accidental
White-faced Storm Petrel	Pelagodroma marina	
White-bellied Storm Petrel	Fregetta grallaria	Rare/Accidental
Black-bellied Storm Petrel	Fregetta tropica	Rare/Accidental
 
PROCELLARIIFORMES: Procellariidae

Snow Petrel	Pagodroma nivea	Rare/Accidental
Antarctic Petrel	Thalassoica antarctica	Rare/Accidental
Pintado Petrel	Daption capense	
Southern Giant Petrel	Macronectes giganteus	
Northern Giant Petrel	Macronectes halli	Rare/Accidental
Southern Fulmar	Fulmarus glacialoides	
Grey Petrel	Procellaria cinerea	Rare/Accidental Near-threatened
White-chinned Petrel	Procellaria aequinoctialis	Rare/Accidental Vulnerable
Short-tailed Shearwater	Ardenna tenuirostris	
Sooty Shearwater	Ardenna grisea	Near-threatened
Common Diving Petrel	Pelecanoides urinatrix	
South Georgia Diving Petrel	Pelecanoides georgicus	
Blue Petrel	Halobaena caerulea	Rare/Accidental
Fairy Prion	Pachyptila turtur	
Broad-billed Prion	Pachyptila vittata	Rare/Accidental
Salvin's Prion	Pachyptila salvini	
Antarctic Prion	Pachyptila desolata	
Slender-billed Prion	Pachyptila belcheri	Rare/Accidental
Fulmar Prion	Pachyptila crassirostris	
Kerguelen Petrel	Aphrodroma brevirostris	Rare/Accidental
Soft-plumaged Petrel	Pterodroma mollis	Rare/Accidental
White-headed Petrel	Pterodroma lessonii	Rare/Accidental
Great-winged Petrel	Pterodroma macroptera	Rare/Accidental
Barau's Petrel	Pterodroma baraui	Rare/Accidental Endangered
Mottled Petrel	Pterodroma inexpectata	Rare/Accidental Near-threatened
 
SULIFORMES: Phalacrocoracidae

Imperial Shag	Leucocarbo atriceps	
