ANSERIFORMES: Anatidae

Pacific Black Duck	Anas superciliosa	
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	
 
APODIFORMES: Hemiprocnidae

Moustached Treeswift	Hemiprocne mystacea	
 
APODIFORMES: Apodidae

Glossy Swiftlet	Collocalia esculenta	
Satin Swiftlet	Collocalia uropygialis	
White-rumped Swiftlet	Aerodramus spodiopygius	
Australian Swiftlet	Aerodramus terraereginae	
Uniform Swiftlet	Aerodramus vanikorensis	
 
CUCULIFORMES: Cuculidae

Pacific Long-tailed Cuckoo	Urodynamis taitensis	
Shining Bronze Cuckoo	Chrysococcyx lucidus	
Fan-tailed Cuckoo	Cacomantis flabelliformis	
Oriental Cuckoo	Cuculus optatus	
 
COLUMBIFORMES: Columbidae

MacKinlay's Cuckoo-Dove	Macropygia mackinlayi	
Pacific Emerald Dove	Chalcophaps longirostris	
Santa Cruz Ground Dove	Pampusana sanctaecrucis	Endemic
Red-bellied Fruit Dove	Ptilinopus greyi	
Pacific Imperial Pigeon	Ducula pacifica	
 
GRUIFORMES: Rallidae

Buff-banded Rail	Hypotaenidia philippensis	
Black-backed Swamphen	Porphyrio indicus	
Australasian Swamphen	Porphyrio melanotus	
Spotless Crake	Zapornia tabuensis	
White-browed Crake	Poliolimnas cinereus	
 
CHARADRIIFORMES: Burhinidae

Beach Stone-curlew	Esacus magnirostris	
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
Pied Stilt	Himantopus leucocephalus	
Black-necked Stilt	Himantopus mexicanus	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Pacific Golden Plover	Pluvialis fulva	
Grey Plover	Pluvialis squatarola	
Lesser Sand Plover	Charadrius mongolus	
 
CHARADRIIFORMES: Scolopacidae

Bristle-thighed Curlew	Numenius tahitiensis	
Eurasian Whimbrel	Numenius phaeopus	
Far Eastern Curlew	Numenius madagascariensis	
Bar-tailed Godwit	Limosa lapponica	
Black-tailed Godwit	Limosa limosa	
Ruddy Turnstone	Arenaria interpres	
Sharp-tailed Sandpiper	Calidris acuminata	
Curlew Sandpiper	Calidris ferruginea	
Red-necked Stint	Calidris ruficollis	
Sanderling	Calidris alba	
Swinhoe's Snipe	Gallinago megala	
Terek Sandpiper	Xenus cinereus	
Common Sandpiper	Actitis hypoleucos	
Wandering Tattler	Tringa incana	
Grey-tailed Tattler	Tringa brevipes	
Common Greenshank	Tringa nebularia	
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
White Tern	Gygis alba	
Greater Crested Tern	Thalasseus bergii	
Little Tern	Sternula albifrons	
Spectacled Tern	Onychoprion lunatus	
Bridled Tern	Onychoprion anaethetus	
Sooty Tern	Onychoprion fuscatus	
Roseate Tern	Sterna dougallii	
Black-naped Tern	Sterna sumatrana	
Common Tern	Sterna hirundo	
 
CHARADRIIFORMES: Stercorariidae

Pomarine Jaeger	Stercorarius pomarinus	
Parasitic Jaeger	Stercorarius parasiticus	
Long-tailed Jaeger	Stercorarius longicaudus	Rare/Accidental
 
PHAETHONTIFORMES: Phaethontidae

Red-tailed Tropicbird	Phaethon rubricauda	Rare/Accidental
White-tailed Tropicbird	Phaethon lepturus	Rare/Accidental
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	Rare/Accidental
Black-bellied Storm Petrel	Fregetta tropica	Rare/Accidental
 
PROCELLARIIFORMES: Procellariidae

Vanuatu Petrel	Pterodroma occulta	Rare/Accidental
Herald Petrel	Pterodroma heraldica	Rare/Accidental
Mottled Petrel	Pterodroma inexpectata	
White-necked Petrel	Pterodroma cervicalis	
Collared Petrel	Pterodroma brevipes	
Tahiti Petrel	Pseudobulweria rostrata	Rare/Accidental
Streaked Shearwater	Calonectris leucomelas	Rare/Accidental
Wedge-tailed Shearwater	Ardenna pacifica	
Sooty Shearwater	Ardenna grisea	
Short-tailed Shearwater	Ardenna tenuirostris	Rare/Accidental
Flesh-footed Shearwater	Ardenna carneipes	
Christmas Shearwater	Puffinus nativitatis	
Tropical Shearwater	Puffinus bailloni	
Heinroth's Shearwater	Puffinus heinrothi	
Bulwer's Petrel	Bulweria bulwerii	Rare/Accidental
 
SULIFORMES: Fregatidae

Great Frigatebird	Fregata minor	
Lesser Frigatebird	Fregata ariel	
 
SULIFORMES: Sulidae

Masked Booby	Sula dactylatra	Rare/Accidental
Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
 
SULIFORMES: Phalacrocoracidae

Little Pied Cormorant	Microcarbo melanoleucos	
 
PELECANIFORMES: Ardeidae

Striated Heron	Butorides striata	
Great Egret	Ardea alba	
White-faced Heron	Egretta novaehollandiae	Rare/Accidental
Pacific Reef Heron	Egretta sacra	
 
PELECANIFORMES: Pelecanidae

Australian Pelican	Pelecanus conspicillatus	Rare/Accidental
 
ACCIPITRIFORMES: Pandionidae

Eastern Osprey	Pandion cristatus	
 
ACCIPITRIFORMES: Accipitridae

Pied Goshawk	Accipiter albogularis	
White-bellied Sea Eagle	Haliaeetus leucogaster	
 
STRIGIFORMES: Tytonidae

Eastern Barn Owl	Tyto javanica	
 
CORACIIFORMES: Alcedinidae

Collared Kingfisher	Todiramphus chloris	
Islet Kingfisher	Todiramphus colonus	
Melanesian Kingfisher	Todiramphus tristrami	
Pacific Kingfisher	Todiramphus sacer	
 
FALCONIFORMES: Falconidae

Oriental Hobby	Falco severus	
 
PSITTACIFORMES: Psittaculidae

Palm Lorikeet	Charmosyna palmarum	
Coconut Lorikeet	Trichoglossus haematodus	
Rainbow Lorikeet	Trichoglossus moluccanus	
 
PASSERIFORMES: Meliphagidae

Cardinal Myzomela	Myzomela cardinalis	
 
PASSERIFORMES: Campephagidae

South Melanesian Cuckooshrike	Coracina caledonica	
Polynesian Triller	Lalage maculosa	
Long-tailed Triller	Lalage leucopyga	
 
PASSERIFORMES: Pachycephalidae

Temotu Whistler	Pachycephala vanikorensis	
 
PASSERIFORMES: Rhipiduridae

Rufous Fantail	Rhipidura rufifrons	
 
PASSERIFORMES: Monarchidae

Vanikoro Monarch	Mayrornis schistaceus	Endemic
Santa Cruz Shrikebill	Clytorhynchus sanctaecrucis	Endemic
Vanikoro Flycatcher	Myiagra vanikorensis	
 
PASSERIFORMES: Hirundinidae

Pacific Swallow	Hirundo tahitica	
 
PASSERIFORMES: Zosteropidae

Santa Cruz White-eye	Zosterops sanctaecrucis	Endemic
Sanford's White-eye	Zosterops lacertosus	Endemic
Vanikoro White-eye	Zosterops gibbsi	Endemic
 
PASSERIFORMES: Sturnidae

Brown-winged Starling	Aplonis grandis	Endemic (country/region)
Rusty-winged Starling	Aplonis zelandica	
Polynesian Starling	Aplonis tabuensis	
 
PASSERIFORMES: Turdidae

Island Thrush	Turdus poliocephalus	
