ANSERIFORMES: Anatidae

Plumed Whistling Duck	Dendrocygna eytoni	Rare/Accidental
Pacific Black Duck	Anas superciliosa	
Grey Teal	Anas gracilis	
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	
 
APODIFORMES: Hemiprocnidae

Moustached Treeswift	Hemiprocne mystacea	
 
APODIFORMES: Apodidae

Glossy Swiftlet	Collocalia esculenta	
White-rumped Swiftlet	Aerodramus spodiopygius	
Australian Swiftlet	Aerodramus terraereginae	
Uniform Swiftlet	Aerodramus vanikorensis	
 
CUCULIFORMES: Cuculidae

Pacific Koel	Eudynamys orientalis	
Pacific Long-tailed Cuckoo	Urodynamis taitensis	
Channel-billed Cuckoo	Scythrops novaehollandiae	
Shining Bronze Cuckoo	Chrysococcyx lucidus	
Fan-tailed Cuckoo	Cacomantis flabelliformis	
Brush Cuckoo	Cacomantis variolosus	
Oriental Cuckoo	Cuculus optatus	
 
COLUMBIFORMES: Columbidae

MacKinlay's Cuckoo-Dove	Macropygia mackinlayi	
Stephan's Emerald Dove	Chalcophaps stephani	
Nicobar Pigeon	Caloenas nicobarica	
Bronze Ground Dove	Pampusana beccarii	
Superb Fruit Dove	Ptilinopus superbus	
Silver-capped Fruit Dove	Ptilinopus richardsii	Endemic (country/region)
Yellow-bibbed Fruit Dove	Ptilinopus solomonensis	
Pacific Imperial Pigeon	Ducula pacifica	
Island Imperial Pigeon	Ducula pistrinaria	
 
GRUIFORMES: Rallidae

Buff-banded Rail	Hypotaenidia philippensis	
Black-backed Swamphen	Porphyrio indicus	
Australasian Swamphen	Porphyrio melanotus	
Spotless Crake	Zapornia tabuensis	
 
PODICIPEDIFORMES: Podicipedidae

Australasian Grebe	Tachybaptus novaehollandiae	
 
CHARADRIIFORMES: Burhinidae

Beach Stone-curlew	Esacus magnirostris	
 
CHARADRIIFORMES: Charadriidae

Pacific Golden Plover	Pluvialis fulva	
Grey Plover	Pluvialis squatarola	
Lesser Sand Plover	Charadrius mongolus	
Greater Sand Plover	Charadrius leschenaultii	
Oriental Plover	Charadrius veredus	
 
CHARADRIIFORMES: Scolopacidae

Bristle-thighed Curlew	Numenius tahitiensis	
Eurasian Whimbrel	Numenius phaeopus	
Bar-tailed Godwit	Limosa lapponica	
Black-tailed Godwit	Limosa limosa	
Ruddy Turnstone	Arenaria interpres	
Sharp-tailed Sandpiper	Calidris acuminata	
Curlew Sandpiper	Calidris ferruginea	
Long-toed Stint	Calidris subminuta	
Red-necked Stint	Calidris ruficollis	
Sanderling	Calidris alba	
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
Common Sandpiper	Actitis hypoleucos	
Wandering Tattler	Tringa incana	
Grey-tailed Tattler	Tringa brevipes	
Marsh Sandpiper	Tringa stagnatilis	
Common Greenshank	Tringa nebularia	
 
CHARADRIIFORMES: Glareolidae

Oriental Pratincole	Glareola maldivarum	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
White Tern	Gygis alba	
Greater Crested Tern	Thalasseus bergii	
Little Tern	Sternula albifrons	
Bridled Tern	Onychoprion anaethetus	
Sooty Tern	Onychoprion fuscatus	
Roseate Tern	Sterna dougallii	
Black-naped Tern	Sterna sumatrana	
Common Tern	Sterna hirundo	
White-winged Tern	Chlidonias leucopterus	
 
CHARADRIIFORMES: Stercorariidae

