
 
ANSERIFORMES: Anatidae

Plumed Whistling Duck	Dendrocygna eytoni	Rare/Accidental
Wandering Whistling Duck	Dendrocygna arcuata	Rare/Accidental
Hardhead	Aythya australis	
Australasian Shoveler	Spatula rhynchotis	Rare/Accidental
Pacific Black Duck	Anas superciliosa	
Mallard	Anas platyrhynchos	Introduced species
Northern Pintail	Anas acuta	Rare/Accidental
Grey Teal	Anas gracilis	
 
GALLIFORMES: Megapodiidae

Melanesian Megapode	Megapodius eremita	
Vanuatu Megapode	Megapodius layardi	Endemic
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	Introduced species
 
PODICIPEDIFORMES: Podicipedidae

Australasian Grebe	Tachybaptus novaehollandiae	
 
CUCULIFORMES: Cuculidae

Long-tailed Koel	Urodynamis taitensis	
Shining Bronze Cuckoo	Chalcites lucidus	
Fan-tailed Cuckoo	Cacomantis flabelliformis	
 
COLUMBIFORMES: Columbidae

Spot-breasted Cuckoo-Dove	Macropygia mackinlayi	
Metallic Pigeon	Columba vitiensis	
Rock Dove	Columba livia	Introduced species
Pacific Emerald Dove	Chalcophaps longirostris	
Santa Cruz Ground Dove	Pampusana sanctaecrucis	Endangered
Tanna Ground Dove	Pampusana ferruginea	Endemic Extinct
Pacific Imperial Pigeon	Ducula pacifica	
Vanuatu Imperial Pigeon	Ducula bakeri	Endemic
Tanna Fruit Dove	Ptilinopus tannensis	Endemic
Rose-crowned Fruit Dove	Ptilinopus regina	
Red-bellied Fruit Dove	Ptilinopus greyi	
Claret-breasted Fruit Dove	Ptilinopus viridis	
 
GRUIFORMES: Rallidae

Buff-banded Rail	Gallirallus philippensis	
Purple Swamphen	Porphyrio porphyrio	
Ocellated Crake	Rufirallus schomburgkii	Rare/Accidental
White-browed Crake	Poliolimnas cinereus	
Spotless Crake	Zapornia tabuensis	
 
CHARADRIIFORMES: Burhinidae

Beach Stone-curlew	Esacus magnirostris	Near-threatened
 
CHARADRIIFORMES: Haematopodidae

Variable Oystercatcher	Haematopus unicolor	Rare/Accidental
South Island Oystercatcher	Haematopus finschi	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Rare/Accidental Vulnerable
Pacific Golden Plover	Pluvialis fulva	
Semipalmated Plover	Charadrius semipalmatus	Rare/Accidental
Masked Lapwing	Vanellus miles	Rare/Accidental
Oriental Plover	Anarhynchus veredus	Rare/Accidental
Siberian Sand Plover	Anarhynchus mongolus	Rare/Accidental Endangered
Greater Sand Plover	Anarhynchus leschenaultii	
Double-banded Plover	Anarhynchus bicinctus	Rare/Accidental Near-threatened
 
CHARADRIIFORMES: Scolopacidae

Little Curlew	Numenius minutus	Rare/Accidental
Eurasian Whimbrel	Numenius phaeopus	
Far Eastern Curlew	Numenius madagascariensis	Endangered
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Black-tailed Godwit	Limosa limosa	Rare/Accidental Near-threatened
Common Sandpiper	Actitis hypoleucos	
Wandering Tattler	Tringa incana	
Grey-tailed Tattler	Tringa brevipes	
Marsh Sandpiper	Tringa stagnatilis	Rare/Accidental
Common Greenshank	Tringa nebularia	Rare/Accidental
Ruddy Turnstone	Arenaria interpres	Near-threatened
Sharp-tailed Sandpiper	Calidris acuminata	Vulnerable
Curlew Sandpiper	Calidris ferruginea	Rare/Accidental Vulnerable
Red-necked Stint	Calidris ruficollis	Rare/Accidental Near-threatened
Sanderling	Calidris alba	
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
 
CHARADRIIFORMES: Stercorariidae

Parasitic Jaeger	Stercorarius parasiticus	Rare/Accidental
Long-tailed Jaeger	Stercorarius longicaudus	Rare/Accidental
Pomarine Jaeger	Stercorarius pomarinus	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Atlantic White Tern	Gygis alba	
Blue-billed White Tern	Gygis candida	
Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
Grey Noddy	Anous albivitta	
Blue Noddy	Anous ceruleus	
Sooty Tern	Onychoprion fuscatus	
Spectacled Tern	Onychoprion lunatus	Rare/Accidental
Bridled Tern	Onychoprion anaethetus	Rare/Accidental
Little Tern	Sternula albifrons	Rare/Accidental
Whiskered Tern	Chlidonias hybrida	Rare/Accidental
Greater Crested Tern	Thalasseus bergii	
Common Tern	Sterna hirundo	
Black-naped Tern	Sterna sumatrana	
Roseate Tern	Sterna dougallii	Rare/Accidental
Silver Gull	Chroicocephalus novaehollandiae	
 
PHAETHONTIFORMES: Phaethontidae

Red-tailed Tropicbird	Phaethon rubricauda	
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Diomedeidae

Snowy Albatross	Diomedea exulans	Rare/Accidental Vulnerable
Black-browed Albatross	Thalassarche melanophris	Rare/Accidental
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	Rare/Accidental
Polynesian Storm Petrel	Nesofregetta fuliginosa	Endangered
White-bellied Storm Petrel	Fregetta grallaria	Rare/Accidental
Black-bellied Storm Petrel	Fregetta tropica	Rare/Accidental
 
PROCELLARIIFORMES: Hydrobatidae

Band-rumped Storm Petrel	Hydrobates castro	Rare/Accidental
Leach's Storm Petrel	Hydrobates leucorhous	Rare/Accidental Vulnerable
 
PROCELLARIIFORMES: Procellariidae

Pintado Petrel	Daption capense	
Southern Giant Petrel	Macronectes giganteus	Rare/Accidental
Bulwer's Petrel	Bulweria bulwerii	Rare/Accidental
Tahiti Petrel	Pseudobulweria rostrata	Rare/Accidental Near-threatened
Beck's Petrel	Pseudobulweria becki	Rare/Accidental Critically endangered
Grey Petrel	Procellaria cinerea	Near-threatened
Wedge-tailed Shearwater	Ardenna pacifica	
Short-tailed Shearwater	Ardenna tenuirostris	
Sooty Shearwater	Ardenna grisea	Near-threatened
Flesh-footed Shearwater	Ardenna carneipes	Rare/Accidental Near-threatened
Christmas Shearwater	Puffinus nativitatis	Rare/Accidental
Fluttering Shearwater	Puffinus gavia	
Tropical Shearwater	Puffinus bailloni	
Fairy Prion	Pachyptila turtur	
Antarctic Prion	Pachyptila desolata	Rare/Accidental
Cook's Petrel	Pterodroma cookii	Rare/Accidental Vulnerable
Pycroft's Petrel	Pterodroma pycrofti	Rare/Accidental Vulnerable
Gould's Petrel	Pterodroma leucoptera	Vulnerable
Collared Petrel	Pterodroma brevipes	Vulnerable
Black-winged Petrel	Pterodroma nigripennis	Rare/Accidental
White-necked Petrel	Pterodroma cervicalis	Vulnerable
Providence Petrel	Pterodroma solandri	Rare/Accidental
Mottled Petrel	Pterodroma inexpectata	Near-threatened
Kermadec Petrel	Pterodroma neglecta	Rare/Accidental
Herald Petrel	Pterodroma heraldica	Rare/Accidental
 
SULIFORMES: Fregatidae

Lesser Frigatebird	Fregata ariel	
Great Frigatebird	Fregata minor	Rare/Accidental
 
SULIFORMES: Sulidae

Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
Masked Booby	Sula dactylatra	Rare/Accidental
 
SULIFORMES: Phalacrocoracidae

Little Pied Cormorant	Microcarbo melanoleucos	
Little Black Cormorant	Phalacrocorax sulcirostris	Rare/Accidental
 
PELECANIFORMES: Pelecanidae

Australian Pelican	Pelecanus conspicillatus	Rare/Accidental
 
PELECANIFORMES: Ardeidae

White-faced Heron	Egretta novaehollandiae	Rare/Accidental
Pacific Reef Heron	Egretta sacra	
Little Egret	Egretta garzetta	Rare/Accidental
Nankeen Night Heron	Nycticorax caledonicus	Rare/Accidental
Little Heron	Butorides atricapilla	
Great Egret	Ardea alba	Rare/Accidental
 
APODIFORMES: Apodidae

Glossy Swiftlet	Collocalia esculenta	
Satin Swiftlet	Collocalia uropygialis	
White-rumped Swiftlet	Aerodramus spodiopygius	
Uniform Swiftlet	Aerodramus vanikorensis	
 
STRIGIFORMES: Tytonidae

Eastern Barn Owl	Tyto javanica	
 
ACCIPITRIFORMES: Accipitridae

Brown Goshawk	Tachyspiza fasciata	
Swamp Harrier	Circus approximans	
Brahminy Kite	Haliastur indus	Rare/Accidental
 
CORACIIFORMES: Alcedinidae

Vanuatu Kingfisher	Todiramphus farquhari	Endemic Near-threatened
Pacific Kingfisher	Todiramphus sacer	
Sacred Kingfisher	Todiramphus sanctus	
Collared Kingfisher	Todiramphus chloris	
 
FALCONIFORMES: Falconidae

Peregrine Falcon	Falco peregrinus	
 
PSITTACIFORMES: Psittaculidae

Oceanic Eclectus	Eclectus infectus	Extirpated Extinct
Large Fig Parrot	Cyclopsitta desmarestii	Rare/Accidental
Palm Lorikeet	Vini palmarum	Vulnerable
Coconut Lorikeet	Trichoglossus haematodus	
Rainbow Lorikeet	Trichoglossus moluccanus	
 
PASSERIFORMES: Acanthizidae

Fan-tailed Gerygone	Gerygone flavolateralis	
 
PASSERIFORMES: Meliphagidae

White-bellied Honeyeater	Gliciphila notabilis	Endemic
Cardinal Myzomela	Myzomela cardinalis	
Grey-eared Honeyeater	Lichmera incana	
 
PASSERIFORMES: Campephagidae

South Melanesian Cuckooshrike	Coracina caledonica	
Polynesian Triller	Lalage maculosa	
Long-tailed Triller	Lalage leucopyga	
 
PASSERIFORMES: Artamidae

White-breasted Woodswallow	Artamus leucorynchus	
 
PASSERIFORMES: Pachycephalidae

Melanesian Whistler	Pachycephala chlorura	
Yellow-throated Fiji Whistler	Pachycephala graeffii	
New Caledonian Whistler	Pachycephala caledonica	
 
PASSERIFORMES: Rhipiduridae

Vanuatu Streaked Fantail	Rhipidura spilodera	
Grey Fantail	Rhipidura albiscapa	
New Zealand Fantail	Rhipidura fuliginosa	
 
PASSERIFORMES: Monarchidae

Melanesian Flycatcher	Myiagra caledonica	
Buff-bellied Monarch	Neolalage banksiana	Endemic
Southern Shrikebill	Clytorhynchus pachycephaloides	
 
PASSERIFORMES: Petroicidae

Pacific Robin	Petroica pusilla	
 
PASSERIFORMES: Locustellidae

Santo Thicketbird	Cincloramphus whitneyi	Endemic
 
PASSERIFORMES: Hirundinidae

Pacific Swallow	Hirundo javanica	
Tree Martin	Petrochelidon nigricans	Rare/Accidental
 
PASSERIFORMES: Pycnonotidae

Red-vented Bulbul	Pycnonotus cafer	Rare/Accidental
 
PASSERIFORMES: Zosteropidae

Silvereye	Zosterops lateralis	
Vanuatu White-eye	Zosterops flavifrons	Endemic
 
PASSERIFORMES: Sturnidae

Long-tailed Myna	Mino kreffti	Rare/Accidental
Rusty-winged Starling	Aplonis zelandica	
Mountain Starling	Aplonis santovestris	Endemic Endangered
Common Starling	Sturnus vulgaris	Rare/Accidental
Common Myna	Acridotheres tristis	Introduced species
Jungle Myna	Acridotheres fuscus	Rare/Accidental
 
PASSERIFORMES: Turdidae

Song Thrush	Turdus philomelos	Rare/Accidental
Vanuatu Island Thrush	Turdus vanikorensis	
Loyalty Island Thrush	Turdus pritzbueri	
 
PASSERIFORMES: Estrildidae

Red-browed Finch	Neochmia temporalis	Introduced species
Chestnut Munia	Lonchura atricapilla	Introduced species
Chestnut-breasted Mannikin	Lonchura castaneothorax	Introduced species
Red-throated Parrotfinch	Erythrura psittacea	Introduced species
Royal Parrotfinch	Erythrura cyaneovirens	
Blue-faced Parrotfinch	Erythrura trichroa	
Common Waxbill	Estrilda astrild	Introduced species
Red Avadavat	Amandava amandava	Rare/Accidental
 
PASSERIFORMES: Passeridae

Eurasian Tree Sparrow	Passer montanus	Introduced species
House Sparrow	Passer domesticus	Introduced species
 
PASSERIFORMES: Fringillidae

Redpoll	Acanthis flammea	Rare/Accidental
