
 
ANSERIFORMES: Anatidae

Brant Goose	Branta bernicla	
Red-breasted Goose	Branta ruficollis	Breeding endemic
Canada Goose	Branta canadensis	Introduced species
Barnacle Goose	Branta leucopsis	
Cackling Goose	Branta hutchinsii	Rare/Accidental
Bar-headed Goose	Anser indicus	
Emperor Goose	Anser canagicus	
Ross's Goose	Anser rossii	Rare/Accidental
Snow Goose	Anser caerulescens	
Greylag Goose	Anser anser	
Swan Goose	Anser cygnoides	
Taiga Bean Goose	Anser fabalis	
Pink-footed Goose	Anser brachyrhynchus	Rare/Accidental
Tundra Bean Goose	Anser serrirostris	
Greater White-fronted Goose	Anser albifrons	
Lesser White-fronted Goose	Anser erythropus	
Mute Swan	Cygnus olor	
Trumpeter Swan	Cygnus buccinator	Rare/Accidental
Tundra Swan	Cygnus columbianus	
Whooper Swan	Cygnus cygnus	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Crested Shelduck	Tadorna cristata	Rare/Accidental
Mandarin Duck	Aix galericulata	
Baikal Teal	Sibirionetta formosa	Breeding endemic
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Falcated Duck	Mareca falcata	
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	Rare/Accidental
Indian Spot-billed Duck	Anas poecilorhyncha	
Eastern Spot-billed Duck	Anas zonorhyncha	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Green-winged Teal	Anas carolinensis	Rare/Accidental
Marbled Duck	Marmaronetta angustirostris	
Red-crested Pochard	Netta rufina	
Canvasback	Aythya valisineria	Rare/Accidental
Redhead	Aythya americana	Rare/Accidental
Common Pochard	Aythya ferina	
Baer's Pochard	Aythya baeri	
Ferruginous Duck	Aythya nyroca	
Ring-necked Duck	Aythya collaris	Rare/Accidental
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Lesser Scaup	Aythya affinis	Rare/Accidental
Steller's Eider	Polysticta stelleri	
Spectacled Eider	Somateria fischeri	
