
 
ANSERIFORMES: Anatidae

Brant Goose	Branta bernicla	Rare/Accidental
Red-breasted Goose	Branta ruficollis	Rare/Accidental Vulnerable
Canada Goose	Branta canadensis	Rare/Accidental
Barnacle Goose	Branta leucopsis	Rare/Accidental
Bar-headed Goose	Anser indicus	Rare/Accidental
Greylag Goose	Anser anser	
Taiga Bean Goose	Anser fabalis	
Pink-footed Goose	Anser brachyrhynchus	Rare/Accidental
Tundra Bean Goose	Anser serrirostris	
Greater White-fronted Goose	Anser albifrons	
Lesser White-fronted Goose	Anser erythropus	Rare/Accidental Vulnerable
Black Swan	Cygnus atratus	Rare/Accidental
Mute Swan	Cygnus olor	
Tundra Swan	Cygnus columbianus	Rare/Accidental
Whooper Swan	Cygnus cygnus	
Egyptian Goose	Alopochen aegyptiaca	Rare/Accidental
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	Rare/Accidental
Wood Duck	Aix sponsa	Introduced species
Mandarin Duck	Aix galericulata	Rare/Accidental
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Red-crested Pochard	Netta rufina	
Common Pochard	Aythya ferina	Vulnerable
Ferruginous Duck	Aythya nyroca	Near-threatened
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Common Eider	Somateria mollissima	Rare/Accidental Near-threatened
Harlequin Duck	Histrionicus histrionicus	
Velvet Scoter	Melanitta fusca	Vulnerable
Common Scoter	Melanitta nigra	Rare/Accidental
Long-tailed Duck	Clangula hyemalis	Rare/Accidental Vulnerable
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Common Merganser	Mergus merganser	
Red-breasted Merganser	Mergus serrator	
White-headed Duck	Oxyura leucocephala	Endangered
 
GALLIFORMES: Phasianidae

Hazel Grouse	Tetrastes bonasia	
Western Capercaillie	Tetrao urogallus	
Black Grouse	Lyrurus tetrix	Extirpated
Grey Partridge	Perdix perdix	
Common Pheasant	Phasianus colchicus	Introduced species
Common Quail	Coturnix coturnix	
Rock Partridge	Alectoris graeca	Near-threatened
 
CAPRIMULGIFORMES: Caprimulgidae

Red-necked Nightjar	Caprimulgus ruficollis	
European Nightjar	Caprimulgus europaeus	
 
APODIFORMES: Apodidae

Alpine Swift	Tachymarptis melba	
Common Swift	Apus apus	
Pallid Swift	Apus pallidus	
 
OTIDIFORMES: Otididae

Great Bustard	Otis tarda	Vulnerable
Little Bustard	Tetrax tetrax	Rare/Accidental Near-threatened
 
CUCULIFORMES: Cuculidae

Great Spotted Cuckoo	Clamator glandarius	Rare/Accidental
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Pallas's Sandgrouse	Syrrhaptes paradoxus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Stock Dove	Columba oenas	
Common Wood Pigeon	Columba palumbus	
European Turtle Dove	Streptopelia turtur	Vulnerable
Oriental Turtle Dove	Streptopelia orientalis	Rare/Accidental
Eurasian Collared Dove	Streptopelia decaocto	
 
GRUIFORMES: Rallidae

Water Rail	Rallus aquaticus	
Corn Crake	Crex crex	
Spotted Crake	Porzana porzana	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Western Swamphen	Porphyrio porphyrio	Rare/Accidental
Baillon's Crake	Zapornia pusilla	
Little Crake	Zapornia parva	
 
GRUIFORMES: Gruidae

Common Crane	Grus grus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Red-necked Grebe	Podiceps grisegena	
Great Crested Grebe	Podiceps cristatus	
Horned Grebe	Podiceps auritus	Vulnerable
Black-necked Grebe	Podiceps nigricollis	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	Rare/Accidental
 
CHARADRIIFORMES: Burhinidae

Eurasian Stone-curlew	Burhinus oedicnemus	
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Near-threatened
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
Pied Avocet	Recurvirostra avosetta	
 
CHARADRIIFORMES: Charadriidae

Northern Lapwing	Vanellus vanellus	Near-threatened
Spur-winged Lapwing	Vanellus spinosus	Rare/Accidental
Red-wattled Lapwing	Vanellus indicus	Rare/Accidental
European Golden Plover	Pluvialis apricaria	
American Golden Plover	Pluvialis dominica	Rare/Accidental
Grey Plover	Pluvialis squatarola	
