
 
ANSERIFORMES: Anatidae

Brant Goose	Branta bernicla	Rare/Accidental
Red-breasted Goose	Branta ruficollis	Vulnerable
Canada Goose	Branta canadensis	Rare/Accidental
Barnacle Goose	Branta leucopsis	
Bar-headed Goose	Anser indicus	Rare/Accidental
Greylag Goose	Anser anser	
Taiga Bean Goose	Anser fabalis	Rare/Accidental
Pink-footed Goose	Anser brachyrhynchus	Rare/Accidental
Tundra Bean Goose	Anser serrirostris	
Greater White-fronted Goose	Anser albifrons	
Lesser White-fronted Goose	Anser erythropus	Vulnerable
Mute Swan	Cygnus olor	
Tundra Swan	Cygnus columbianus	Rare/Accidental
Whooper Swan	Cygnus cygnus	
Egyptian Goose	Alopochen aegyptiaca	Introduced species
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Wood Duck	Aix sponsa	Introduced species
Mandarin Duck	Aix galericulata	Introduced species
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Marbled Duck	Marmaronetta angustirostris	Rare/Accidental Vulnerable
Red-crested Pochard	Netta rufina	
Common Pochard	Aythya ferina	Vulnerable
Ferruginous Duck	Aythya nyroca	Near-threatened
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Common Eider	Somateria mollissima	Rare/Accidental Near-threatened
Velvet Scoter	Melanitta fusca	Vulnerable
Common Scoter	Melanitta nigra	Rare/Accidental
Long-tailed Duck	Clangula hyemalis	Rare/Accidental Vulnerable
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Common Merganser	Mergus merganser	
Red-breasted Merganser	Mergus serrator	
White-headed Duck	Oxyura leucocephala	Rare/Accidental Endangered
 
GALLIFORMES: Phasianidae

Hazel Grouse	Tetrastes bonasia	
Western Capercaillie	Tetrao urogallus	
Black Grouse	Lyrurus tetrix	Rare/Accidental
Grey Partridge	Perdix perdix	
Common Pheasant	Phasianus colchicus	Introduced species
Common Quail	Coturnix coturnix	
Rock Partridge	Alectoris graeca	Extirpated Near-threatened
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	
 
APODIFORMES: Apodidae

Alpine Swift	Tachymarptis melba	
Common Swift	Apus apus	
Pallid Swift	Apus pallidus	Rare/Accidental
 
OTIDIFORMES: Otididae

Great Bustard	Otis tarda	Vulnerable
Macqueen's Bustard	Chlamydotis macqueenii	Rare/Accidental Vulnerable
Little Bustard	Tetrax tetrax	Rare/Accidental Near-threatened
 
CUCULIFORMES: Cuculidae

Great Spotted Cuckoo	Clamator glandarius	Rare/Accidental
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Pallas's Sandgrouse	Syrrhaptes paradoxus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Stock Dove	Columba oenas	
Common Wood Pigeon	Columba palumbus	
European Turtle Dove	Streptopelia turtur	Vulnerable
Oriental Turtle Dove	Streptopelia orientalis	Rare/Accidental
Eurasian Collared Dove	Streptopelia decaocto	
 
GRUIFORMES: Rallidae

Water Rail	Rallus aquaticus	
Corn Crake	Crex crex	
Spotted Crake	Porzana porzana	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Baillon's Crake	Zapornia pusilla	Rare/Accidental
Little Crake	Zapornia parva	
 
GRUIFORMES: Gruidae

Demoiselle Crane	Grus virgo	Rare/Accidental
Common Crane	Grus grus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Red-necked Grebe	Podiceps grisegena	
Great Crested Grebe	Podiceps cristatus	
Horned Grebe	Podiceps auritus	Rare/Accidental Vulnerable
Black-necked Grebe	Podiceps nigricollis	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	Rare/Accidental
 
CHARADRIIFORMES: Burhinidae

Eurasian Stone-curlew	Burhinus oedicnemus	
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Near-threatened
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
Pied Avocet	Recurvirostra avosetta	
 
CHARADRIIFORMES: Charadriidae

Northern Lapwing	Vanellus vanellus	Near-threatened
Spur-winged Lapwing	Vanellus spinosus	Rare/Accidental
Sociable Lapwing	Vanellus gregarius	Rare/Accidental Critically endangered
White-tailed Lapwing	Vanellus leucurus	Rare/Accidental
European Golden Plover	Pluvialis apricaria	
Pacific Golden Plover	Pluvialis fulva	Rare/Accidental
Grey Plover	Pluvialis squatarola	
Common Ringed Plover	Charadrius hiaticula	
Little Ringed Plover	Charadrius dubius	
Kentish Plover	Charadrius alexandrinus	
Greater Sand Plover	Charadrius leschenaultii	Rare/Accidental
Eurasian Dotterel	Charadrius morinellus	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Slender-billed Curlew	Numenius tenuirostris	Rare/Accidental Critically endangered
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Rare/Accidental Near-threatened
Black-tailed Godwit	Limosa limosa	Near-threatened
Ruddy Turnstone	Arenaria interpres	
Red Knot	Calidris canutus	Near-threatened
Ruff	Calidris pugnax	
Broad-billed Sandpiper	Calidris falcinellus	Rare/Accidental
Curlew Sandpiper	Calidris ferruginea	Near-threatened
Temminck's Stint	Calidris temminckii	
Sanderling	Calidris alba	
Dunlin	Calidris alpina	
Little Stint	Calidris minuta	
Buff-breasted Sandpiper	Calidris subruficollis	Rare/Accidental Near-threatened
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
Eurasian Woodcock	Scolopax rusticola	
Jack Snipe	Lymnocryptes minimus	Rare/Accidental
Great Snipe	Gallinago media	Rare/Accidental Near-threatened
Common Snipe	Gallinago gallinago	
Terek Sandpiper	Xenus cinereus	Rare/Accidental
Wilson's Phalarope	Phalaropus tricolor	Rare/Accidental
Red-necked Phalarope	Phalaropus lobatus	
Red Phalarope	Phalaropus fulicarius	Rare/Accidental
Common Sandpiper	Actitis hypoleucos	
Green Sandpiper	Tringa ochropus	
Common Redshank	Tringa totanus	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Spotted Redshank	Tringa erythropus	
Common Greenshank	Tringa nebularia	
 
CHARADRIIFORMES: Glareolidae

Collared Pratincole	Glareola pratincola	
