ANSERIFORMES: Anatidae

Red-breasted Goose	Branta ruficollis	Rare/Accidental Vulnerable
Greylag Goose	Anser anser	
Taiga Bean Goose	Anser fabalis	
Greater White-fronted Goose	Anser albifrons	
Lesser White-fronted Goose	Anser erythropus	Rare/Accidental Vulnerable
Mute Swan	Cygnus olor	
Whooper Swan	Cygnus cygnus	Rare/Accidental
Common Shelduck	Tadorna tadorna	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Marbled Duck	Marmaronetta angustirostris	Rare/Accidental Vulnerable
Red-crested Pochard	Netta rufina	
Common Pochard	Aythya ferina	Vulnerable
Ferruginous Duck	Aythya nyroca	Near-threatened
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	Rare/Accidental
Common Eider	Somateria mollissima	Near-threatened
Velvet Scoter	Melanitta fusca	Vulnerable
Common Scoter	Melanitta nigra	Rare/Accidental
Long-tailed Duck	Clangula hyemalis	Rare/Accidental Vulnerable
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Common Merganser	Mergus merganser	
Red-breasted Merganser	Mergus serrator	
White-headed Duck	Oxyura leucocephala	Rare/Accidental Endangered
 
GALLIFORMES: Phasianidae

Hazel Grouse	Tetrastes bonasia	
Western Capercaillie	Tetrao urogallus	
Black Grouse	Lyrurus tetrix	Extirpated
Grey Partridge	Perdix perdix	Rare/Accidental
Common Pheasant	Phasianus colchicus	Introduced species
Common Quail	Coturnix coturnix	
Rock Partridge	Alectoris graeca	Near-threatened
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	
 
APODIFORMES: Apodidae

Alpine Swift	Tachymarptis melba	
Common Swift	Apus apus	
Pallid Swift	Apus pallidus	
 
OTIDIFORMES: Otididae

Great Bustard	Otis tarda	Vulnerable
Little Bustard	Tetrax tetrax	Rare/Accidental Near-threatened
 
CUCULIFORMES: Cuculidae

Great Spotted Cuckoo	Clamator glandarius	Extirpated
Common Cuckoo	Cuculus canorus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Stock Dove	Columba oenas	
Common Wood Pigeon	Columba palumbus	
European Turtle Dove	Streptopelia turtur	Vulnerable
Eurasian Collared Dove	Streptopelia decaocto	
 
GRUIFORMES: Rallidae

Water Rail	Rallus aquaticus	
Corn Crake	Crex crex	
Spotted Crake	Porzana porzana	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Baillon's Crake	Zapornia pusilla	
Little Crake	Zapornia parva	
 
GRUIFORMES: Gruidae

Demoiselle Crane	Grus virgo	Rare/Accidental
Common Crane	Grus grus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Red-necked Grebe	Podiceps grisegena	
Great Crested Grebe	Podiceps cristatus	
Horned Grebe	Podiceps auritus	Vulnerable
Black-necked Grebe	Podiceps nigricollis	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	
 
CHARADRIIFORMES: Burhinidae

Eurasian Stone-curlew	Burhinus oedicnemus	
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Near-threatened
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
Pied Avocet	Recurvirostra avosetta	
 
CHARADRIIFORMES: Charadriidae

Northern Lapwing	Vanellus vanellus	Near-threatened
Spur-winged Lapwing	Vanellus spinosus	Rare/Accidental
European Golden Plover	Pluvialis apricaria	
Grey Plover	Pluvialis squatarola	
Common Ringed Plover	Charadrius hiaticula	
Little Ringed Plover	Charadrius dubius	
Kentish Plover	Charadrius alexandrinus	
Eurasian Dotterel	Charadrius morinellus	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Slender-billed Curlew	Numenius tenuirostris	Rare/Accidental Critically endangered
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Black-tailed Godwit	Limosa limosa	Near-threatened
Ruddy Turnstone	Arenaria interpres	
Red Knot	Calidris canutus	Near-threatened
Ruff	Calidris pugnax	
Broad-billed Sandpiper	Calidris falcinellus	Rare/Accidental
Stilt Sandpiper	Calidris himantopus	Rare/Accidental
Curlew Sandpiper	Calidris ferruginea	Near-threatened
Temminck's Stint	Calidris temminckii	
Sanderling	Calidris alba	
Dunlin	Calidris alpina	
Little Stint	Calidris minuta	
Eurasian Woodcock	Scolopax rusticola	
Jack Snipe	Lymnocryptes minimus	
Great Snipe	Gallinago media	Near-threatened
