
 
ANSERIFORMES: Anatidae

Tundra Swan	Cygnus columbianus	Rare/Accidental
Whooper Swan	Cygnus cygnus	Rare/Accidental
Brant Goose	Branta bernicla	
Canada Goose	Branta canadensis	
Barnacle Goose	Branta leucopsis	
Cackling Goose	Branta hutchinsii	
Emperor Goose	Anser canagicus	Rare/Accidental
Snow Goose	Anser caerulescens	
Greylag Goose	Anser anser	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	
Pink-footed Goose	Anser brachyrhynchus	
Common Shelduck	Tadorna tadorna	Rare/Accidental
Ruddy Shelduck	Tadorna ferruginea	Rare/Accidental
Long-tailed Duck	Clangula hyemalis	Vulnerable
Steller's Eider	Polysticta stelleri	Rare/Accidental Vulnerable
King Eider	Somateria spectabilis	
Common Eider	Somateria mollissima	Near-threatened
Harlequin Duck	Histrionicus histrionicus	
Common Scoter	Melanitta nigra	Rare/Accidental
Surf Scoter	Melanitta perspicillata	Rare/Accidental
Velvet Scoter	Melanitta fusca	Rare/Accidental Vulnerable
Bufflehead	Bucephala albeola	Rare/Accidental
Barrow's Goldeneye	Bucephala islandica	
Common Goldeneye	Bucephala clangula	Rare/Accidental
Red-breasted Merganser	Mergus serrator	
Common Merganser	Mergus merganser	Rare/Accidental
Ring-necked Duck	Aythya collaris	Rare/Accidental
Redhead	Aythya americana	Rare/Accidental
Tufted Duck	Aythya fuligula	Rare/Accidental
Lesser Scaup	Aythya affinis	Rare/Accidental
Greater Scaup	Aythya marila	Rare/Accidental
Blue-winged Teal	Spatula discors	Rare/Accidental
Northern Shoveler	Spatula clypeata	Rare/Accidental
Gadwall	Mareca strepera	Rare/Accidental
Eurasian Wigeon	Mareca penelope	Rare/Accidental
American Wigeon	Mareca americana	Rare/Accidental
Mallard	Anas platyrhynchos	
American Black Duck	Anas rubripes	Rare/Accidental
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
 
GALLIFORMES: Phasianidae

Rock Ptarmigan	Lagopus muta	
Willow Ptarmigan	Lagopus lagopus	
 
PODICIPEDIFORMES: Podicipedidae

Horned Grebe	Podiceps auritus	Rare/Accidental Vulnerable
Red-necked Grebe	Podiceps grisegena	Rare/Accidental
Black-necked Grebe	Podiceps nigricollis	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Yellow-billed Cuckoo	Coccyzus americanus	Rare/Accidental
Black-billed Cuckoo	Coccyzus erythropthalmus	Rare/Accidental
Common Cuckoo	Cuculus canorus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Mourning Dove	Zenaida macroura	Rare/Accidental
Rock Dove	Columba livia	Introduced species
 
GRUIFORMES: Gruidae

Sandhill Crane	Antigone canadensis	Rare/Accidental
Common Crane	Grus grus	Rare/Accidental
 
GRUIFORMES: Rallidae

Virginia Rail	Rallus limicola	Rare/Accidental
Water Rail	Rallus aquaticus	Rare/Accidental
Corn Crake	Crex crex	Rare/Accidental
Sora	Porzana carolina	Rare/Accidental
Spotted Crake	Porzana porzana	Rare/Accidental
Common Gallinule	Gallinula galeata	Rare/Accidental
Eurasian Coot	Fulica atra	Rare/Accidental
American Coot	Fulica americana	Rare/Accidental
Purple Gallinule	Porphyrio martinica	Rare/Accidental
 
CHARADRIIFORMES: Recurvirostridae

American Avocet	Recurvirostra americana	Rare/Accidental
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Rare/Accidental Near-threatened
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Vulnerable
European Golden Plover	Pluvialis apricaria	
American Golden Plover	Pluvialis dominica	Rare/Accidental
Pacific Golden Plover	Pluvialis fulva	Rare/Accidental
Killdeer	Charadrius vociferus	Rare/Accidental Near-threatened
Common Ringed Plover	Charadrius hiaticula	
Semipalmated Plover	Charadrius semipalmatus	Rare/Accidental
Northern Lapwing	Vanellus vanellus	Rare/Accidental Near-threatened
Oriental Plover	Anarhynchus veredus	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

Upland Sandpiper	Bartramia longicauda	Rare/Accidental
Eskimo Curlew	Numenius borealis	Rare/Accidental Critically endangered (possibly extinct)
Hudsonian Whimbrel	Numenius hudsonicus	Rare/Accidental
Eurasian Whimbrel	Numenius phaeopus	
Eurasian Curlew	Numenius arquata	Rare/Accidental Near-threatened
Black-tailed Godwit	Limosa limosa	Rare/Accidental Near-threatened
Long-billed Dowitcher	Limnodromus scolopaceus	Rare/Accidental Near-threatened
Eurasian Woodcock	Scolopax rusticola	Rare/Accidental
Wilson's Snipe	Gallinago delicata	Rare/Accidental
Common Snipe	Gallinago gallinago	Rare/Accidental
Spotted Sandpiper	Actitis macularius	Rare/Accidental
Red Phalarope	Phalaropus fulicarius	
Red-necked Phalarope	Phalaropus lobatus	
Solitary Sandpiper	Tringa solitaria	Rare/Accidental
Wood Sandpiper	Tringa glareola	Rare/Accidental
Common Redshank	Tringa totanus	Rare/Accidental
Lesser Yellowlegs	Tringa flavipes	Rare/Accidental Vulnerable
Common Greenshank	Tringa nebularia	Rare/Accidental
Greater Yellowlegs	Tringa melanoleuca	Rare/Accidental Near-threatened
Ruddy Turnstone	Arenaria interpres	Near-threatened
Red Knot	Calidris canutus	Near-threatened
Ruff	Calidris pugnax	Rare/Accidental
