
 
ANSERIFORMES: Anatidae

Bar-headed Goose	Anser indicus	Rare/Accidental
Snow Goose	Anser caerulescens	Rare/Accidental
Ross's Goose	Anser rossii	Uncertain origin
Graylag Goose	Anser anser	
Greater White-fronted Goose	Anser albifrons	
Taiga Bean-Goose	Anser fabalis	Rare/Accidental
Tundra Bean-Goose	Anser serrirostris	Rare/Accidental
Pink-footed Goose	Anser brachyrhynchus	
Brant	Branta bernicla	
Barnacle Goose	Branta leucopsis	
Cackling Goose	Branta hutchinsii	Rare/Accidental
Canada Goose	Branta canadensis	Introduced species
Mute Swan	Cygnus olor	Introduced species
Tundra Swan	Cygnus columbianus	Rare/Accidental
Whooper Swan	Cygnus cygnus	
Common Shelduck	Tadorna tadorna	Rare/Accidental
Wood Duck	Aix sponsa	Rare/Accidental
Mandarin Duck	Aix galericulata	Rare/Accidental
Garganey	Spatula querquedula	Rare/Accidental
Blue-winged Teal	Spatula discors	Rare/Accidental
Northern Shoveler	Spatula clypeata	Rare/Accidental
Gadwall	Mareca strepera	Rare/Accidental
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	Rare/Accidental
Mallard	Anas platyrhynchos	
American Black Duck	Anas rubripes	Rare/Accidental
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
Common Pochard	Aythya ferina	Rare/Accidental Vulnerable
Ring-necked Duck	Aythya collaris	Rare/Accidental
Ferruginous Duck	Aythya nyroca	Rare/Accidental Near-threatened
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	Rare/Accidental
Lesser Scaup	Aythya affinis	Rare/Accidental
Steller's Eider	Polysticta stelleri	Rare/Accidental Vulnerable
King Eider	Somateria spectabilis	Rare/Accidental
Common Eider	Somateria mollissima	Near-threatened
Harlequin Duck	Histrionicus histrionicus	Rare/Accidental
Surf Scoter	Melanitta perspicillata	Rare/Accidental
Velvet Scoter	Melanitta fusca	Rare/Accidental Vulnerable
White-winged Scoter	Melanitta deglandi	Rare/Accidental
Common Scoter	Melanitta nigra	
Long-tailed Duck	Clangula hyemalis	Vulnerable
Bufflehead	Bucephala albeola	Rare/Accidental
Common Goldeneye	Bucephala clangula	
Barrow's Goldeneye	Bucephala islandica	Rare/Accidental
Smew	Mergellus albellus	Rare/Accidental
Hooded Merganser	Lophodytes cucullatus	Rare/Accidental
Common Merganser	Mergus merganser	Rare/Accidental
Red-breasted Merganser	Mergus serrator	
 
GALLIFORMES: Phasianidae

Willow Ptarmigan	Lagopus lagopus	Introduced species
Rock Ptarmigan	Lagopus muta	Introduced species
Black Grouse	Lyrurus tetrix	
Common Quail	Coturnix coturnix	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Pigeon	Columba livia	
Stock Dove	Columba oenas	Rare/Accidental
Common Wood-Pigeon	Columba palumbus	
European Turtle-Dove	Streptopelia turtur	Vulnerable
Oriental Turtle-Dove	Streptopelia orientalis	Rare/Accidental
Eurasian Collared-Dove	Streptopelia decaocto	Rare/Accidental
Mourning Dove	Zenaida macroura	Rare/Accidental
 
PTEROCLIFORMES: Pteroclidae

Pallas's Sandgrouse	Syrrhaptes paradoxus	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Common Cuckoo	Cuculus canorus	Rare/Accidental
 
CAPRIMULGIFORMES: Caprimulgidae

Common Nighthawk	Chordeiles minor	Rare/Accidental
Eurasian Nightjar	Caprimulgus europaeus	Rare/Accidental
 
APODIFORMES: Apodidae

White-throated Needletail	Hirundapus caudacutus	Rare/Accidental
Alpine Swift	Tachymarptis melba	Rare/Accidental
Common Swift	Apus apus	
 
GRUIFORMES: Rallidae

Water Rail	Rallus aquaticus	
Corn Crake	Crex crex	Rare/Accidental
Spotted Crake	Porzana porzana	Rare/Accidental
Eurasian Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
American Coot	Fulica americana	Rare/Accidental
Baillon's Crake	Zapornia pusilla	Rare/Accidental
 
GRUIFORMES: Gruidae

Sandhill Crane	Antigone canadensis	Rare/Accidental
Common Crane	Grus grus	Rare/Accidental
 
CHARADRIIFORMES: Burhinidae

Eurasian Thick-knee	Burhinus oedicnemus	Rare/Accidental
 
CHARADRIIFORMES: Recurvirostridae

Pied Avocet	Recurvirostra avosetta	Rare/Accidental
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Near-threatened
 
CHARADRIIFORMES: Charadriidae

Black-bellied Plover	Pluvialis squatarola	Rare/Accidental Vulnerable
European Golden-Plover	Pluvialis apricaria	
Eurasian Dotterel	Eudromias morinellus	Rare/Accidental
Killdeer	Charadrius vociferus	Rare/Accidental Near-threatened
Common Ringed Plover	Charadrius hiaticula	
Semipalmated Plover	Charadrius semipalmatus	Rare/Accidental
Little Ringed Plover	Thinornis dubius	Rare/Accidental
Northern Lapwing	Vanellus vanellus	Near-threatened
 
CHARADRIIFORMES: Scolopacidae

Hudsonian Whimbrel	Numenius hudsonicus	Rare/Accidental
Eurasian Whimbrel	Numenius phaeopus	
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Black-tailed Godwit	Limosa limosa	Near-threatened
Long-billed Dowitcher	Limnodromus scolopaceus	Rare/Accidental Near-threatened
Jack Snipe	Lymnocryptes minimus	
Eurasian Woodcock	Scolopax rusticola	
Common Snipe	Gallinago gallinago	
Wilson's Snipe	Gallinago delicata	Rare/Accidental
Red Phalarope	Phalaropus fulicarius	
Red-necked Phalarope	Phalaropus lobatus	
Common Sandpiper	Actitis hypoleucos	Rare/Accidental
Green Sandpiper	Tringa ochropus	Rare/Accidental
Wood Sandpiper	Tringa glareola	Rare/Accidental
Common Redshank	Tringa totanus	
Spotted Redshank	Tringa erythropus	Rare/Accidental
Common Greenshank	Tringa nebularia	Rare/Accidental
Greater Yellowlegs	Tringa melanoleuca	Rare/Accidental Near-threatened
Ruddy Turnstone	Arenaria interpres	Near-threatened
Red Knot	Calidris canutus	Near-threatened
Ruff	Calidris pugnax	
Broad-billed Sandpiper	Calidris falcinellus	Rare/Accidental Vulnerable
Curlew Sandpiper	Calidris ferruginea	Rare/Accidental Vulnerable
Temminck's Stint	Calidris temminckii	Rare/Accidental
Buff-breasted Sandpiper	Calidris subruficollis	Rare/Accidental Vulnerable
Sanderling	Calidris alba	
Dunlin	Calidris alpina	Near-threatened
Purple Sandpiper	Calidris maritima	
Baird's Sandpiper	Calidris bairdii	Rare/Accidental
Little Stint	Calidris minuta	Rare/Accidental
White-rumped Sandpiper	Calidris fuscicollis	Rare/Accidental Vulnerable
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
Semipalmated Sandpiper	Calidris pusilla	Rare/Accidental Near-threatened
 
CHARADRIIFORMES: Stercorariidae

Long-tailed Jaeger	Stercorarius longicaudus	
Parasitic Jaeger	Stercorarius parasiticus	
Pomarine Jaeger	Stercorarius pomarinus	
Great Skua	Stercorarius skua	
South Polar Skua	Stercorarius maccormicki	Rare/Accidental
 
CHARADRIIFORMES: Alcidae

Tufted Puffin	Fratercula cirrhata	Rare/Accidental
Atlantic Puffin	Fratercula arctica	Vulnerable
Black Guillemot	Cepphus grylle	
Razorbill	Alca torda	
Great Auk	Pinguinus impennis	Rare/Accidental Extinct
Dovekie	Alle alle	
Thick-billed Murre	Uria lomvia	
Common Murre	Uria aalge	
 
CHARADRIIFORMES: Laridae

Little Gull	Hydrocoloeus minutus	Rare/Accidental
Ross's Gull	Rhodostethia rosea	Rare/Accidental
Black-legged Kittiwake	Rissa tridactyla	Vulnerable
Ivory Gull	Pagophila eburnea	Rare/Accidental Near-threatened
Sabine's Gull	Xema sabini	Rare/Accidental
Bonaparte's Gull	Chroicocephalus philadelphia	Rare/Accidental
Black-headed Gull	Chroicocephalus ridibundus	
Franklin's Gull	Leucophaeus pipixcan	Rare/Accidental
Mediterranean Gull	Ichthyaetus melanocephalus	Rare/Accidental
Common Gull	Larus canus	
Short-billed Gull	Larus brachyrhynchus	Rare/Accidental
Ring-billed Gull	Larus delawarensis	Rare/Accidental
Caspian Gull	Larus cachinnans	Rare/Accidental
European Herring Gull	Larus argentatus	
Great Black-backed Gull	Larus marinus	
Glaucous Gull	Larus hyperboreus	
Lesser Black-backed Gull	Larus fuscus	
Iceland Gull	Larus glaucoides	
Little Tern	Sternula albifrons	Rare/Accidental
Caspian Tern	Hydroprogne caspia	Rare/Accidental
Black Tern	Chlidonias niger	Rare/Accidental
White-winged Tern	Chlidonias leucopterus	Rare/Accidental
Arctic Tern	Sterna paradisaea	
Common Tern	Sterna hirundo	Rare/Accidental
Sandwich Tern	Thalasseus sandvicensis	Rare/Accidental
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	Rare/Accidental
Pied-billed Grebe	Podilymbus podiceps	Rare/Accidental
Horned Grebe	Podiceps auritus	Vulnerable
Red-necked Grebe	Podiceps grisegena	Rare/Accidental
Great Crested Grebe	Podiceps cristatus	Rare/Accidental
 
GAVIIFORMES: Gaviidae

Red-throated Loon	Gavia stellata	
Arctic Loon	Gavia arctica	Rare/Accidental
Pacific Loon	Gavia pacifica	Rare/Accidental
Common Loon	Gavia immer	
Yellow-billed Loon	Gavia adamsii	Rare/Accidental Near-threatened
 
PROCELLARIIFORMES: Diomedeidae

Atlantic Yellow-nosed Albatross	Thalassarche chlororhynchos	Rare/Accidental Endangered
Black-browed Albatross	Thalassarche melanophris	Rare/Accidental
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm-Petrel	Oceanites oceanicus	Rare/Accidental
 
PROCELLARIIFORMES: Hydrobatidae

European Storm-Petrel	Hydrobates pelagicus	
Leach's Storm-Petrel	Hydrobates leucorhous	Vulnerable
 
PROCELLARIIFORMES: Procellariidae

Northern Fulmar	Fulmarus glacialis	
Cape Verde Petrel	Pterodroma feae	Rare/Accidental Near-threatened
Desertas Petrel	Pterodroma deserta	Rare/Accidental Vulnerable
Cory's Shearwater	Calonectris borealis	Rare/Accidental
Scopoli's Shearwater	Calonectris diomedea	Rare/Accidental
Great Shearwater	Ardenna gravis	
Sooty Shearwater	Ardenna grisea	Near-threatened
Manx Shearwater	Puffinus puffinus	
 
SULIFORMES: Sulidae

Northern Gannet	Morus bassanus	
Brown Booby	Sula leucogaster	Rare/Accidental
 
SULIFORMES: Phalacrocoracidae

Great Cormorant	Phalacrocorax carbo	
European Shag	Gulosus aristotelis	
 
PELECANIFORMES: Threskiornithidae

Glossy Ibis	Plegadis falcinellus	Rare/Accidental
Eurasian Spoonbill	Platalea leucorodia	Rare/Accidental
 
PELECANIFORMES: Ardeidae

Eurasian Bittern	Botaurus stellaris	Rare/Accidental
American Bittern	Botaurus lentiginosus	Rare/Accidental
Little Bittern	Botaurus minutus	Rare/Accidental
Black-crowned Night Heron	Nycticorax nycticorax	Rare/Accidental
Little Egret	Egretta garzetta	Rare/Accidental
Western Cattle-Egret	Ardea ibis	Rare/Accidental
Great Egret	Ardea alba	Rare/Accidental
Gray Heron	Ardea cinerea	
Purple Heron	Ardea purpurea	Rare/Accidental
 
ACCIPITRIFORMES: Pandionidae

Osprey	Pandion haliaetus	Rare/Accidental
 
ACCIPITRIFORMES: Accipitridae

European Honey-buzzard	Pernis apivorus	Rare/Accidental
Eurasian Sparrowhawk	Accipiter nisus	Rare/Accidental
Eurasian Goshawk	Astur gentilis	Rare/Accidental
Western Marsh Harrier	Circus aeruginosus	Rare/Accidental
Hen Harrier	Circus cyaneus	Rare/Accidental
Northern Harrier	Circus hudsonius	Rare/Accidental
Red Kite	Milvus milvus	Rare/Accidental
Black Kite	Milvus migrans	Rare/Accidental
White-tailed Eagle	Haliaeetus albicilla	Rare/Accidental
Rough-legged Hawk	Buteo lagopus	Rare/Accidental
Common Buzzard	Buteo buteo	Rare/Accidental
 
STRIGIFORMES: Strigidae

Eurasian Scops-Owl	Otus scops	Rare/Accidental
Snowy Owl	Bubo scandiacus	Rare/Accidental Vulnerable
Northern Hawk Owl	Surnia ulula	Rare/Accidental
Long-eared Owl	Asio otus	Rare/Accidental
Short-eared Owl	Asio flammeus	
 
BUCEROTIFORMES: Upupidae

Common Hoopoe	Upupa epops	Rare/Accidental
 
CORACIIFORMES: Meropidae

Blue-cheeked Bee-eater	Merops persicus	Rare/Accidental
European Bee-eater	Merops apiaster	Rare/Accidental
 
CORACIIFORMES: Coraciidae

European Roller	Coracias garrulus	Rare/Accidental
 
PICIFORMES: Picidae

Eurasian Wryneck	Jynx torquilla	
Great Spotted Woodpecker	Dendrocopos major	
 
FALCONIFORMES: Falconidae

Lesser Kestrel	Falco naumanni	Rare/Accidental
Eurasian Kestrel	Falco tinnunculus	
Amur Falcon	Falco amurensis	Rare/Accidental
Merlin	Falco columbarius	
Eurasian Hobby	Falco subbuteo	Rare/Accidental
Gyrfalcon	Falco rusticolus	
