
 
ANSERIFORMES: Anatidae

Brant Goose	Branta bernicla	
Red-breasted Goose	Branta ruficollis	Vulnerable
Canada Goose	Branta canadensis	Introduced species
Barnacle Goose	Branta leucopsis	
Snow Goose	Anser caerulescens	Rare/Accidental
Greylag Goose	Anser anser	
Taiga Bean Goose	Anser fabalis	
Pink-footed Goose	Anser brachyrhynchus	
Tundra Bean Goose	Anser serrirostris	
Greater White-fronted Goose	Anser albifrons	
Lesser White-fronted Goose	Anser erythropus	Vulnerable
Mute Swan	Cygnus olor	
Tundra Swan	Cygnus columbianus	
Whooper Swan	Cygnus cygnus	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	Rare/Accidental
Wood Duck	Aix sponsa	Introduced species
Mandarin Duck	Aix galericulata	Introduced species
Garganey	Spatula querquedula	
Blue-winged Teal	Spatula discors	Rare/Accidental
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	Rare/Accidental
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Green-winged Teal	Anas carolinensis	Rare/Accidental
Red-crested Pochard	Netta rufina	Rare/Accidental
Common Pochard	Aythya ferina	Vulnerable
Ferruginous Duck	Aythya nyroca	Rare/Accidental Near-threatened
Ring-necked Duck	Aythya collaris	Rare/Accidental
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Steller's Eider	Polysticta stelleri	Vulnerable
King Eider	Somateria spectabilis	
Common Eider	Somateria mollissima	Near-threatened
Surf Scoter	Melanitta perspicillata	Rare/Accidental
Velvet Scoter	Melanitta fusca	Vulnerable
Stejneger's Scoter	Melanitta stejnegeri	Rare/Accidental
Common Scoter	Melanitta nigra	
Black Scoter	Melanitta americana	Rare/Accidental Near-threatened
Long-tailed Duck	Clangula hyemalis	Vulnerable
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Common Merganser	Mergus merganser	
Red-breasted Merganser	Mergus serrator	
 
GALLIFORMES: Phasianidae

Hazel Grouse	Tetrastes bonasia	
Willow Ptarmigan	Lagopus lagopus	
Western Capercaillie	Tetrao urogallus	
Black Grouse	Lyrurus tetrix	
Grey Partridge	Perdix perdix	
Common Quail	Coturnix coturnix	
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	
 
APODIFORMES: Apodidae

Alpine Swift	Tachymarptis melba	Rare/Accidental
Common Swift	Apus apus	
Pallid Swift	Apus pallidus	Rare/Accidental
 
OTIDIFORMES: Otididae

Great Bustard	Otis tarda	Rare/Accidental Vulnerable
Little Bustard	Tetrax tetrax	Rare/Accidental Near-threatened
 
CUCULIFORMES: Cuculidae

Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Pallas's Sandgrouse	Syrrhaptes paradoxus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Stock Dove	Columba oenas	
Common Wood Pigeon	Columba palumbus	
European Turtle Dove	Streptopelia turtur	Vulnerable
Oriental Turtle Dove	Streptopelia orientalis	Rare/Accidental
Eurasian Collared Dove	Streptopelia decaocto	
 
GRUIFORMES: Rallidae

Water Rail	Rallus aquaticus	
Corn Crake	Crex crex	
Spotted Crake	Porzana porzana	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Baillon's Crake	Zapornia pusilla	Rare/Accidental
Little Crake	Zapornia parva	
 
GRUIFORMES: Gruidae

Sandhill Crane	Antigone canadensis	Rare/Accidental
Demoiselle Crane	Grus virgo	Rare/Accidental
Common Crane	Grus grus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Red-necked Grebe	Podiceps grisegena	
Great Crested Grebe	Podiceps cristatus	
Horned Grebe	Podiceps auritus	Vulnerable
Black-necked Grebe	Podiceps nigricollis	Rare/Accidental
 
CHARADRIIFORMES: Burhinidae

Eurasian Stone-curlew	Burhinus oedicnemus	Rare/Accidental
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Near-threatened
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	Rare/Accidental
Pied Avocet	Recurvirostra avosetta	
 
CHARADRIIFORMES: Charadriidae

Northern Lapwing	Vanellus vanellus	Near-threatened
Sociable Lapwing	Vanellus gregarius	Rare/Accidental Critically endangered
White-tailed Lapwing	Vanellus leucurus	Rare/Accidental
European Golden Plover	Pluvialis apricaria	
Pacific Golden Plover	Pluvialis fulva	Rare/Accidental
American Golden Plover	Pluvialis dominica	Rare/Accidental
Grey Plover	Pluvialis squatarola	
Common Ringed Plover	Charadrius hiaticula	
Little Ringed Plover	Charadrius dubius	
Kentish Plover	Charadrius alexandrinus	Rare/Accidental
Greater Sand Plover	Charadrius leschenaultii	Rare/Accidental
Eurasian Dotterel	Charadrius morinellus	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
