
 
ANSERIFORMES: Anatidae

Brant Goose	Branta bernicla	
Red-breasted Goose	Branta ruficollis	Rare/Accidental Vulnerable
Canada Goose	Branta canadensis	Rare/Accidental
Barnacle Goose	Branta leucopsis	
Bar-headed Goose	Anser indicus	Rare/Accidental
Greylag Goose	Anser anser	
Taiga Bean Goose	Anser fabalis	Rare/Accidental
Pink-footed Goose	Anser brachyrhynchus	Rare/Accidental
Tundra Bean Goose	Anser serrirostris	
Greater White-fronted Goose	Anser albifrons	
Lesser White-fronted Goose	Anser erythropus	Rare/Accidental Vulnerable
Black Swan	Cygnus atratus	Introduced species
Mute Swan	Cygnus olor	
Tundra Swan	Cygnus columbianus	
Whooper Swan	Cygnus cygnus	
Egyptian Goose	Alopochen aegyptiaca	Introduced species
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	Rare/Accidental
Wood Duck	Aix sponsa	Introduced species
Mandarin Duck	Aix galericulata	Introduced species
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	Rare/Accidental
American Wigeon	Mareca americana	Rare/Accidental
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	Rare/Accidental
Eurasian Teal	Anas crecca	
Red-crested Pochard	Netta rufina	Rare/Accidental
Common Pochard	Aythya ferina	Vulnerable
Ferruginous Duck	Aythya nyroca	Rare/Accidental Near-threatened
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Steller's Eider	Polysticta stelleri	Vulnerable
King Eider	Somateria spectabilis	Rare/Accidental
Common Eider	Somateria mollissima	Near-threatened
Harlequin Duck	Histrionicus histrionicus	Rare/Accidental
Velvet Scoter	Melanitta fusca	Vulnerable
Common Scoter	Melanitta nigra	
Long-tailed Duck	Clangula hyemalis	Vulnerable
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Common Merganser	Mergus merganser	
Red-breasted Merganser	Mergus serrator	Rare/Accidental
White-headed Duck	Oxyura leucocephala	Rare/Accidental Endangered
 
GALLIFORMES: Phasianidae

Hazel Grouse	Tetrastes bonasia	
Willow Ptarmigan	Lagopus lagopus	Rare/Accidental
Western Capercaillie	Tetrao urogallus	
Black Grouse	Lyrurus tetrix	
Grey Partridge	Perdix perdix	
Common Pheasant	Phasianus colchicus	Introduced species
Common Quail	Coturnix coturnix	
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	
 
APODIFORMES: Apodidae

Alpine Swift	Tachymarptis melba	Rare/Accidental
Common Swift	Apus apus	
Pallid Swift	Apus pallidus	Rare/Accidental
 
OTIDIFORMES: Otididae

Great Bustard	Otis tarda	Rare/Accidental Vulnerable
Macqueen's Bustard	Chlamydotis macqueenii	Rare/Accidental Vulnerable
Little Bustard	Tetrax tetrax	Rare/Accidental Near-threatened
 
CUCULIFORMES: Cuculidae

Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Pallas's Sandgrouse	Syrrhaptes paradoxus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Stock Dove	Columba oenas	
Common Wood Pigeon	Columba palumbus	
European Turtle Dove	Streptopelia turtur	Vulnerable
Oriental Turtle Dove	Streptopelia orientalis	Rare/Accidental
Eurasian Collared Dove	Streptopelia decaocto	
Namaqua Dove	Oena capensis	Rare/Accidental
 
GRUIFORMES: Rallidae

Water Rail	Rallus aquaticus	
Corn Crake	Crex crex	
Spotted Crake	Porzana porzana	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Baillon's Crake	Zapornia pusilla	Rare/Accidental
Little Crake	Zapornia parva	
 
GRUIFORMES: Gruidae

Common Crane	Grus grus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Red-necked Grebe	Podiceps grisegena	
Great Crested Grebe	Podiceps cristatus	
Horned Grebe	Podiceps auritus	Rare/Accidental Vulnerable
Black-necked Grebe	Podiceps nigricollis	Rare/Accidental
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	Rare/Accidental
 
CHARADRIIFORMES: Burhinidae

Eurasian Stone-curlew	Burhinus oedicnemus	Rare/Accidental
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Rare/Accidental Near-threatened
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	Rare/Accidental
Pied Avocet	Recurvirostra avosetta	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Northern Lapwing	Vanellus vanellus	Near-threatened
White-tailed Lapwing	Vanellus leucurus	Rare/Accidental
European Golden Plover	Pluvialis apricaria	
Pacific Golden Plover	Pluvialis fulva	Rare/Accidental
American Golden Plover	Pluvialis dominica	Rare/Accidental
Grey Plover	Pluvialis squatarola	
Common Ringed Plover	Charadrius hiaticula	Rare/Accidental
Little Ringed Plover	Charadrius dubius	
Kentish Plover	Charadrius alexandrinus	Rare/Accidental
Eurasian Dotterel	Charadrius morinellus	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Black-tailed Godwit	Limosa limosa	Near-threatened
Ruddy Turnstone	Arenaria interpres	
Red Knot	Calidris canutus	Near-threatened
Ruff	Calidris pugnax	
Broad-billed Sandpiper	Calidris falcinellus	
Curlew Sandpiper	Calidris ferruginea	Near-threatened
Temminck's Stint	Calidris temminckii	
Sanderling	Calidris alba	
Dunlin	Calidris alpina	Rare/Accidental
Purple Sandpiper	Calidris maritima	Rare/Accidental
Little Stint	Calidris minuta	
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
Long-billed Dowitcher	Limnodromus scolopaceus	Rare/Accidental
Eurasian Woodcock	Scolopax rusticola	
Jack Snipe	Lymnocryptes minimus	Rare/Accidental
Great Snipe	Gallinago media	Near-threatened
Common Snipe	Gallinago gallinago	
