
 
ANSERIFORMES: Anatidae

Mandarin Duck	Aix galericulata	Uncertain origin
Northern Shoveler	Spatula clypeata	
Mallard	Anas platyrhynchos	
Green-winged Teal	Anas crecca	
 
GALLIFORMES: Phasianidae

Rock Ptarmigan	Lagopus muta	
Western Capercaillie	Tetrao urogallus	
Grey Partridge	Perdix perdix	
Common Pheasant	Phasianus colchicus	Introduced species
Common Quail	Coturnix coturnix	
Red-legged Partridge	Alectoris rufa	Near-threatened
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Black-necked Grebe	Podiceps nigricollis	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Common Cuckoo	Cuculus canorus	
 
COLUMBIFORMES: Columbidae

European Turtle Dove	Streptopelia turtur	Rare/Accidental Vulnerable
Eurasian Collared Dove	Streptopelia decaocto	Rare/Accidental
Common Wood Pigeon	Columba palumbus	
Rock Dove	Columba livia	
Stock Dove	Columba oenas	Rare/Accidental
 
GRUIFORMES: Gruidae

Common Crane	Grus grus	
 
GRUIFORMES: Rallidae

Eurasian Coot	Fulica atra	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Eurasian Dotterel	Eudromias morinellus	
Northern Lapwing	Vanellus vanellus	Near-threatened
 
CHARADRIIFORMES: Scolopacidae

Eurasian Woodcock	Scolopax rusticola	
Common Sandpiper	Actitis hypoleucos	
Green Sandpiper	Tringa ochropus	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Yellow-legged Gull	Larus michahellis	
 
CICONIIFORMES: Ciconiidae

Black Stork	Ciconia nigra	
White Stork	Ciconia ciconia	
 
SULIFORMES: Phalacrocoracidae

Great Cormorant	Phalacrocorax carbo	
 
PELECANIFORMES: Ardeidae

Little Egret	Egretta garzetta	
Grey Heron	Ardea cinerea	
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	
 
APODIFORMES: Apodidae

Alpine Swift	Tachymarptis melba	
Common Swift	Apus apus	
Pallid Swift	Apus pallidus	
 
STRIGIFORMES: Tytonidae

Western Barn Owl	Tyto alba	
 
STRIGIFORMES: Strigidae

Boreal Owl	Aegolius funereus	
Little Owl	Athene noctua	Rare/Accidental
Eurasian Scops Owl	Otus scops	Rare/Accidental
Short-eared Owl	Asio flammeus	
Long-eared Owl	Asio otus	
Eurasian Eagle-Owl	Bubo bubo	
Tawny Owl	Strix aluco	
 
