
 
ANSERIFORMES: Anatidae

Fulvous Whistling Duck	Dendrocygna bicolor	Rare/Accidental
Brant Goose	Branta bernicla	Rare/Accidental
Canada Goose	Branta canadensis	
Barnacle Goose	Branta leucopsis	Rare/Accidental
Cackling Goose	Branta hutchinsii	Rare/Accidental
Snow Goose	Anser caerulescens	Rare/Accidental
Greylag Goose	Anser anser	
Taiga Bean Goose	Anser fabalis	Rare/Accidental
Pink-footed Goose	Anser brachyrhynchus	Rare/Accidental
Tundra Bean Goose	Anser serrirostris	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	
Mute Swan	Cygnus olor	
Tundra Swan	Cygnus columbianus	
Whooper Swan	Cygnus cygnus	
Egyptian Goose	Alopochen aegyptiaca	Introduced species
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	Introduced species
Muscovy Duck	Cairina moschata	
Wood Duck	Aix sponsa	Rare/Accidental
Garganey	Spatula querquedula	
Blue-winged Teal	Spatula discors	Rare/Accidental
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	
Mallard	Anas platyrhynchos	
American Black Duck	Anas rubripes	Rare/Accidental
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Green-winged Teal	Anas carolinensis	Rare/Accidental
Marbled Duck	Marmaronetta angustirostris	Rare/Accidental Vulnerable
Red-crested Pochard	Netta rufina	
Redhead	Aythya americana	Rare/Accidental
Common Pochard	Aythya ferina	Vulnerable
Ferruginous Duck	Aythya nyroca	Near-threatened
Ring-necked Duck	Aythya collaris	Rare/Accidental
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Lesser Scaup	Aythya affinis	Rare/Accidental
King Eider	Somateria spectabilis	Rare/Accidental
Common Eider	Somateria mollissima	Rare/Accidental Near-threatened
Surf Scoter	Melanitta perspicillata	Rare/Accidental
Velvet Scoter	Melanitta fusca	Vulnerable
White-winged Scoter	Melanitta deglandi	Rare/Accidental
Common Scoter	Melanitta nigra	
