
 
ANSERIFORMES: Anatidae

Brant Goose	Branta bernicla	Rare/Accidental
Canada Goose	Branta canadensis	Introduced species
Barnacle Goose	Branta leucopsis	Rare/Accidental
Bar-headed Goose	Anser indicus	Rare/Accidental
Greylag Goose	Anser anser	Rare/Accidental
Taiga Bean Goose	Anser fabalis	Rare/Accidental
Pink-footed Goose	Anser brachyrhynchus	Rare/Accidental
Tundra Bean Goose	Anser serrirostris	
Greater White-fronted Goose	Anser albifrons	
Mute Swan	Cygnus olor	Introduced species
Tundra Swan	Cygnus columbianus	Rare/Accidental
Whooper Swan	Cygnus cygnus	Rare/Accidental
Egyptian Goose	Alopochen aegyptiaca	Introduced species
Common Shelduck	Tadorna tadorna	
Garganey	Spatula querquedula	Rare/Accidental
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Red-crested Pochard	Netta rufina	
Common Pochard	Aythya ferina	Rare/Accidental Vulnerable
Ferruginous Duck	Aythya nyroca	Near-threatened
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Common Eider	Somateria mollissima	Rare/Accidental Near-threatened
Velvet Scoter	Melanitta fusca	Rare/Accidental Vulnerable
Common Scoter	Melanitta nigra	Rare/Accidental
Long-tailed Duck	Clangula hyemalis	Rare/Accidental Vulnerable
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Common Merganser	Mergus merganser	Rare/Accidental
Red-breasted Merganser	Mergus serrator	Rare/Accidental
 
GALLIFORMES: Phasianidae

Hazel Grouse	Tetrastes bonasia	
Black Grouse	Lyrurus tetrix	Extirpated
Grey Partridge	Perdix perdix	
Common Pheasant	Phasianus colchicus	Introduced species
Common Quail	Coturnix coturnix	
Red-legged Partridge	Alectoris rufa	Rare/Accidental Near-threatened
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	
 
APODIFORMES: Apodidae

Common Swift	Apus apus	
 
OTIDIFORMES: Otididae

Great Bustard	Otis tarda	Rare/Accidental Vulnerable
Little Bustard	Tetrax tetrax	Rare/Accidental Near-threatened
 
CUCULIFORMES: Cuculidae

Common Cuckoo	Cuculus canorus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Stock Dove	Columba oenas	
Common Wood Pigeon	Columba palumbus	
European Turtle Dove	Streptopelia turtur	Vulnerable
Eurasian Collared Dove	Streptopelia decaocto	
 
GRUIFORMES: Rallidae

Water Rail	Rallus aquaticus	
Corn Crake	Crex crex	
Spotted Crake	Porzana porzana	
