
 
ANSERIFORMES: Anatidae

Mute Swan	Cygnus olor	
Common Shelduck	Tadorna tadorna	
Common Eider	Somateria mollissima	Near-threatened
Ferruginous Duck	Aythya nyroca	Near-threatened
Common Pochard	Aythya ferina	Vulnerable
Northern Shoveler	Spatula clypeata	
Mallard	Anas platyrhynchos	
Green-winged Teal	Anas crecca	
 
GALLIFORMES: Phasianidae

Rock Ptarmigan	Lagopus muta	
Common Pheasant	Phasianus colchicus	Introduced species
Common Quail	Coturnix coturnix	
Red-legged Partridge	Alectoris rufa	Near-threatened
Rock Partridge	Alectoris graeca	Endemic (country/region) Near-threatened
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Red-necked Grebe	Podiceps grisegena	
Great Crested Grebe	Podiceps cristatus	
 
CUCULIFORMES: Cuculidae

Great Spotted Cuckoo	Clamator glandarius	
Common Cuckoo	Cuculus canorus	
 
COLUMBIFORMES: Columbidae

European Turtle Dove	Streptopelia turtur	Vulnerable
Eurasian Collared Dove	Streptopelia decaocto	
Common Wood Pigeon	Columba palumbus	
Rock Dove	Columba livia	Introduced species
 
GRUIFORMES: Gruidae

Common Crane	Grus grus	
 
GRUIFORMES: Rallidae

Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
 
CHARADRIIFORMES: Charadriidae

Little Ringed Plover	Thinornis dubius	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Curlew	Numenius arquata	Near-threatened
Black-tailed Godwit	Limosa limosa	Near-threatened
Eurasian Woodcock	Scolopax rusticola	
Common Sandpiper	Actitis hypoleucos	
Green Sandpiper	Tringa ochropus	
Wood Sandpiper	Tringa glareola	
Common Redshank	Tringa totanus	
Common Greenshank	Tringa nebularia	
Ruff	Calidris pugnax	
Curlew Sandpiper	Calidris ferruginea	Vulnerable
Temminck's Stint	Calidris temminckii	
 
CHARADRIIFORMES: Alcidae

Atlantic Puffin	Fratercula arctica	Vulnerable
 
CHARADRIIFORMES: Laridae

Little Tern	Sternula albifrons	
Gull-billed Tern	Gelochelidon nilotica	
Whiskered Tern	Chlidonias hybrida	
Sandwich Tern	Thalasseus sandvicensis	
Common Tern	Sterna hirundo	
Little Gull	Hydrocoloeus minutus	
Black-legged Kittiwake	Rissa tridactyla	Vulnerable
Black-headed Gull	Chroicocephalus ridibundus	
Audouin's Gull	Ichthyaetus audouinii	Vulnerable
Mediterranean Gull	Ichthyaetus melanocephalus	
Common Gull	Larus canus	
Caspian Gull	Larus cachinnans	
Yellow-legged Gull	Larus michahellis	
Lesser Black-backed Gull	Larus fuscus	Rare/Accidental
 
GAVIIFORMES: Gaviidae

Black-throated Loon	Gavia arctica	
 
PROCELLARIIFORMES: Hydrobatidae

European Storm Petrel	Hydrobates pelagicus	
 
PROCELLARIIFORMES: Procellariidae

Scopoli's Shearwater	Calonectris diomedea	
Mediterranean Shearwater	Puffinus yelkouan	
 
SULIFORMES: Sulidae

Northern Gannet	Morus bassanus	
 
SULIFORMES: Phalacrocoracidae

European Shag	Gulosus aristotelis	
Great Cormorant	Phalacrocorax carbo	
 
PELECANIFORMES: Ardeidae

Eurasian Bittern	Botaurus stellaris	
Little Bittern	Botaurus minutus	
Little Egret	Egretta garzetta	
Black-crowned Night Heron	Nycticorax nycticorax	Rare/Accidental
Western Cattle Egret	Ardea ibis	Rare/Accidental
Grey Heron	Ardea cinerea	
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	
 
APODIFORMES: Apodidae

Alpine Swift	Tachymarptis melba	
Common Swift	Apus apus	
Pallid Swift	Apus pallidus	
 
STRIGIFORMES: Tytonidae

Western Barn Owl	Tyto alba	
 
STRIGIFORMES: Strigidae

Little Owl	Athene noctua	
Eurasian Scops Owl	Otus scops	Rare/Accidental
Long-eared Owl	Asio otus	
Eurasian Eagle-Owl	Bubo bubo	
Tawny Owl	Strix aluco	
 
ACCIPITRIFORMES: Pandionidae

Osprey	Pandion haliaetus	
 
ACCIPITRIFORMES: Accipitridae

European Honey Buzzard	Pernis apivorus	
Booted Eagle	Hieraaetus pennatus	
Golden Eagle	Aquila chrysaetos	
Eurasian Sparrowhawk	Accipiter nisus	
Hen Harrier	Circus cyaneus	
Montagu's Harrier	Circus pygargus	
Black Kite	Milvus migrans	
Common Buzzard	Buteo buteo	
 
BUCEROTIFORMES: Upupidae

Common Hoopoe	Upupa epops	
 
CORACIIFORMES: Coraciidae

European Roller	Coracias garrulus	
 
CORACIIFORMES: Meropidae

European Bee-eater	Merops apiaster	
 
CORACIIFORMES: Alcedinidae

Common Kingfisher	Alcedo atthis	
 
PICIFORMES: Picidae

Eurasian Wryneck	Jynx torquilla	
European Green Woodpecker	Picus viridis	
Black Woodpecker	Dryocopus martius	
Great Spotted Woodpecker	Dendrocopos major	
Lesser Spotted Woodpecker	Dryobates minor	
 
FALCONIFORMES: Falconidae

Common Kestrel	Falco tinnunculus	
Red-footed Falcon	Falco vespertinus	Vulnerable
Eurasian Hobby	Falco subbuteo	
Peregrine Falcon	Falco peregrinus	
 
PSITTACIFORMES: Psittaculidae

Rose-ringed Parakeet	Psittacula krameri	Rare/Accidental
 
PASSERIFORMES: Laniidae

Great Grey Shrike	Lanius excubitor	
Red-backed Shrike	Lanius collurio	
 
PASSERIFORMES: Corvidae

Red-billed Chough	Pyrrhocorax pyrrhocorax	Rare/Accidental
Eurasian Jay	Garrulus glandarius	
Eurasian Magpie	Pica pica	
Western Jackdaw	Coloeus monedula	
Rook	Corvus frugilegus	
Northern Raven	Corvus corax	
Carrion Crow	Corvus corone	
 
PASSERIFORMES: Paridae

Eurasian Blue Tit	Cyanistes caeruleus	
Great Tit	Parus major	
Coal Tit	Periparus ater	
Crested Tit	Lophophanes cristatus	
Marsh Tit	Poecile palustris	
Willow Tit	Poecile montanus	
 
PASSERIFORMES: Alaudidae

Woodlark	Lullula arborea	
Eurasian Skylark	Alauda arvensis	
 
PASSERIFORMES: Cisticolidae

Zitting Cisticola	Cisticola juncidis	
 
PASSERIFORMES: Acrocephalidae

Melodious Warbler	Hippolais polyglotta	
Common Reed Warbler	Acrocephalus scirpaceus	
Great Reed Warbler	Acrocephalus arundinaceus	
 
PASSERIFORMES: Hirundinidae

Sand Martin	Riparia riparia	
Eurasian Crag Martin	Ptyonoprogne rupestris	
Barn Swallow	Hirundo rustica	
Western House Martin	Delichon urbicum	
 
PASSERIFORMES: Aegithalidae

Long-tailed Tit	Aegithalos caudatus	
 
