ANSERIFORMES: Anatidae

Brant Goose	Branta bernicla	
Red-breasted Goose	Branta ruficollis	
Canada Goose	Branta canadensis	Introduced species
Barnacle Goose	Branta leucopsis	
Cackling Goose	Branta hutchinsii	Introduced species
Bar-headed Goose	Anser indicus	Introduced species
Ross's Goose	Anser rossii	Rare/Accidental
Snow Goose	Anser caerulescens	
Greylag Goose	Anser anser	
Taiga Bean Goose	Anser fabalis	
Pink-footed Goose	Anser brachyrhynchus	
Tundra Bean Goose	Anser serrirostris	
Greater White-fronted Goose	Anser albifrons	
Lesser White-fronted Goose	Anser erythropus	
Black Swan	Cygnus atratus	Introduced species
Mute Swan	Cygnus olor	
Tundra Swan	Cygnus columbianus	Rare/Accidental
Whooper Swan	Cygnus cygnus	
Egyptian Goose	Alopochen aegyptiaca	Introduced species
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Mandarin Duck	Aix galericulata	Introduced species
Baikal Teal	Sibirionetta formosa	Rare/Accidental
Garganey	Spatula querquedula	
Blue-winged Teal	Spatula discors	Rare/Accidental
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Falcated Duck	Mareca falcata	Rare/Accidental
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	Rare/Accidental
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Green-winged Teal	Anas carolinensis	Rare/Accidental
Marbled Duck	Marmaronetta angustirostris	Rare/Accidental
Red-crested Pochard	Netta rufina	
Redhead	Aythya americana	Rare/Accidental
Common Pochard	Aythya ferina	
Ferruginous Duck	Aythya nyroca	
Ring-necked Duck	Aythya collaris	Rare/Accidental
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Lesser Scaup	Aythya affinis	Rare/Accidental
Steller's Eider	Polysticta stelleri	Rare/Accidental
King Eider	Somateria spectabilis	Rare/Accidental
Common Eider	Somateria mollissima	
Harlequin Duck	Histrionicus histrionicus	Rare/Accidental
Surf Scoter	Melanitta perspicillata	Rare/Accidental
Velvet Scoter	Melanitta fusca	
Common Scoter	Melanitta nigra	
Black Scoter	Melanitta americana	Rare/Accidental
Long-tailed Duck	Clangula hyemalis	
Bufflehead	Bucephala albeola	Rare/Accidental
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	
Hooded Merganser	Lophodytes cucullatus	Rare/Accidental
Common Merganser	Mergus merganser	
Red-breasted Merganser	Mergus serrator	
Ruddy Duck	Oxyura jamaicensis	Introduced species
White-headed Duck	Oxyura leucocephala	Rare/Accidental
 
GALLIFORMES: Phasianidae

Black Grouse	Lyrurus tetrix	
Grey Partridge	Perdix perdix	
Common Quail	Coturnix coturnix	
Common Pheasant	Phasianus colchicus	Introduced species
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	
 
APODIFORMES: Apodidae

White-throated Needletail	Hirundapus caudacutus	Rare/Accidental
Chimney Swift	Chaetura pelagica	Rare/Accidental
Alpine Swift	Tachymarptis melba	Rare/Accidental
Common Swift	Apus apus	
Pallid Swift	Apus pallidus	Rare/Accidental
Pacific Swift	Apus pacificus	Rare/Accidental
Little Swift	Apus affinis	Rare/Accidental
 
OTIDIFORMES: Otididae

Great Bustard	Otis tarda	Rare/Accidental
Macqueen's Bustard	Chlamydotis macqueenii	Rare/Accidental
Little Bustard	Tetrax tetrax	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Great Spotted Cuckoo	Clamator glandarius	Rare/Accidental
Yellow-billed Cuckoo	Coccyzus americanus	Rare/Accidental
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Pallas's Sandgrouse	Syrrhaptes paradoxus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Stock Dove	Columba oenas	
Common Wood Pigeon	Columba palumbus	
European Turtle Dove	Streptopelia turtur	
Oriental Turtle Dove	Streptopelia orientalis	Rare/Accidental
Eurasian Collared Dove	Streptopelia decaocto	
 
GRUIFORMES: Rallidae

Water Rail	Rallus aquaticus	
Corn Crake	Crex crex	
Spotted Crake	Porzana porzana	Rare/Accidental
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Baillon's Crake	Zapornia pusilla	
Little Crake	Zapornia parva	
 
GRUIFORMES: Gruidae

Sandhill Crane	Antigone canadensis	Rare/Accidental
Demoiselle Crane	Grus virgo	Rare/Accidental
Common Crane	Grus grus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Pied-billed Grebe	Podilymbus podiceps	Rare/Accidental
Red-necked Grebe	Podiceps grisegena	
Great Crested Grebe	Podiceps cristatus	
Horned Grebe	Podiceps auritus	
Black-necked Grebe	Podiceps nigricollis	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	Rare/Accidental
American Flamingo	Phoenicopterus ruber	Rare/Accidental
Chilean Flamingo	Phoenicopterus chilensis	Introduced species
 
CHARADRIIFORMES: Burhinidae

Eurasian Stone-curlew	Burhinus oedicnemus	
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
Pied Avocet	Recurvirostra avosetta	
 
CHARADRIIFORMES: Charadriidae

Northern Lapwing	Vanellus vanellus	
Grey-headed Lapwing	Vanellus cinereus	Rare/Accidental
Red-wattled Lapwing	Vanellus indicus	Rare/Accidental
Sociable Lapwing	Vanellus gregarius	Rare/Accidental
White-tailed Lapwing	Vanellus leucurus	Rare/Accidental
European Golden Plover	Pluvialis apricaria	
Pacific Golden Plover	Pluvialis fulva	Rare/Accidental
American Golden Plover	Pluvialis dominica	Rare/Accidental
Grey Plover	Pluvialis squatarola	
Common Ringed Plover	Charadrius hiaticula	
Little Ringed Plover	Charadrius dubius	
