
 
TINAMIFORMES: Tinamidae

Highland Tinamou	Nothocercus bonapartei	
Great Tinamou	Tinamus major	
Little Tinamou	Crypturellus soui	
Slaty-breasted Tinamou	Crypturellus boucardi	Vulnerable
Choco Tinamou	Crypturellus kerriae	Near-threatened
Thicket Tinamou	Crypturellus cinnamomeus	
 
ANSERIFORMES: Anhimidae

Northern Screamer	Chauna chavaria	Rare/Accidental
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Black-bellied Whistling Duck	Dendrocygna autumnalis	
Fulvous Whistling Duck	Dendrocygna bicolor	
Masked Duck	Nomonyx dominicus	
Ruddy Duck	Oxyura jamaicensis	
Tundra Swan	Cygnus columbianus	
Trumpeter Swan	Cygnus buccinator	Rare/Accidental
Brant Goose	Branta bernicla	
Canada Goose	Branta canadensis	
Cackling Goose	Branta hutchinsii	
Ross's Goose	Anser rossii	
Snow Goose	Anser caerulescens	
Greylag Goose	Anser anser	
Greater White-fronted Goose	Anser albifrons	
Tundra Bean Goose	Anser serrirostris	Rare/Accidental
Muscovy Duck	Cairina moschata	
Wood Duck	Aix sponsa	
Orinoco Goose	Neochen jubata	Rare/Accidental
Long-tailed Duck	Clangula hyemalis	Rare/Accidental Vulnerable
Harlequin Duck	Histrionicus histrionicus	Rare/Accidental
Black Scoter	Melanitta americana	Near-threatened
Surf Scoter	Melanitta perspicillata	
White-winged Scoter	Melanitta deglandi	
Bufflehead	Bucephala albeola	
Barrow's Goldeneye	Bucephala islandica	
Common Goldeneye	Bucephala clangula	
Smew	Mergellus albellus	Rare/Accidental
Hooded Merganser	Lophodytes cucullatus	
Red-breasted Merganser	Mergus serrator	
Common Merganser	Mergus merganser	
Comb Duck	Sarkidiornis sylvicola	
Common Pochard	Aythya ferina	Rare/Accidental Vulnerable
Canvasback	Aythya valisineria	
Ring-necked Duck	Aythya collaris	
Redhead	Aythya americana	
Lesser Scaup	Aythya affinis	
Greater Scaup	Aythya marila	
Garganey	Spatula querquedula	
Blue-winged Teal	Spatula discors	
Cinnamon Teal	Spatula cyanoptera	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	Rare/Accidental
American Wigeon	Mareca americana	
Mallard	Anas platyrhynchos	
Mexican Duck	Anas diazi	
Mottled Duck	Anas fulvigula	
White-cheeked Pintail	Anas bahamensis	Rare/Accidental
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
 
GALLIFORMES: Cracidae

Highland Guan	Penelopina nigra	Vulnerable
Black Guan	Chamaepetes unicolor	
Baudo Guan	Penelope ortoni	Rare/Accidental Endangered
Crested Guan	Penelope purpurascens	Near-threatened
Horned Guan	Oreophasis derbianus	Endangered
Great Curassow	Crax rubra	Vulnerable
Plain Chachalaca	Ortalis vetula	
Grey-headed Chachalaca	Ortalis cinereiceps	
Rufous-bellied Chachalaca	Ortalis wagleri	
West Mexican Chachalaca	Ortalis poliocephala	
White-bellied Chachalaca	Ortalis leucogastra	
 
GALLIFORMES: Odontophoridae

Tawny-faced Quail	Rhynchortyx cinctus	Near-threatened
Mountain Quail	Oreortyx pictus	
Buffy-crowned Wood Partridge	Dendrortyx leucophrys	
Long-tailed Wood Partridge	Dendrortyx macroura	
Bearded Wood Partridge	Dendrortyx barbatus	Vulnerable
Banded Quail	Philortyx fasciatus	
Northern Bobwhite	Colinus virginianus	Near-threatened
Yucatan Bobwhite	Colinus nigrogularis	
Spot-bellied Bobwhite	Colinus leucopogon	
Crested Bobwhite	Colinus cristatus	
Gambel's Quail	Callipepla gambelii	
California Quail	Callipepla californica	
Scaled Quail	Callipepla squamata	
Elegant Quail	Callipepla douglasii	
Ocellated Quail	Cyrtonyx ocellatus	Vulnerable
Montezuma Quail	Cyrtonyx montezumae	
Singing Quail	Dactylortyx thoracicus	
Marbled Wood Quail	Odontophorus gujanensis	
Black-eared Wood Quail	Odontophorus melanotis	Near-threatened
Tacarcuna Wood Quail	Odontophorus dialeucos	
Black-breasted Wood Quail	Odontophorus leucolaemus	
Spotted Wood Quail	Odontophorus guttatus	
 
GALLIFORMES: Phasianidae

Ocellated Turkey	Meleagris ocellata	Near-threatened
Wild Turkey	Meleagris gallopavo	
Common Pheasant	Phasianus colchicus	Introduced species
Chukar Partridge	Alectoris chukar	Introduced species
 
PHOENICOPTERIFORMES: Phoenicopteridae

American Flamingo	Phoenicopterus ruber	
 
PODICIPEDIFORMES: Podicipedidae

Least Grebe	Tachybaptus dominicus	
Atitlan Grebe	Podilymbus gigas	Extinct
Pied-billed Grebe	Podilymbus podiceps	
Horned Grebe	Podiceps auritus	Vulnerable
Red-necked Grebe	Podiceps grisegena	
Black-necked Grebe	Podiceps nigricollis	
Western Grebe	Aechmophorus occidentalis	
Clark's Grebe	Aechmophorus clarkii	
 
CUCULIFORMES: Cuculidae

Greater Ani	Crotophaga major	
Smooth-billed Ani	Crotophaga ani	
Groove-billed Ani	Crotophaga sulcirostris	
Striped Cuckoo	Tapera naevia	
Pheasant Cuckoo	Dromococcyx phasianellus	
Lesser Ground Cuckoo	Morococcyx erythropygus	
Greater Roadrunner	Geococcyx californianus	
Lesser Roadrunner	Geococcyx velox	
Rufous-vented Ground Cuckoo	Neomorphus geoffroyi	
Little Cuckoo	Coccycua minuta	
Dwarf Cuckoo	Coccycua pumila	
Common Squirrel Cuckoo	Piaya cayana	
Mexican Squirrel Cuckoo	Piaya mexicana	
Dark-billed Cuckoo	Coccyzus melacoryphus	Rare/Accidental
Yellow-billed Cuckoo	Coccyzus americanus	
Pearly-breasted Cuckoo	Coccyzus euleri	Rare/Accidental
Mangrove Cuckoo	Coccyzus minor	
Cocos Cuckoo	Coccyzus ferrugineus	Vulnerable
Black-billed Cuckoo	Coccyzus erythropthalmus	
Grey-capped Cuckoo	Coccyzus lansbergi	
 
COLUMBIFORMES: Columbidae

Blue Ground Dove	Claravis pretiosa	
Maroon-chested Ground Dove	Paraclaravis mondetoura	
Inca Dove	Columbina inca	
Common Ground Dove	Columbina passerina	
Plain-breasted Ground Dove	Columbina minuta	
Ruddy Ground Dove	Columbina talpacoti	
Ruddy Quail-Dove	Geotrygon montana	
Violaceous Quail-Dove	Geotrygon violacea	
Olive-backed Quail-Dove	Leptotrygon veraguensis	
White-tipped Dove	Leptotila verreauxi	
Caribbean Dove	Leptotila jamaicensis	
Grey-chested Dove	Leptotila cassinii	
Grey-headed Dove	Leptotila plumbeiceps	
White-winged Dove	Zenaida asiatica	
Socorro Dove	Zenaida graysoni	Extinct in the wild
Mourning Dove	Zenaida macroura	
Zenaida Dove	Zenaida aurita	
Eared Dove	Zenaida auriculata	
Tuxtla Quail-Dove	Zentrygon carrikeri	Endangered
Buff-fronted Quail-Dove	Zentrygon costaricensis	
Purplish-backed Quail-Dove	Zentrygon lawrencii	
White-faced Quail-Dove	Zentrygon albifacies	
Chiriqui Quail-Dove	Zentrygon chiriquensis	
Russet-crowned Quail-Dove	Zentrygon goldmani	Near-threatened
Passenger Pigeon	Ectopistes migratorius	Extinct
Pale-vented Pigeon	Patagioenas cayennensis	
Scaled Pigeon	Patagioenas speciosa	
White-crowned Pigeon	Patagioenas leucocephala	Near-threatened
Red-billed Pigeon	Patagioenas flavirostris	
Band-tailed Pigeon	Patagioenas fasciata	
Plumbeous Pigeon	Patagioenas plumbea	
Ruddy Pigeon	Patagioenas subvinacea	
Short-billed Pigeon	Patagioenas nigrirostris	
Dusky Pigeon	Patagioenas goodsoni	
Spotted Dove	Spilopelia chinensis	Introduced species
Eurasian Collared Dove	Streptopelia decaocto	Introduced species
African Collared Dove	Streptopelia roseogrisea	Rare/Accidental
Rock Dove	Columba livia	Introduced species
 
GRUIFORMES: Aramidae

Limpkin	Aramus guarauna	
 
GRUIFORMES: Gruidae

Sandhill Crane	Antigone canadensis	
Whooping Crane	Grus americana	Rare/Accidental Endangered
 
GRUIFORMES: Heliornithidae

Sungrebe	Heliornis fulica	
 
GRUIFORMES: Rallidae

Spotted Rail	Pardirallus maculatus	
Colombian Crake	Mustelirallus colombianus	Data deficient
Paint-billed Crake	Mustelirallus erythrops	
Uniform Crake	Amaurolimnas concolor	
Rufous-necked Wood Rail	Aramides axillaris	
Russet-naped Wood Rail	Aramides albiventris	
Grey-cowled Wood Rail	Aramides cajaneus	
Ridgway's Rail	Rallus obsoletus	Near-threatened
Aztec Rail	Rallus tenuirostris	Near-threatened
Mangrove Rail	Rallus longirostris	
King Rail	Rallus elegans	Near-threatened
Clapper Rail	Rallus crepitans	
Virginia Rail	Rallus limicola	
Sora	Porzana carolina	
Common Gallinule	Gallinula galeata	
American Coot	Fulica americana	
Purple Gallinule	Porphyrio martinica	
Ocellated Crake	Rufirallus schomburgkii	
Yellow Rail	Coturnicops noveboracensis	
Yellow-breasted Crake	Laterallus flaviventer	
Ruddy Crake	Laterallus ruber	
White-throated Crake	Laterallus albigularis	
Grey-breasted Crake	Laterallus exilis	
Black Rail	Laterallus jamaicensis	
 
CHARADRIIFORMES: Burhinidae

Double-striped Thick-knee	Hesperoburhinus bistriatus	
 
CHARADRIIFORMES: Recurvirostridae

American Avocet	Recurvirostra americana	
Black-necked Stilt	Himantopus mexicanus	
 
CHARADRIIFORMES: Haematopodidae

Black Oystercatcher	Haematopus bachmani	
American Oystercatcher	Haematopus palliatus	
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Vulnerable
American Golden Plover	Pluvialis dominica	
Pacific Golden Plover	Pluvialis fulva	
Eurasian Dotterel	Eudromias morinellus	
Killdeer	Charadrius vociferus	Near-threatened
Semipalmated Plover	Charadrius semipalmatus	
Piping Plover	Charadrius melodus	Near-threatened
Southern Lapwing	Vanellus chilensis	
Wilson's Plover	Anarhynchus wilsonia	
Collared Plover	Anarhynchus collaris	
Mountain Plover	Anarhynchus montanus	Near-threatened
Snowy Plover	Anarhynchus nivosus	Near-threatened
 
CHARADRIIFORMES: Jacanidae

Northern Jacana	Jacana spinosa	
Wattled Jacana	Jacana jacana	
 
CHARADRIIFORMES: Scolopacidae

Upland Sandpiper	Bartramia longicauda	
Eskimo Curlew	Numenius borealis	Rare/Accidental Critically endangered (possibly extinct)
Hudsonian Whimbrel	Numenius hudsonicus	
Long-billed Curlew	Numenius americanus	
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Marbled Godwit	Limosa fedoa	Vulnerable
Hudsonian Godwit	Limosa haemastica	Vulnerable
Long-billed Dowitcher	Limnodromus scolopaceus	Near-threatened
Short-billed Dowitcher	Limnodromus griseus	Vulnerable
American Woodcock	Scolopax minor	Rare/Accidental
Wilson's Snipe	Gallinago delicata	
Terek Sandpiper	Xenus cinereus	Rare/Accidental
Spotted Sandpiper	Actitis macularius	
Wilson's Phalarope	Phalaropus tricolor	
Red Phalarope	Phalaropus fulicarius	
Red-necked Phalarope	Phalaropus lobatus	
Solitary Sandpiper	Tringa solitaria	
Wandering Tattler	Tringa incana	
Marsh Sandpiper	Tringa stagnatilis	Rare/Accidental
Wood Sandpiper	Tringa glareola	Rare/Accidental
Lesser Yellowlegs	Tringa flavipes	Vulnerable
Willet	Tringa semipalmata	
Greater Yellowlegs	Tringa melanoleuca	Near-threatened
Black Turnstone	Arenaria melanocephala	
Ruddy Turnstone	Arenaria interpres	Near-threatened
Red Knot	Calidris canutus	Near-threatened
Surfbird	Calidris virgata	
Ruff	Calidris pugnax	Rare/Accidental
Sharp-tailed Sandpiper	Calidris acuminata	Rare/Accidental Vulnerable
Curlew Sandpiper	Calidris ferruginea	Rare/Accidental Vulnerable
Stilt Sandpiper	Calidris himantopus	Near-threatened
Buff-breasted Sandpiper	Calidris subruficollis	Vulnerable
Sanderling	Calidris alba	
Dunlin	Calidris alpina	Near-threatened
Purple Sandpiper	Calidris maritima	Rare/Accidental
Rock Sandpiper	Calidris ptilocnemis	
Baird's Sandpiper	Calidris bairdii	
Pectoral Sandpiper	Calidris melanotos	
Semipalmated Sandpiper	Calidris pusilla	Near-threatened
Western Sandpiper	Calidris mauri	
Little Stint	Calidris minuta	Rare/Accidental
Least Sandpiper	Calidris minutilla	Near-threatened
White-rumped Sandpiper	Calidris fuscicollis	Vulnerable
 
CHARADRIIFORMES: Stercorariidae

Parasitic Jaeger	Stercorarius parasiticus	
Long-tailed Jaeger	Stercorarius longicaudus	
Pomarine Jaeger	Stercorarius pomarinus	
Great Skua	Stercorarius skua	
South Polar Skua	Stercorarius maccormicki	
 
CHARADRIIFORMES: Alcidae

Rhinoceros Auklet	Cerorhinca monocerata	
Horned Puffin	Fratercula corniculata	
Cassin's Auklet	Ptychoramphus aleuticus	Near-threatened
Crested Auklet	Aethia cristatella	
Parakeet Auklet	Aethia psittacula	Rare/Accidental
Ancient Murrelet	Synthliboramphus antiquus	
Craveri's Murrelet	Synthliboramphus craveri	Vulnerable
Guadalupe Murrelet	Synthliboramphus hypoleucus	Endangered
Scripps's Murrelet	Synthliboramphus scrippsi	Vulnerable
Marbled Murrelet	Brachyramphus marmoratus	Rare/Accidental Endangered
Pigeon Guillemot	Cepphus columba	
Thick-billed Murre	Uria lomvia	
Common Murre	Uria aalge	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Black Skimmer	Rynchops niger	
Blue-billed White Tern	Gygis candida	
Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
Sooty Tern	Onychoprion fuscatus	
Spectacled Tern	Onychoprion lunatus	
Bridled Tern	Onychoprion anaethetus	
Yellow-billed Tern	Sternula superciliaris	
Least Tern	Sternula antillarum	
Large-billed Tern	Phaetusa simplex	Rare/Accidental
Caspian Tern	Hydroprogne caspia	
Gull-billed Tern	Gelochelidon nilotica	
Inca Tern	Larosterna inca	Near-threatened
Black Tern	Chlidonias niger	
Sandwich Tern	Thalasseus sandvicensis	
Elegant Tern	Thalasseus elegans	Near-threatened
Royal Tern	Thalasseus maximus	
Forster's Tern	Sterna forsteri	
Arctic Tern	Sterna paradisaea	
Common Tern	Sterna hirundo	
Roseate Tern	Sterna dougallii	Rare/Accidental
Swallow-tailed Gull	Creagrus furcatus	
Little Gull	Hydrocoloeus minutus	
Black-legged Kittiwake	Rissa tridactyla	Vulnerable
Sabine's Gull	Xema sabini	
Bonaparte's Gull	Chroicocephalus philadelphia	
Black-headed Gull	Chroicocephalus ridibundus	Rare/Accidental
Grey-headed Gull	Chroicocephalus cirrocephalus	Rare/Accidental
Grey Gull	Leucophaeus modestus	Rare/Accidental
Laughing Gull	Leucophaeus atricilla	
