TINAMIFORMES: Tinamidae

Great Tinamou	Tinamus major	
Little Tinamou	Crypturellus soui	
Thicket Tinamou	Crypturellus cinnamomeus	
Slaty-breasted Tinamou	Crypturellus boucardi	
 
ANSERIFORMES: Anatidae

Black-bellied Whistling Duck	Dendrocygna autumnalis	
Fulvous Whistling Duck	Dendrocygna bicolor	Rare/Accidental
Muscovy Duck	Cairina moschata	
Wood Duck	Aix sponsa	Rare/Accidental
Cinnamon Teal	Spatula cyanoptera	
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	Rare/Accidental
American Wigeon	Mareca americana	
Mallard	Anas platyrhynchos	Rare/Accidental
Northern Pintail	Anas acuta	
Green-winged Teal	Anas carolinensis	
Canvasback	Aythya valisineria	Rare/Accidental
Redhead	Aythya americana	
Ring-necked Duck	Aythya collaris	
Lesser Scaup	Aythya affinis	
Masked Duck	Nomonyx dominicus	Rare/Accidental
Ruddy Duck	Oxyura jamaicensis	
 
GALLIFORMES: Cracidae

Plain Chachalaca	Ortalis vetula	
White-bellied Chachalaca	Ortalis leucogastra	
Crested Guan	Penelope purpurascens	
Highland Guan	Penelopina nigra	
Horned Guan	Oreophasis derbianus	
Great Curassow	Crax rubra	
 
GALLIFORMES: Odontophoridae

Buffy-crowned Wood Partridge	Dendrortyx leucophrys	
Northern Bobwhite	Colinus virginianus	
Yucatan Bobwhite	Colinus nigrogularis	
Spot-bellied Bobwhite	Colinus leucopogon	
Spotted Wood Quail	Odontophorus guttatus	
Singing Quail	Dactylortyx thoracicus	
Ocellated Quail	Cyrtonyx ocellatus	
 
GALLIFORMES: Phasianidae

Ocellated Turkey	Meleagris ocellata	
 
CAPRIMULGIFORMES: Nyctibiidae

Great Potoo	Nyctibius grandis	
Northern Potoo	Nyctibius jamaicensis	
 
CAPRIMULGIFORMES: Caprimulgidae

Lesser Nighthawk	Chordeiles acutipennis	
Common Nighthawk	Chordeiles minor	
Short-tailed Nighthawk	Lurocalis semitorquatus	
Pauraque	Nyctidromus albicollis	
Spot-tailed Nightjar	Hydropsalis maculicaudus	Rare/Accidental
Yucatan Poorwill	Nyctiphrynus yucatanicus	
Chuck-will's-widow	Antrostomus carolinensis	
Yucatan Nightjar	Antrostomus badius	
Buff-collared Nightjar	Antrostomus ridgwayi	
Eastern Whip-poor-will	Antrostomus vociferus	Rare/Accidental
Mexican Whip-poor-will	Antrostomus arizonae	
 
APODIFORMES: Apodidae

White-chinned Swift	Cypseloides cryptus	Rare/Accidental
American Black Swift	Cypseloides niger	
Chestnut-collared Swift	Streptoprocne rutila	
White-collared Swift	Streptoprocne zonaris	
Vaux's Swift	Chaetura vauxi	
Chimney Swift	Chaetura pelagica	
White-throated Swift	Aeronautes saxatalis	
Great Swallow-tailed Swift	Panyptila sanctihieronymi	
Lesser Swallow-tailed Swift	Panyptila cayennensis	
 
APODIFORMES: Trochilidae

White-necked Jacobin	Florisuga mellivora	
Band-tailed Barbthroat	Threnetes ruckeri	
Stripe-throated Hermit	Phaethornis striigularis	
Long-billed Hermit	Phaethornis longirostris	
Brown Violetear	Colibri delphinae	
Mexican Violetear	Colibri thalassinus	
Purple-crowned Fairy	Heliothryx barroti	
Green-breasted Mango	Anthracothorax prevostii	
Black-crested Coquette	Lophornis helenae	
Rivoli's Hummingbird	Eugenes fulgens	
Long-billed Starthroat	Heliomaster longirostris	
Plain-capped Starthroat	Heliomaster constantii	
Amethyst-throated Mountaingem	Lampornis amethystinus	
Green-throated Mountaingem	Lampornis viridipallens	
Garnet-throated Hummingbird	Lamprolaima rhami	
Sparkling-tailed Woodstar	Tilmatura dupontii	
Slender Sheartail	Doricha enicura	
Ruby-throated Hummingbird	Archilochus colubris	
Rufous Hummingbird	Selasphorus rufus	Rare/Accidental
Broad-tailed Hummingbird	Selasphorus platycercus	
Wine-throated Hummingbird	Selasphorus ellioti	
Canivet's Emerald	Cynanthus canivetii	
White-eared Hummingbird	Basilinna leucotis	
Wedge-tailed Sabrewing	Pampa pampa	
Rufous Sabrewing	Pampa rufa	
Emerald-chinned Hummingbird	Abeillia abeillei	
Violet Sabrewing	Campylopterus hemileucurus	
Crowned Woodnymph	Thalurania colombica	
Stripe-tailed Hummingbird	Eupherusa eximia	
Scaly-breasted Hummingbird	Phaeochroa cuvierii	
Green-fronted Hummingbird	Leucolia viridifrons	
Azure-crowned Hummingbird	Saucerottia cyanocephala	
Berylline Hummingbird	Saucerottia beryllina	
Blue-tailed Hummingbird	Saucerottia cyanura	
Cinnamon Hummingbird	Amazilia rutila	
Buff-bellied Hummingbird	Amazilia yucatanensis	
Rufous-tailed Hummingbird	Amazilia tzacatl	
White-bellied Emerald	Chlorestes candida	
