
 
TINAMIFORMES: Tinamidae

Great Tinamou	Tinamus major	
Highland Tinamou	Nothocercus bonapartei	
Little Tinamou	Crypturellus soui	
Thicket Tinamou	Crypturellus cinnamomeus	
Slaty-breasted Tinamou	Crypturellus boucardi	Vulnerable
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	Extirpated
Black-bellied Whistling Duck	Dendrocygna autumnalis	
Fulvous Whistling Duck	Dendrocygna bicolor	
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Comb Duck	Sarkidiornis sylvicola	Rare/Accidental
Orinoco Goose	Neochen jubata	Rare/Accidental Near-threatened
Muscovy Duck	Cairina moschata	
Cinnamon Teal	Spatula cyanoptera	Rare/Accidental
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	
American Wigeon	Mareca americana	
White-cheeked Pintail	Anas bahamensis	Rare/Accidental
Northern Pintail	Anas acuta	
Green-winged Teal	Anas carolinensis	Rare/Accidental
Canvasback	Aythya valisineria	Rare/Accidental
Redhead	Aythya americana	Rare/Accidental
Ring-necked Duck	Aythya collaris	
Greater Scaup	Aythya marila	Rare/Accidental
Lesser Scaup	Aythya affinis	
Hooded Merganser	Lophodytes cucullatus	Rare/Accidental
Red-breasted Merganser	Mergus serrator	Rare/Accidental
Masked Duck	Nomonyx dominicus	
Ruddy Duck	Oxyura jamaicensis	Rare/Accidental
 
GALLIFORMES: Cracidae

Plain Chachalaca	Ortalis vetula	
Grey-headed Chachalaca	Ortalis cinereiceps	
Crested Guan	Penelope purpurascens	Near-threatened
Black Guan	Chamaepetes unicolor	
Great Curassow	Crax rubra	Vulnerable
 
GALLIFORMES: Odontophoridae

Buffy-crowned Wood Partridge	Dendrortyx leucophrys	
Spot-bellied Bobwhite	Colinus leucopogon	
Crested Bobwhite	Colinus cristatus	
Marbled Wood Quail	Odontophorus gujanensis	
Black-eared Wood Quail	Odontophorus melanotis	Near-threatened
Black-breasted Wood Quail	Odontophorus leucolaemus	
Spotted Wood Quail	Odontophorus guttatus	
Tawny-faced Quail	Rhynchortyx cinctus	Near-threatened
 
CAPRIMULGIFORMES: Caprimulgidae

Lesser Nighthawk	Chordeiles acutipennis	
Common Nighthawk	Chordeiles minor	
Short-tailed Nighthawk	Lurocalis semitorquatus	
Pauraque	Nyctidromus albicollis	
White-tailed Nightjar	Hydropsalis cayennensis	
Ocellated Poorwill	Nyctiphrynus ocellatus	Rare/Accidental
Chuck-will's-widow	Antrostomus carolinensis	Near-threatened
Rufous Nightjar	Antrostomus rufus	
Buff-collared Nightjar	Antrostomus ridgwayi	Rare/Accidental
Eastern Whip-poor-will	Antrostomus vociferus	Rare/Accidental Near-threatened
Dusky Nightjar	Antrostomus saturatus	
 
STEATORNITHIFORMES: Steatornithidae

Oilbird	Steatornis caripensis	Rare/Accidental
 
NYCTIBIIFORMES: Nyctibiidae

Great Potoo	Nyctibius grandis	
Northern Potoo	Nyctibius jamaicensis	
Common Potoo	Nyctibius griseus	
 
APODIFORMES: Apodidae

Spot-fronted Swift	Cypseloides cherriei	Data deficient
White-chinned Swift	Cypseloides cryptus	
American Black Swift	Cypseloides niger	Vulnerable
Chestnut-collared Swift	Streptoprocne rutila	
White-collared Swift	Streptoprocne zonaris	
Grey-rumped Swift	Chaetura cinereiventris	
Costa Rican Swift	Chaetura fumosa	
Chimney Swift	Chaetura pelagica	Vulnerable
Vaux's Swift	Chaetura vauxi	
Great Swallow-tailed Swift	Panyptila sanctihieronymi	Rare/Accidental
Lesser Swallow-tailed Swift	Panyptila cayennensis	
 
APODIFORMES: Trochilidae

White-necked Jacobin	Florisuga mellivora	
White-tipped Sicklebill	Eutoxeres aquila	
Bronzy Hermit	Glaucis aeneus	
Band-tailed Barbthroat	Threnetes ruckeri	
Stripe-throated Hermit	Phaethornis striigularis	
