
 
TINAMIFORMES: Tinamidae

Great Tinamou	Tinamus major	
Little Tinamou	Crypturellus soui	
Thicket Tinamou	Crypturellus cinnamomeus	
Slaty-breasted Tinamou	Crypturellus boucardi	Vulnerable
 
ANSERIFORMES: Anatidae

Black-bellied Whistling Duck	Dendrocygna autumnalis	
Fulvous Whistling Duck	Dendrocygna bicolor	
Muscovy Duck	Cairina moschata	
Cinnamon Teal	Spatula cyanoptera	
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	
American Wigeon	Mareca americana	
Mallard	Anas platyrhynchos	Rare/Accidental
Northern Pintail	Anas acuta	
Green-winged Teal	Anas carolinensis	
Canvasback	Aythya valisineria	Rare/Accidental
Redhead	Aythya americana	Rare/Accidental
Ring-necked Duck	Aythya collaris	
Greater Scaup	Aythya marila	Rare/Accidental
Lesser Scaup	Aythya affinis	
Masked Duck	Nomonyx dominicus	
Ruddy Duck	Oxyura jamaicensis	Rare/Accidental
 
GALLIFORMES: Cracidae

Plain Chachalaca	Ortalis vetula	
Grey-headed Chachalaca	Ortalis cinereiceps	
White-bellied Chachalaca	Ortalis leucogastra	
Crested Guan	Penelope purpurascens	Near-threatened
Highland Guan	Penelopina nigra	Vulnerable
Great Curassow	Crax rubra	Vulnerable
 
GALLIFORMES: Odontophoridae

Buffy-crowned Wood Partridge	Dendrortyx leucophrys	
Yucatan Bobwhite	Colinus nigrogularis	
Spot-bellied Bobwhite	Colinus leucopogon	
Black-eared Wood Quail	Odontophorus melanotis	Near-threatened
Spotted Wood Quail	Odontophorus guttatus	
Ocellated Quail	Cyrtonyx ocellatus	Rare/Accidental Vulnerable
Tawny-faced Quail	Rhynchortyx cinctus	Near-threatened
 
CAPRIMULGIFORMES: Caprimulgidae

Lesser Nighthawk	Chordeiles acutipennis	
Common Nighthawk	Chordeiles minor	
Short-tailed Nighthawk	Lurocalis semitorquatus	
Pauraque	Nyctidromus albicollis	
Spot-tailed Nightjar	Hydropsalis maculicaudus	Rare/Accidental
Ocellated Poorwill	Nyctiphrynus ocellatus	Rare/Accidental
Chuck-will's-widow	Antrostomus carolinensis	Near-threatened
Rufous Nightjar	Antrostomus rufus	Rare/Accidental
Buff-collared Nightjar	Antrostomus ridgwayi	Rare/Accidental
Eastern Whip-poor-will	Antrostomus vociferus	Near-threatened
Mexican Whip-poor-will	Antrostomus arizonae	Rare/Accidental
 
NYCTIBIIFORMES: Nyctibiidae

Great Potoo	Nyctibius grandis	
Northern Potoo	Nyctibius jamaicensis	
Common Potoo	Nyctibius griseus	
 
APODIFORMES: Apodidae

White-chinned Swift	Cypseloides cryptus	Rare/Accidental
American Black Swift	Cypseloides niger	Vulnerable
Chestnut-collared Swift	Streptoprocne rutila	
White-collared Swift	Streptoprocne zonaris	
Grey-rumped Swift	Chaetura cinereiventris	
Chimney Swift	Chaetura pelagica	Vulnerable
Vaux's Swift	Chaetura vauxi	
Great Swallow-tailed Swift	Panyptila sanctihieronymi	Rare/Accidental
Lesser Swallow-tailed Swift	Panyptila cayennensis	
 
APODIFORMES: Trochilidae

White-necked Jacobin	Florisuga mellivora	
Bronzy Hermit	Glaucis aeneus	
Band-tailed Barbthroat	Threnetes ruckeri	
Stripe-throated Hermit	Phaethornis striigularis	
Long-billed Hermit	Phaethornis longirostris	
Brown Violetear	Colibri delphinae	
Mexican Violetear	Colibri thalassinus	
Purple-crowned Fairy	Heliothryx barroti	
Black-throated Mango	Anthracothorax nigricollis	Rare/Accidental
Green-breasted Mango	Anthracothorax prevostii	
Black-crested Coquette	Lophornis helenae	
Rivoli's Hummingbird	Eugenes fulgens	
Long-billed Starthroat	Heliomaster longirostris	
Plain-capped Starthroat	Heliomaster constantii	
Green-breasted Mountaingem	Lampornis sybillae	
Purple-throated Mountaingem	Lampornis calolaemus	
Sparkling-tailed Woodstar	Tilmatura dupontii	
Ruby-throated Hummingbird	Archilochus colubris	
Canivet's Emerald	Cynanthus canivetii	
White-eared Hummingbird	Basilinna leucotis	
Emerald-chinned Hummingbird	Abeillia abeillei	
Violet-headed Hummingbird	Klais guimeti	
Violet Sabrewing	Campylopterus hemileucurus	
Bronze-tailed Plumeleteer	Chalybura urochrysia	
Crowned Woodnymph	Thalurania colombica	
Snowcap	Microchera albocoronata	
Coppery-headed Emerald	Microchera cupreiceps	Rare/Accidental
Stripe-tailed Hummingbird	Eupherusa eximia	
Scaly-breasted Hummingbird	Phaeochroa cuvierii	
Azure-crowned Hummingbird	Saucerottia cyanocephala	
Blue-vented Hummingbird	Saucerottia hoffmanni	
Blue-tailed Hummingbird	Saucerottia cyanura	
Cinnamon Hummingbird	Amazilia rutila	
Rufous-tailed Hummingbird	Amazilia tzacatl	
