
 
TINAMIFORMES: Tinamidae

Great Tinamou	Tinamus major	
Highland Tinamou	Nothocercus bonapartei	
Little Tinamou	Crypturellus soui	
Choco Tinamou	Crypturellus kerriae	Vulnerable
 
ANSERIFORMES: Anhimidae

Northern Screamer	Chauna chavaria	Rare/Accidental Near-threatened
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	Rare/Accidental
Black-bellied Whistling Duck	Dendrocygna autumnalis	
Fulvous Whistling Duck	Dendrocygna bicolor	Rare/Accidental
Comb Duck	Sarkidiornis sylvicola	Rare/Accidental
Muscovy Duck	Cairina moschata	
Cinnamon Teal	Spatula cyanoptera	Rare/Accidental
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	Rare/Accidental
American Wigeon	Mareca americana	
Mallard	Anas platyrhynchos	Rare/Accidental
White-cheeked Pintail	Anas bahamensis	Rare/Accidental
Northern Pintail	Anas acuta	Rare/Accidental
Green-winged Teal	Anas carolinensis	Rare/Accidental
Ring-necked Duck	Aythya collaris	
Lesser Scaup	Aythya affinis	
Red-breasted Merganser	Mergus serrator	Rare/Accidental
Masked Duck	Nomonyx dominicus	
 
GALLIFORMES: Cracidae

Grey-headed Chachalaca	Ortalis cinereiceps	
Baudo Guan	Penelope ortoni	Rare/Accidental Endangered
Crested Guan	Penelope purpurascens	Near-threatened
Black Guan	Chamaepetes unicolor	
Great Curassow	Crax rubra	Vulnerable
 
GALLIFORMES: Odontophoridae

Crested Bobwhite	Colinus cristatus	
Marbled Wood Quail	Odontophorus gujanensis	
Black-eared Wood Quail	Odontophorus melanotis	
Tacarcuna Wood Quail	Odontophorus dialeucos	Rare/Accidental
Black-breasted Wood Quail	Odontophorus leucolaemus	
Spotted Wood Quail	Odontophorus guttatus	
Tawny-faced Quail	Rhynchortyx cinctus	
 
CAPRIMULGIFORMES: Caprimulgidae

Lesser Nighthawk	Chordeiles acutipennis	
Common Nighthawk	Chordeiles minor	
Short-tailed Nighthawk	Lurocalis semitorquatus	
Pauraque	Nyctidromus albicollis	
White-tailed Nightjar	Hydropsalis cayennensis	
Ocellated Poorwill	Nyctiphrynus ocellatus	Rare/Accidental
Chuck-will's-widow	Antrostomus carolinensis	Near-threatened
Rufous Nightjar	Antrostomus rufus	
Eastern Whip-poor-will	Antrostomus vociferus	Rare/Accidental Near-threatened
Dusky Nightjar	Antrostomus saturatus	
 
STEATORNITHIFORMES: Steatornithidae

Oilbird	Steatornis caripensis	Rare/Accidental
 
NYCTIBIIFORMES: Nyctibiidae

Great Potoo	Nyctibius grandis	
Common Potoo	Nyctibius griseus	
 
APODIFORMES: Apodidae

Spot-fronted Swift	Cypseloides cherriei	Rare/Accidental Data deficient
White-chinned Swift	Cypseloides cryptus	Rare/Accidental
American Black Swift	Cypseloides niger	Rare/Accidental Vulnerable
Chestnut-collared Swift	Streptoprocne rutila	
White-collared Swift	Streptoprocne zonaris	
Grey-rumped Swift	Chaetura cinereiventris	
Band-rumped Swift	Chaetura spinicaudus	
Costa Rican Swift	Chaetura fumosa	Rare/Accidental
Chimney Swift	Chaetura pelagica	Vulnerable
Vaux's Swift	Chaetura vauxi	
Chapman's Swift	Chaetura chapmani	Rare/Accidental
Sick's Swift	Chaetura meridionalis	Rare/Accidental
Short-tailed Swift	Chaetura brachyura	
Lesser Swallow-tailed Swift	Panyptila cayennensis	
 
APODIFORMES: Trochilidae

White-necked Jacobin	Florisuga mellivora	
White-tipped Sicklebill	Eutoxeres aquila	
Bronzy Hermit	Glaucis aeneus	
Rufous-breasted Hermit	Glaucis hirsutus	
Band-tailed Barbthroat	Threnetes ruckeri	
Stripe-throated Hermit	Phaethornis striigularis	
Pale-bellied Hermit	Phaethornis anthophilus	
White-whiskered Hermit	Phaethornis yaruqui	Rare/Accidental
Green Hermit	Phaethornis guy	
