TINAMIFORMES: Tinamidae

Great Tinamou	Tinamus major	
Little Tinamou	Crypturellus soui	
Thicket Tinamou	Crypturellus cinnamomeus	
Slaty-breasted Tinamou	Crypturellus boucardi	
 
ANSERIFORMES: Anatidae

Black-bellied Whistling Duck	Dendrocygna autumnalis	
Fulvous Whistling Duck	Dendrocygna bicolor	
Brant Goose	Branta bernicla	Rare/Accidental
Canada Goose	Branta canadensis	Rare/Accidental
Snow Goose	Anser caerulescens	Rare/Accidental
Muscovy Duck	Cairina moschata	
Cinnamon Teal	Spatula cyanoptera	Rare/Accidental
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	Rare/Accidental
American Wigeon	Mareca americana	
Mallard	Anas platyrhynchos	Rare/Accidental
White-cheeked Pintail	Anas bahamensis	Rare/Accidental
Northern Pintail	Anas acuta	
Green-winged Teal	Anas carolinensis	
Canvasback	Aythya valisineria	Rare/Accidental
Redhead	Aythya americana	Rare/Accidental
Ring-necked Duck	Aythya collaris	
Lesser Scaup	Aythya affinis	
Red-breasted Merganser	Mergus serrator	Rare/Accidental
Masked Duck	Nomonyx dominicus	
Ruddy Duck	Oxyura jamaicensis	Rare/Accidental
 
GALLIFORMES: Cracidae

Plain Chachalaca	Ortalis vetula	
Grey-headed Chachalaca	Ortalis cinereiceps	
White-bellied Chachalaca	Ortalis leucogastra	
Crested Guan	Penelope purpurascens	Near-threatened
Highland Guan	Penelopina nigra	Vulnerable
Great Curassow	Crax rubra	Vulnerable
 
GALLIFORMES: Odontophoridae

Buffy-crowned Wood Partridge	Dendrortyx leucophrys	
Yucatan Bobwhite	Colinus nigrogularis	
Spot-bellied Bobwhite	Colinus leucopogon	
Black-eared Wood Quail	Odontophorus melanotis	
Spotted Wood Quail	Odontophorus guttatus	
Singing Quail	Dactylortyx thoracicus	
Ocellated Quail	Cyrtonyx ocellatus	Vulnerable
Tawny-faced Quail	Rhynchortyx cinctus	
 
CAPRIMULGIFORMES: Caprimulgidae

Lesser Nighthawk	Chordeiles acutipennis	
Common Nighthawk	Chordeiles minor	
Antillean Nighthawk	Chordeiles gundlachii	Rare/Accidental
Short-tailed Nighthawk	Lurocalis semitorquatus	
Pauraque	Nyctidromus albicollis	
Spot-tailed Nightjar	Hydropsalis maculicaudus	Rare/Accidental
Ocellated Poorwill	Nyctiphrynus ocellatus	
Chuck-will's-widow	Antrostomus carolinensis	Near-threatened
Yucatan Nightjar	Antrostomus badius	Rare/Accidental
Buff-collared Nightjar	Antrostomus ridgwayi	
Eastern Whip-poor-will	Antrostomus vociferus	Rare/Accidental Near-threatened
Mexican Whip-poor-will	Antrostomus arizonae	
 
NYCTIBIIFORMES: Nyctibiidae

Great Potoo	Nyctibius grandis	
Northern Potoo	Nyctibius jamaicensis	
 
APODIFORMES: Apodidae

White-chinned Swift	Cypseloides cryptus	
American Black Swift	Cypseloides niger	Vulnerable
Chestnut-collared Swift	Streptoprocne rutila	
White-collared Swift	Streptoprocne zonaris	
Grey-rumped Swift	Chaetura cinereiventris	
Chimney Swift	Chaetura pelagica	Vulnerable
Vaux's Swift	Chaetura vauxi	
White-throated Swift	Aeronautes saxatalis	
Great Swallow-tailed Swift	Panyptila sanctihieronymi	
Lesser Swallow-tailed Swift	Panyptila cayennensis	
 
APODIFORMES: Trochilidae

White-necked Jacobin	Florisuga mellivora	
Bronzy Hermit	Glaucis aeneus	
Band-tailed Barbthroat	Threnetes ruckeri	
Stripe-throated Hermit	Phaethornis striigularis	
Long-billed Hermit	Phaethornis longirostris	
Brown Violetear	Colibri delphinae	
Mexican Violetear	Colibri thalassinus	
Purple-crowned Fairy	Heliothryx barroti	
Green-breasted Mango	Anthracothorax prevostii	
Black-crested Coquette	Lophornis helenae	
Rivoli's Hummingbird	Eugenes fulgens	
Long-billed Starthroat	Heliomaster longirostris	
Plain-capped Starthroat	Heliomaster constantii	
Amethyst-throated Mountaingem	Lampornis amethystinus	
Green-throated Mountaingem	Lampornis viridipallens	
Green-breasted Mountaingem	Lampornis sybillae	
Garnet-throated Hummingbird	Lamprolaima rhami	
Sparkling-tailed Woodstar	Tilmatura dupontii	
Slender Sheartail	Doricha enicura	
Ruby-throated Hummingbird	Archilochus colubris	
Wine-throated Hummingbird	Selasphorus ellioti	
Canivet's Emerald	Cynanthus canivetii	
White-eared Hummingbird	Basilinna leucotis	
Wedge-tailed Sabrewing	Pampa pampa	
Emerald-chinned Hummingbird	Abeillia abeillei	
Violet-headed Hummingbird	Klais guimeti	
Violet Sabrewing	Campylopterus hemileucurus	
Bronze-tailed Plumeleteer	Chalybura urochrysia	
Crowned Woodnymph	Thalurania colombica	
Snowcap	Microchera albocoronata	
