
 
ANSERIFORMES: Anatidae

Black-bellied Whistling Duck	Dendrocygna autumnalis	Rare/Accidental
Ring-necked Duck	Aythya collaris	Rare/Accidental
Lesser Scaup	Aythya affinis	
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	Rare/Accidental
American Wigeon	Mareca americana	Rare/Accidental
White-cheeked Pintail	Anas bahamensis	Rare/Accidental
Green-winged Teal	Anas crecca	Rare/Accidental
 
PODICIPEDIFORMES: Podicipedidae

Pied-billed Grebe	Podilymbus podiceps	
 
CUCULIFORMES: Cuculidae

Smooth-billed Ani	Crotophaga ani	Rare/Accidental
Cocos Cuckoo	Coccyzus ferrugineus	Endemic Vulnerable
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Rare/Accidental
 
GRUIFORMES: Rallidae

Spotted Rail	Pardirallus maculatus	
Sora	Porzana carolina	Rare/Accidental
Common Gallinule	Gallinula galeata	
American Coot	Fulica americana	
Purple Gallinule	Porphyrio martinica	
White-throated Crake	Laterallus albigularis	
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Vulnerable
American Golden Plover	Pluvialis dominica	
Pacific Golden Plover	Pluvialis fulva	Rare/Accidental
Killdeer	Charadrius vociferus	Rare/Accidental Near-threatened
Semipalmated Plover	Charadrius semipalmatus	
Wilson's Plover	Anarhynchus wilsonia	
 
CHARADRIIFORMES: Scolopacidae

Upland Sandpiper	Bartramia longicauda	
Hudsonian Whimbrel	Numenius hudsonicus	
Short-billed Dowitcher	Limnodromus griseus	Rare/Accidental Vulnerable
Wilson's Snipe	Gallinago delicata	
Spotted Sandpiper	Actitis macularius	
Wilson's Phalarope	Phalaropus tricolor	Rare/Accidental
Red Phalarope	Phalaropus fulicarius	Rare/Accidental
Solitary Sandpiper	Tringa solitaria	
Wandering Tattler	Tringa incana	
Lesser Yellowlegs	Tringa flavipes	Vulnerable
Willet	Tringa semipalmata	
Greater Yellowlegs	Tringa melanoleuca	Near-threatened
Ruddy Turnstone	Arenaria interpres	Near-threatened
Stilt Sandpiper	Calidris himantopus	Near-threatened
Sanderling	Calidris alba	
Baird's Sandpiper	Calidris bairdii	
Pectoral Sandpiper	Calidris melanotos	
Semipalmated Sandpiper	Calidris pusilla	Near-threatened
Western Sandpiper	Calidris mauri	
Least Sandpiper	Calidris minutilla	Near-threatened
White-rumped Sandpiper	Calidris fuscicollis	Vulnerable
 
CHARADRIIFORMES: Stercorariidae

Parasitic Jaeger	Stercorarius parasiticus	Rare/Accidental
Pomarine Jaeger	Stercorarius pomarinus	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Blue-billed White Tern	Gygis candida	
Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
Sooty Tern	Onychoprion fuscatus	
Bridled Tern	Onychoprion anaethetus	
Gull-billed Tern	Gelochelidon nilotica	
Black Tern	Chlidonias niger	
Sandwich Tern	Thalasseus sandvicensis	
Elegant Tern	Thalasseus elegans	Rare/Accidental Near-threatened
Royal Tern	Thalasseus maximus	
Arctic Tern	Sterna paradisaea	Rare/Accidental
Common Tern	Sterna hirundo	
Swallow-tailed Gull	Creagrus furcatus	Rare/Accidental
Sabine's Gull	Xema sabini	
Bonaparte's Gull	Chroicocephalus philadelphia	Rare/Accidental
Grey-headed Gull	Chroicocephalus cirrocephalus	Rare/Accidental
Grey Gull	Leucophaeus modestus	Rare/Accidental
Laughing Gull	Leucophaeus atricilla	
Franklin's Gull	Leucophaeus pipixcan	
Ring-billed Gull	Larus delawarensis	Rare/Accidental
American Herring Gull	Larus smithsonianus	
 
PHAETHONTIFORMES: Phaethontidae

Red-billed Tropicbird	Phaethon aethereus	Rare/Accidental
Red-tailed Tropicbird	Phaethon rubricauda	Rare/Accidental
