
 
TINAMIFORMES: Tinamidae

Thicket Tinamou	Crypturellus cinnamomeus	
 
ANSERIFORMES: Anatidae

Black-bellied Whistling Duck	Dendrocygna autumnalis	
Fulvous Whistling Duck	Dendrocygna bicolor	
Snow Goose	Anser caerulescens	Rare/Accidental
Muscovy Duck	Cairina moschata	
Cinnamon Teal	Spatula cyanoptera	
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	
American Wigeon	Mareca americana	
Mallard	Anas platyrhynchos	Introduced species
Northern Pintail	Anas acuta	
Green-winged Teal	Anas carolinensis	Rare/Accidental
Redhead	Aythya americana	Rare/Accidental
Ring-necked Duck	Aythya collaris	
Lesser Scaup	Aythya affinis	
Surf Scoter	Melanitta perspicillata	Rare/Accidental
Red-breasted Merganser	Mergus serrator	Rare/Accidental
Masked Duck	Nomonyx dominicus	Rare/Accidental
Ruddy Duck	Oxyura jamaicensis	
 
GALLIFORMES: Cracidae

Plain Chachalaca	Ortalis vetula	
White-bellied Chachalaca	Ortalis leucogastra	
Crested Guan	Penelope purpurascens	Near-threatened
Highland Guan	Penelopina nigra	Vulnerable
Great Curassow	Crax rubra	Vulnerable
 
GALLIFORMES: Odontophoridae

Buffy-crowned Wood Partridge	Dendrortyx leucophrys	
Spot-bellied Bobwhite	Colinus leucopogon	
Singing Quail	Dactylortyx thoracicus	
Ocellated Quail	Cyrtonyx ocellatus	Rare/Accidental Vulnerable
 
CAPRIMULGIFORMES: Caprimulgidae

Lesser Nighthawk	Chordeiles acutipennis	
Common Nighthawk	Chordeiles minor	Rare/Accidental
Pauraque	Nyctidromus albicollis	
Chuck-will's-widow	Antrostomus carolinensis	Near-threatened
Buff-collared Nightjar	Antrostomus ridgwayi	Rare/Accidental
Eastern Whip-poor-will	Antrostomus vociferus	Near-threatened
Mexican Whip-poor-will	Antrostomus arizonae	
 
NYCTIBIIFORMES: Nyctibiidae

Northern Potoo	Nyctibius jamaicensis	
 
APODIFORMES: Apodidae

American Black Swift	Cypseloides niger	Vulnerable
Chestnut-collared Swift	Streptoprocne rutila	
White-collared Swift	Streptoprocne zonaris	
Chimney Swift	Chaetura pelagica	Rare/Accidental Vulnerable
Vaux's Swift	Chaetura vauxi	
White-throated Swift	Aeronautes saxatalis	
Great Swallow-tailed Swift	Panyptila sanctihieronymi	
Lesser Swallow-tailed Swift	Panyptila cayennensis	Rare/Accidental
 
APODIFORMES: Trochilidae

White-necked Jacobin	Florisuga mellivora	Rare/Accidental
Brown Violetear	Colibri delphinae	Rare/Accidental
Mexican Violetear	Colibri thalassinus	
Green-breasted Mango	Anthracothorax prevostii	
Rivoli's Hummingbird	Eugenes fulgens	
Long-billed Starthroat	Heliomaster longirostris	
Plain-capped Starthroat	Heliomaster constantii	
Amethyst-throated Mountaingem	Lampornis amethystinus	
Green-throated Mountaingem	Lampornis viridipallens	
Garnet-throated Hummingbird	Lamprolaima rhami	
Sparkling-tailed Woodstar	Tilmatura dupontii	
Slender Sheartail	Doricha enicura	Rare/Accidental
Ruby-throated Hummingbird	Archilochus colubris	
Broad-tailed Hummingbird	Selasphorus platycercus	Rare/Accidental
Wine-throated Hummingbird	Selasphorus ellioti	
Canivet's Emerald	Cynanthus canivetii	Rare/Accidental
White-eared Hummingbird	Basilinna leucotis	
Rufous Sabrewing	Pampa rufa	
Emerald-chinned Hummingbird	Abeillia abeillei	
Violet Sabrewing	Campylopterus hemileucurus	
Azure-crowned Hummingbird	Saucerottia cyanocephala	
Berylline Hummingbird	Saucerottia beryllina	
Blue-tailed Hummingbird	Saucerottia cyanura	Rare/Accidental
Cinnamon Hummingbird	Amazilia rutila	
White-bellied Emerald	Chlorestes candida	
Blue-throated Sapphire	Chlorestes eliciae	
 
CUCULIFORMES: Cuculidae

Groove-billed Ani	Crotophaga sulcirostris	
Striped Cuckoo	Tapera naevia	
Pheasant Cuckoo	Dromococcyx phasianellus	
Lesser Ground Cuckoo	Morococcyx erythropygus	
Lesser Roadrunner	Geococcyx velox	
Squirrel Cuckoo	Piaya cayana	
Yellow-billed Cuckoo	Coccyzus americanus	
Mangrove Cuckoo	Coccyzus minor	
Black-billed Cuckoo	Coccyzus erythropthalmus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Band-tailed Pigeon	Patagioenas fasciata	
Red-billed Pigeon	Patagioenas flavirostris	
Eurasian Collared Dove	Streptopelia decaocto	Introduced species
African Collared Dove	Streptopelia roseogrisea	Rare/Accidental
Inca Dove	Columbina inca	
Common Ground Dove	Columbina passerina	
Plain-breasted Ground Dove	Columbina minuta	
Ruddy Ground Dove	Columbina talpacoti	
Blue Ground Dove	Claravis pretiosa	
Maroon-chested Ground Dove	Paraclaravis mondetoura	Rare/Accidental
Ruddy Quail-Dove	Geotrygon montana	
White-tipped Dove	Leptotila verreauxi	
