ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	Rare/Accidental
Black-bellied Whistling Duck	Dendrocygna autumnalis	
West Indian Whistling Duck	Dendrocygna arborea	Near-threatened
Fulvous Whistling Duck	Dendrocygna bicolor	
Brant Goose	Branta bernicla	Rare/Accidental
Canada Goose	Branta canadensis	Rare/Accidental
Snow Goose	Anser caerulescens	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Tundra Swan	Cygnus columbianus	Rare/Accidental
Muscovy Duck	Cairina moschata	Introduced species
Wood Duck	Aix sponsa	
Cinnamon Teal	Spatula cyanoptera	Rare/Accidental
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	Rare/Accidental
Eurasian Wigeon	Mareca penelope	Rare/Accidental
American Wigeon	Mareca americana	
Mallard	Anas platyrhynchos	Rare/Accidental
American Black Duck	Anas rubripes	Rare/Accidental
White-cheeked Pintail	Anas bahamensis	
Northern Pintail	Anas acuta	
Green-winged Teal	Anas carolinensis	Rare/Accidental
Canvasback	Aythya valisineria	Rare/Accidental
Redhead	Aythya americana	Rare/Accidental
Ring-necked Duck	Aythya collaris	
Greater Scaup	Aythya marila	Rare/Accidental
Lesser Scaup	Aythya affinis	
Surf Scoter	Melanitta perspicillata	Rare/Accidental
White-winged Scoter	Melanitta deglandi	Rare/Accidental
Bufflehead	Bucephala albeola	Rare/Accidental
Hooded Merganser	Lophodytes cucullatus	Rare/Accidental
Common Merganser	Mergus merganser	Rare/Accidental
Red-breasted Merganser	Mergus serrator	
Masked Duck	Nomonyx dominicus	
Ruddy Duck	Oxyura jamaicensis	
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	Introduced species
 
GALLIFORMES: Odontophoridae

Northern Bobwhite	Colinus virginianus	Near-threatened
 
GALLIFORMES: Phasianidae

Common Pheasant	Phasianus colchicus	Introduced species
 
CAPRIMULGIFORMES: Caprimulgidae

Common Nighthawk	Chordeiles minor	
Antillean Nighthawk	Chordeiles gundlachii	Endemic (country/region)
Chuck-will's-widow	Antrostomus carolinensis	Near-threatened
Cuban Nightjar	Antrostomus cubanensis	Endemic
Eastern Whip-poor-will	Antrostomus vociferus	Rare/Accidental Near-threatened
 
NYCTIBIIFORMES: Nyctibiidae

Northern Potoo	Nyctibius jamaicensis	Rare/Accidental
 
APODIFORMES: Apodidae

American Black Swift	Cypseloides niger	Vulnerable
White-collared Swift	Streptoprocne zonaris	
Chimney Swift	Chaetura pelagica	Rare/Accidental Vulnerable
Antillean Palm Swift	Tachornis phoenicobia	Endemic (country/region)
 
APODIFORMES: Trochilidae

Ruby-throated Hummingbird	Archilochus colubris	Rare/Accidental
Bee Hummingbird	Mellisuga helenae	Endemic Near-threatened
Bahama Woodstar	Nesophlox evelynae	Rare/Accidental
Cuban Emerald	Riccordia ricordii	Endemic (country/region)
 
CUCULIFORMES: Cuculidae

Smooth-billed Ani	Crotophaga ani	
Yellow-billed Cuckoo	Coccyzus americanus	
Mangrove Cuckoo	Coccyzus minor	
Black-billed Cuckoo	Coccyzus erythropthalmus	Rare/Accidental
Great Lizard Cuckoo	Coccyzus merlini	Endemic (country/region)
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
White-crowned Pigeon	Patagioenas leucocephala	Near-threatened
Scaly-naped Pigeon	Patagioenas squamosa	
Plain Pigeon	Patagioenas inornata	Endemic (country/region) Near-threatened
Eurasian Collared Dove	Streptopelia decaocto	Introduced species
Common Ground Dove	Columbina passerina	
Blue-headed Quail-Dove	Starnoenas cyanocephala	Endemic Endangered
Ruddy Quail-Dove	Geotrygon montana	
Grey-fronted Quail-Dove	Geotrygon caniceps	Endemic Vulnerable
Key West Quail-Dove	Geotrygon chrysia	Endemic (country/region)
Passenger Pigeon	Ectopistes migratorius	Rare/Accidental Extinct
Mourning Dove	Zenaida macroura	
Zenaida Dove	Zenaida aurita	
White-winged Dove	Zenaida asiatica	
 
GRUIFORMES: Rallidae

Zapata Rail	Cyanolimnas cerverai	Endemic Critically endangered
Spotted Rail	Pardirallus maculatus	
Clapper Rail	Rallus crepitans	
King Rail	Rallus elegans	Near-threatened
Virginia Rail	Rallus limicola	Rare/Accidental
Sora	Porzana carolina	
Common Gallinule	Gallinula galeata	
American Coot	Fulica americana	
Purple Gallinule	Porphyrio martinica	
Yellow-breasted Crake	Laterallus flaviventer	
Black Rail	Laterallus jamaicensis	
 
GRUIFORMES: Gruidae

Sandhill Crane	Antigone canadensis	
 
GRUIFORMES: Aramidae

Limpkin	Aramus guarauna	
 
PODICIPEDIFORMES: Podicipedidae

Least Grebe	Tachybaptus dominicus	
Pied-billed Grebe	Podilymbus podiceps	
 
PHOENICOPTERIFORMES: Phoenicopteridae

American Flamingo	Phoenicopterus ruber	
 
CHARADRIIFORMES: Haematopodidae

American Oystercatcher	Haematopus palliatus	
 
CHARADRIIFORMES: Recurvirostridae

Black-necked Stilt	Himantopus mexicanus	
American Avocet	Recurvirostra americana	
 
CHARADRIIFORMES: Charadriidae

American Golden Plover	Pluvialis dominica	Rare/Accidental
Grey Plover	Pluvialis squatarola	
Semipalmated Plover	Charadrius semipalmatus	
Wilson's Plover	Charadrius wilsonia	
Killdeer	Charadrius vociferus	
Piping Plover	Charadrius melodus	Near-threatened
Snowy Plover	Charadrius nivosus	Near-threatened
 
CHARADRIIFORMES: Jacanidae

Northern Jacana	Jacana spinosa	
 
CHARADRIIFORMES: Scolopacidae

Upland Sandpiper	Bartramia longicauda	Rare/Accidental
Eurasian Whimbrel	Numenius phaeopus	Rare/Accidental
Hudsonian Whimbrel	Numenius hudsonicus	
Long-billed Curlew	Numenius americanus	Rare/Accidental
Hudsonian Godwit	Limosa haemastica	Rare/Accidental
Marbled Godwit	Limosa fedoa	Rare/Accidental
Ruddy Turnstone	Arenaria interpres	
Red Knot	Calidris canutus	Near-threatened
Ruff	Calidris pugnax	Rare/Accidental
Stilt Sandpiper	Calidris himantopus	
Curlew Sandpiper	Calidris ferruginea	Rare/Accidental Near-threatened
Sanderling	Calidris alba	
Dunlin	Calidris alpina	Rare/Accidental
Least Sandpiper	Calidris minutilla	
White-rumped Sandpiper	Calidris fuscicollis	Rare/Accidental
