GALLIFORMES: Cracidae

Rufous-vented Chachalaca	Ortalis ruficauda	
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	Introduced species
 
GALLIFORMES: Odontophoridae

California Quail	Callipepla californica	Introduced species
Northern Bobwhite	Colinus virginianus	Near-threatened
Crested Bobwhite	Colinus cristatus	Extirpated
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	Introduced species
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	Rare/Accidental
Black-bellied Whistling Duck	Dendrocygna autumnalis	
West Indian Whistling Duck	Dendrocygna arborea	Endemic (country/region) Near-threatened
Fulvous Whistling Duck	Dendrocygna bicolor	
Brant Goose	Branta bernicla	Rare/Accidental
Snow Goose	Anser caerulescens	
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Tundra Swan	Cygnus columbianus	
Common Shelduck	Tadorna tadorna	Rare/Accidental
Muscovy Duck	Cairina moschata	
Wood Duck	Aix sponsa	Rare/Accidental
Garganey	Spatula querquedula	Rare/Accidental
Cinnamon Teal	Spatula cyanoptera	
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	Rare/Accidental
American Wigeon	Mareca americana	
Mallard	Anas platyrhynchos	
American Black Duck	Anas rubripes	Rare/Accidental
White-cheeked Pintail	Anas bahamensis	
Northern Pintail	Anas acuta	Rare/Accidental
Eurasian Teal	Anas crecca	Rare/Accidental
Green-winged Teal	Anas carolinensis	
Canvasback	Aythya valisineria	Rare/Accidental
Redhead	Aythya americana	
Common Pochard	Aythya ferina	Rare/Accidental Vulnerable
Ring-necked Duck	Aythya collaris	
Tufted Duck	Aythya fuligula	Rare/Accidental
Greater Scaup	Aythya marila	
Lesser Scaup	Aythya affinis	
Long-tailed Duck	Clangula hyemalis	Rare/Accidental Vulnerable
Bufflehead	Bucephala albeola	
Hooded Merganser	Lophodytes cucullatus	Rare/Accidental
Red-breasted Merganser	Mergus serrator	
Masked Duck	Nomonyx dominicus	Rare/Accidental
Ruddy Duck	Oxyura jamaicensis	Rare/Accidental
 
CAPRIMULGIFORMES: Caprimulgidae

Common Nighthawk	Chordeiles minor	
Antillean Nighthawk	Chordeiles gundlachii	
White-tailed Nightjar	Hydropsalis cayennensis	
Chuck-will's-widow	Antrostomus carolinensis	Near-threatened
Rufous Nightjar	Antrostomus rufus	
 
APODIFORMES: Apodidae

