
 
ANSERIFORMES: Anatidae

Black-bellied Whistling Duck	Dendrocygna autumnalis	Rare/Accidental
West Indian Whistling Duck	Dendrocygna arborea	Near-threatened
Fulvous Whistling Duck	Dendrocygna bicolor	Rare/Accidental
Masked Duck	Nomonyx dominicus	Rare/Accidental
Ruddy Duck	Oxyura jamaicensis	
Brant Goose	Branta bernicla	Rare/Accidental
Canada Goose	Branta canadensis	Rare/Accidental
Ross's Goose	Anser rossii	Rare/Accidental
Snow Goose	Anser caerulescens	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Wood Duck	Aix sponsa	Rare/Accidental
Egyptian Goose	Alopochen aegyptiaca	Introduced species
White-winged Scoter	Melanitta deglandi	Rare/Accidental
Bufflehead	Bucephala albeola	Rare/Accidental
Hooded Merganser	Lophodytes cucullatus	Rare/Accidental
Red-breasted Merganser	Mergus serrator	Rare/Accidental
Canvasback	Aythya valisineria	Rare/Accidental
Ring-necked Duck	Aythya collaris	
Redhead	Aythya americana	Rare/Accidental
Lesser Scaup	Aythya affinis	
Greater Scaup	Aythya marila	Rare/Accidental
Blue-winged Teal	Spatula discors	
Cinnamon Teal	Spatula cyanoptera	Rare/Accidental
Northern Shoveler	Spatula clypeata	Rare/Accidental
Gadwall	Mareca strepera	Rare/Accidental
Eurasian Wigeon	Mareca penelope	Rare/Accidental
American Wigeon	Mareca americana	Rare/Accidental
Mallard	Anas platyrhynchos	Rare/Accidental
American Black Duck	Anas rubripes	Rare/Accidental
Mottled Duck	Anas fulvigula	Rare/Accidental
White-cheeked Pintail	Anas bahamensis	
Northern Pintail	Anas acuta	Rare/Accidental
Green-winged Teal	Anas crecca	Rare/Accidental
 
GALLIFORMES: Odontophoridae

Northern Bobwhite	Colinus virginianus	Introduced species Near-threatened
 
GALLIFORMES: Phasianidae

Common Pheasant	Phasianus colchicus	Introduced species
Red Junglefowl	Gallus gallus	Introduced species
 
PHOENICOPTERIFORMES: Phoenicopteridae

American Flamingo	Phoenicopterus ruber	
 
PODICIPEDIFORMES: Podicipedidae

Least Grebe	Tachybaptus dominicus	
Pied-billed Grebe	Podilymbus podiceps	
