ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	Rare/Accidental
West Indian Whistling Duck	Dendrocygna arborea	Near-threatened
Fulvous Whistling Duck	Dendrocygna bicolor	
Snow Goose	Anser caerulescens	
Muscovy Duck	Cairina moschata	Rare/Accidental
Wood Duck	Aix sponsa	Rare/Accidental
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	Rare/Accidental
Eurasian Wigeon	Mareca penelope	Rare/Accidental
American Wigeon	Mareca americana	
Mallard	Anas platyrhynchos	
White-cheeked Pintail	Anas bahamensis	
Northern Pintail	Anas acuta	Rare/Accidental
Green-winged Teal	Anas carolinensis	Rare/Accidental
Ring-necked Duck	Aythya collaris	Rare/Accidental
Lesser Scaup	Aythya affinis	
Hooded Merganser	Lophodytes cucullatus	Rare/Accidental
Masked Duck	Nomonyx dominicus	
Ruddy Duck	Oxyura jamaicensis	
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	Introduced species
 
GALLIFORMES: Odontophoridae

Northern Bobwhite	Colinus virginianus	Introduced species Near-threatened
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	Rare/Accidental
 
CAPRIMULGIFORMES: Caprimulgidae

Common Nighthawk	Chordeiles minor	
Antillean Nighthawk	Chordeiles gundlachii	
Least Poorwill	Siphonorhis brewsteri	Endemic (country/region) Near-threatened
Chuck-will's-widow	Antrostomus carolinensis	Near-threatened
Hispaniolan Nightjar	Antrostomus ekmani	
 
NYCTIBIIFORMES: Nyctibiidae

Northern Potoo	Nyctibius jamaicensis	
 
APODIFORMES: Apodidae

American Black Swift	Cypseloides niger	Vulnerable
White-collared Swift	Streptoprocne zonaris	
Chimney Swift	Chaetura pelagica	Rare/Accidental Vulnerable
Antillean Palm Swift	Tachornis phoenicobia	
 
APODIFORMES: Trochilidae

Antillean Mango	Anthracothorax dominicus	
Ruby-throated Hummingbird	Archilochus colubris	Rare/Accidental
Vervain Hummingbird	Mellisuga minima	
Hispaniolan Emerald	Riccordia swainsonii	Endemic (country/region)
 
CUCULIFORMES: Cuculidae

Smooth-billed Ani	Crotophaga ani	
Yellow-billed Cuckoo	Coccyzus americanus	
Mangrove Cuckoo	Coccyzus minor	
Black-billed Cuckoo	Coccyzus erythropthalmus	Rare/Accidental
Bay-breasted Cuckoo	Coccyzus rufigularis	Endemic (country/region) Endangered
Hispaniolan Lizard Cuckoo	Coccyzus longirostris	Endemic (country/region)
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
White-crowned Pigeon	Patagioenas leucocephala	Near-threatened
Scaly-naped Pigeon	Patagioenas squamosa	
Plain Pigeon	Patagioenas inornata	Near-threatened
Eurasian Collared Dove	Streptopelia decaocto	Introduced species
Common Ground Dove	Columbina passerina	
Ruddy Quail-Dove	Geotrygon montana	
White-fronted Quail-Dove	Geotrygon leucometopia	Endangered
Key West Quail-Dove	Geotrygon chrysia	
Mourning Dove	Zenaida macroura	
Zenaida Dove	Zenaida aurita	
White-winged Dove	Zenaida asiatica	
 
GRUIFORMES: Rallidae

Spotted Rail	Pardirallus maculatus	
Clapper Rail	Rallus crepitans	
Sora	Porzana carolina	
Common Gallinule	Gallinula galeata	
American Coot	Fulica americana	
Purple Gallinule	Porphyrio martinica	
Yellow-breasted Crake	Laterallus flaviventer	
Black Rail	Laterallus jamaicensis	
 
GRUIFORMES: Aramidae

Limpkin	Aramus guarauna	
 
PODICIPEDIFORMES: Podicipedidae

Least Grebe	Tachybaptus dominicus	
Pied-billed Grebe	Podilymbus podiceps	
 
PHOENICOPTERIFORMES: Phoenicopteridae

American Flamingo	Phoenicopterus ruber	
 
CHARADRIIFORMES: Burhinidae

Double-striped Thick-knee	Burhinus bistriatus	
 
CHARADRIIFORMES: Haematopodidae

American Oystercatcher	Haematopus palliatus	
 
CHARADRIIFORMES: Recurvirostridae

Black-necked Stilt	Himantopus mexicanus	
 
CHARADRIIFORMES: Charadriidae

American Golden Plover	Pluvialis dominica	Rare/Accidental
Grey Plover	Pluvialis squatarola	
Semipalmated Plover	Charadrius semipalmatus	
Wilson's Plover	Charadrius wilsonia	
Killdeer	Charadrius vociferus	
Piping Plover	Charadrius melodus	Rare/Accidental Near-threatened
Snowy Plover	Charadrius nivosus	Near-threatened
 
CHARADRIIFORMES: Jacanidae

Northern Jacana	Jacana spinosa	
 
CHARADRIIFORMES: Scolopacidae

Upland Sandpiper	Bartramia longicauda	
Hudsonian Whimbrel	Numenius hudsonicus	Rare/Accidental
Hudsonian Godwit	Limosa haemastica	Rare/Accidental
Marbled Godwit	Limosa fedoa	Rare/Accidental
Ruddy Turnstone	Arenaria interpres	
Red Knot	Calidris canutus	Rare/Accidental Near-threatened
Stilt Sandpiper	Calidris himantopus	
Sanderling	Calidris alba	
Dunlin	Calidris alpina	
Least Sandpiper	Calidris minutilla	
White-rumped Sandpiper	Calidris fuscicollis	
Buff-breasted Sandpiper	Calidris subruficollis	Rare/Accidental Near-threatened
Pectoral Sandpiper	Calidris melanotos	
Semipalmated Sandpiper	Calidris pusilla	Near-threatened
Western Sandpiper	Calidris mauri	
Short-billed Dowitcher	Limnodromus griseus	
Wilson's Snipe	Gallinago delicata	
Wilson's Phalarope	Phalaropus tricolor	
Spotted Sandpiper	Actitis macularius	
Solitary Sandpiper	Tringa solitaria	
Lesser Yellowlegs	Tringa flavipes	
Willet	Tringa semipalmata	
Greater Yellowlegs	Tringa melanoleuca	
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Black Skimmer	Rynchops niger	Rare/Accidental
Bonaparte's Gull	Chroicocephalus philadelphia	Rare/Accidental
Laughing Gull	Leucophaeus atricilla	
Ring-billed Gull	Larus delawarensis	
Great Black-backed Gull	Larus marinus	
American Herring Gull	Larus smithsonianus	Rare/Accidental
Lesser Black-backed Gull	Larus fuscus	Rare/Accidental
Gull-billed Tern	Gelochelidon nilotica	
Caspian Tern	Hydroprogne caspia	
Royal Tern	Thalasseus maximus	
Cabot's Tern	Thalasseus acuflavidus	Rare/Accidental
Least Tern	Sternula antillarum	
Bridled Tern	Onychoprion anaethetus	
Sooty Tern	Onychoprion fuscatus	
Roseate Tern	Sterna dougallii	
Common Tern	Sterna hirundo	
Forster's Tern	Sterna forsteri	Rare/Accidental
Black Tern	Chlidonias niger	
 
CHARADRIIFORMES: Stercorariidae

Pomarine Jaeger	Stercorarius pomarinus	
Long-tailed Jaeger	Stercorarius longicaudus	Rare/Accidental
 
PHAETHONTIFORMES: Phaethontidae

Red-billed Tropicbird	Phaethon aethereus	Rare/Accidental
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Hydrobatidae

Leach's Storm Petrel	Hydrobates leucorhous	Rare/Accidental Vulnerable
 
PROCELLARIIFORMES: Procellariidae

Black-capped Petrel	Pterodroma hasitata	Rare/Accidental Endangered
Cory's Shearwater	Calonectris borealis	Rare/Accidental
Audubon's Shearwater	Puffinus lherminieri	Rare/Accidental
 
CICONIIFORMES: Ciconiidae

Wood Stork	Mycteria americana	Rare/Accidental
 
SULIFORMES: Fregatidae

Magnificent Frigatebird	Fregata magnificens	
 
SULIFORMES: Sulidae

Northern Gannet	Morus bassanus	Rare/Accidental
Masked Booby	Sula dactylatra	
Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
 
SULIFORMES: Anhingidae

Anhinga	Anhinga anhinga	Rare/Accidental
 
SULIFORMES: Phalacrocoracidae

Neotropic Cormorant	Nannopterum brasilianum	Rare/Accidental
Double-crested Cormorant	Nannopterum auritum	Rare/Accidental
 
PELECANIFORMES: Threskiornithidae

American White Ibis	Eudocimus albus	
Glossy Ibis	Plegadis falcinellus	
Roseate Spoonbill	Platalea ajaja	
 
PELECANIFORMES: Ardeidae

American Bittern	Botaurus lentiginosus	Rare/Accidental
Least Bittern	Ixobrychus exilis	Rare/Accidental
Black-crowned Night Heron	Nycticorax nycticorax	Rare/Accidental
Yellow-crowned Night Heron	Nyctanassa violacea	
Green Heron	Butorides virescens	
Western Cattle Egret	Bubulcus ibis	
Great Blue Heron	Ardea herodias	
Great Egret	Ardea alba	
Reddish Egret	Egretta rufescens	Near-threatened
Tricolored Heron	Egretta tricolor	
Little Blue Heron	Egretta caerulea	
Snowy Egret	Egretta thula	
 
PELECANIFORMES: Pelecanidae

Brown Pelican	Pelecanus occidentalis	
 
ACCIPITRIFORMES: Cathartidae

Turkey Vulture	Cathartes aura	
 
ACCIPITRIFORMES: Pandionidae

Western Osprey	Pandion haliaetus	
 
ACCIPITRIFORMES: Accipitridae

Sharp-shinned Hawk	Accipiter striatus	
Northern Harrier	Circus hudsonius	Rare/Accidental
Ridgway's Hawk	Buteo ridgwayi	Endemic (country/region) Critically endangered
Red-tailed Hawk	Buteo jamaicensis	
 
STRIGIFORMES: Tytonidae

American Barn Owl	Tyto furcata	
Ashy-faced Owl	Tyto glaucops	Endemic (country/region)
 
STRIGIFORMES: Strigidae

Burrowing Owl	Athene cunicularia	
Stygian Owl	Asio stygius	Rare/Accidental
Short-eared Owl	Asio flammeus	
 
TROGONIFORMES: Trogonidae

Hispaniolan Trogon	Priotelus roseigaster	Endemic (country/region)
 
CORACIIFORMES: Alcedinidae

Belted Kingfisher	Megaceryle alcyon	
 
CORACIIFORMES: Todidae

Broad-billed Tody	Todus subulatus	Endemic (country/region)
Narrow-billed Tody	Todus angustirostris	Endemic (country/region)
 
PICIFORMES: Picidae

Antillean Piculet	Nesoctites micromegas	Endemic (country/region)
Hispaniolan Woodpecker	Melanerpes striatus	Endemic (country/region)
Yellow-bellied Sapsucker	Sphyrapicus varius	Rare/Accidental
 
FALCONIFORMES: Falconidae

American Kestrel	Falco sparverius	
Merlin	Falco columbarius	
Peregrine Falcon	Falco peregrinus	
 
PSITTACIFORMES: Psittacidae

Hispaniolan Amazon	Amazona ventralis	Endemic (country/region) Vulnerable
Hispaniolan Parakeet	Psittacara chloropterus	Endemic (country/region)
 
PASSERIFORMES: Tyrannidae

Greater Antillean Elaenia	Elaenia fallax	
Hispaniolan Pewee	Contopus hispaniolensis	Endemic (country/region)
Grey Kingbird	Tyrannus dominicensis	
Loggerhead Kingbird	Tyrannus caudifasciatus	
Stolid Flycatcher	Myiarchus stolidus	
 
PASSERIFORMES: Vireonidae

Red-eyed Vireo	Vireo olivaceus	
Black-whiskered Vireo	Vireo altiloquus	
Yellow-throated Vireo	Vireo flavifrons	
Flat-billed Vireo	Vireo nanus	Endemic (country/region)
White-eyed Vireo	Vireo griseus	Rare/Accidental
Thick-billed Vireo	Vireo crassirostris	
 
PASSERIFORMES: Corvidae

Hispaniolan Palm Crow	Corvus palmarum	Endemic (country/region)
White-necked Crow	Corvus leucognaphalus	Endemic (country/region) Vulnerable
 
PASSERIFORMES: Bombycillidae

Cedar Waxwing	Bombycilla cedrorum	Rare/Accidental
 
PASSERIFORMES: Dulidae

Palmchat	Dulus dominicus	Endemic (country/region)
 
PASSERIFORMES: Hirundinidae

Sand Martin	Riparia riparia	Rare/Accidental
Tree Swallow	Tachycineta bicolor	
